,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,24.860233,25.611803,27.188889,21.68408,13.770655,27.083015,20.371494,27.719368,27.841175,22.349947,27.88543,16.338917,27.888008,22.587862,25.685486,22.338696,28.94228,25.863962,19.463009,31.53137,17.932852,23.068155,25.437267,22.800734,34.45723,24.847118,21.251507,23.808899,28.20682,24.739328,19.555935,17.305582,24.009499,30.466177,20.904377,21.279716,19.55669,26.727798,25.204393,29.670212,23.522453,23.596664,21.614853,27.23616,25.555325,21.33459,29.86131,21.25812,23.965508,25.242111,30.387196,23.262926,27.358831,21.681526,24.227652,24.271582,24.467701,17.886208,40.76317,38.989235,17.199854
1,24.640114,25.726673,26.998213,21.742592,13.663224,27.118134,19.939913,27.181381,28.044369,22.156403,28.249552,16.323132,28.104664,22.656954,24.42273,22.224762,29.01304,25.803059,19.583546,31.046892,18.612206,23.06404,25.341457,22.90482,35.45437,25.12318,21.156946,23.673302,28.916645,24.163235,18.97969,18.308552,24.381044,30.97097,20.97931,20.655869,19.422916,26.716917,24.694393,29.727764,23.470665,23.93538,22.108603,27.092976,25.25632,20.98656,30.089825,21.28369,24.212326,26.472942,30.390022,22.811047,27.252129,22.161995,23.710802,23.864973,24.180298,18.61914,41.7769,40.29357,18.305517
2,24.387875,25.669306,26.071823,21.546967,13.327728,27.223892,19.507788,26.850601,28.233862,22.279427,28.06641,16.248505,27.505762,23.320692,24.290943,22.288017,28.78258,25.677233,19.5125,30.750666,18.215744,23.01494,24.91755,22.777063,34.567863,25.523748,20.921303,23.716806,29.56908,23.607414,18.192875,18.638216,24.375673,30.635424,20.684963,20.413929,19.783361,26.596762,24.731739,29.920403,23.722809,24.128855,22.665916,27.07803,26.234669,20.89989,30.418756,21.044949,23.81788,26.562473,30.611622,23.332277,27.60115,21.673555,23.090336,22.938591,23.391235,18.148174,41.262646,40.53784,18.66434
3,24.03634,25.386257,25.342281,21.6766,13.645611,27.502155,19.513813,26.569918,28.920223,22.318945,28.454199,16.085716,27.57155,23.380157,24.073292,22.596266,29.247963,26.151426,19.325117,30.853283,18.986227,23.341997,24.718643,22.95929,36.02111,26.721855,20.759563,24.16885,30.78535,23.111946,17.523079,20.060293,24.302755,31.034775,21.252138,19.48987,20.02808,26.606417,25.034094,30.153933,23.63872,25.0133,23.533958,26.94229,26.198776,20.104134,30.914236,21.237078,24.296368,27.089909,31.017712,23.19783,27.74159,22.4312,22.591282,22.474636,22.413342,18.930668,41.809563,41.781937,20.224594
4,23.840319,25.044024,25.355377,21.28795,13.391633,27.680607,19.336067,26.583069,28.833881,22.323788,28.217201,15.8482,27.131727,23.377647,23.358425,22.453054,28.738306,25.265663,19.52745,30.53781,19.137737,23.587523,24.638546,22.52874,35.267998,26.105963,20.115974,24.158186,30.916615,22.253227,17.061752,19.75533,24.194939,30.183926,21.136255,19.54208,20.15161,26.967253,25.13593,30.341341,24.586992,25.159945,23.456429,27.174778,25.799812,20.059467,30.766294,21.143942,23.945637,26.569172,30.8333,23.125324,28.190674,22.470333,22.174587,22.103409,21.626572,19.06136,41.69817,41.46996,19.920065
5,23.76715,25.191275,24.428593,21.2299,13.818302,27.450413,19.535566,26.048794,29.114326,22.333035,28.150795,16.317661,26.120073,24.109636,23.699738,22.298008,28.61378,25.857119,19.580345,30.735481,19.37178,24.075994,24.538958,22.7854,35.187214,26.301147,20.245405,24.615553,31.038181,22.520504,17.148273,20.692333,23.74988,29.679901,21.300486,19.520926,20.385298,26.76758,25.613796,30.285435,24.154911,25.208038,24.212812,26.338385,26.743237,20.398352,30.72284,21.368223,23.776182,26.674702,30.865683,23.528223,27.965899,22.798058,22.094715,21.897156,21.188023,19.240421,41.524506,42.230003,20.918068
6,23.989647,25.000069,24.568066,21.545813,13.803383,27.795355,19.892008,26.10211,28.562231,22.265106,28.352833,16.18531,26.150085,23.84496,23.56248,22.799814,27.965942,25.498672,19.361786,30.417662,19.431976,24.244913,24.340046,22.958965,34.947918,26.617746,20.20041,24.583723,31.357992,22.024086,16.905981,20.727442,24.52095,29.128311,21.24565,19.71281,20.283459,26.990177,25.273495,30.37189,24.679783,25.551699,24.352703,26.915571,26.477446,20.65683,30.975958,21.348198,23.966452,26.036232,31.103455,23.94882,27.90596,22.756973,22.05378,21.855417,20.691896,19.371372,41.87332,42.53955,21.023216
7,23.959747,25.106321,24.645084,21.574333,13.985367,28.102451,19.702396,26.087906,28.60293,22.367588,28.148998,16.046452,25.264765,24.054342,23.173893,22.806906,27.415104,25.16239,18.965755,29.70752,19.487715,24.47499,24.219467,23.07114,34.09453,26.232925,19.83333,24.845726,30.925627,22.505575,16.315243,20.12891,23.892567,27.909307,21.288963,20.734282,20.253979,27.3068,24.666334,30.449305,25.463562,25.82279,23.94634,26.970095,26.604565,21.080751,30.81694,21.495451,24.091112,25.695498,31.21718,24.353096,27.61678,22.779888,21.8001,20.988346,19.942947,19.37784,41.26804,41.497658,20.434652
8,24.08668,25.00411,23.615717,21.38234,13.602065,27.248688,19.66816,25.792486,28.244106,21.944239,28.2722,15.957816,25.442844,24.024256,23.289454,22.663408,27.227018,24.873846,19.761276,30.008076,19.412138,24.407469,24.195324,22.484203,33.58455,26.889965,20.299925,24.778189,30.905306,22.21476,16.170595,19.888817,23.85436,27.578377,21.027826,20.860485,20.192581,26.768358,24.357977,30.438229,25.232527,25.892021,23.524094,26.962566,26.96977,21.202469,31.308815,21.946747,24.096878,25.625376,31.279932,24.307997,28.085579,22.19341,21.751957,20.843063,19.79768,19.307487,41.26249,41.539948,20.227325
9,23.92575,24.855286,23.495722,21.27155,13.724623,27.4764,20.06591,25.395376,28.045078,22.236092,28.251482,15.47875,25.481544,23.49191,22.884464,22.498098,27.414108,24.721664,19.447327,29.588776,19.739819,24.375687,24.280165,22.682535,33.305458,26.71343,20.322672,24.410435,30.790857,22.197384,16.107056,19.52908,23.462297,27.442526,21.358282,20.965372,20.17887,26.800438,24.42633,30.425198,25.425184,26.07008,23.782532,26.645416,27.050613,21.176796,31.021643,21.64765,23.625143,25.52024,31.38097,24.538177,28.256317,22.16718,21.793514,20.934395,19.349136,19.682575,41.325138,40.98846,19.922369
