275390415#7_0,-275390415#7_0,275390415#6_0,-275390415#6_0,275390415#5_0,-275390415#5_0,275390415#4_0,-275390415#5_0,274894285_0,276074127_0,221688408#9_0,-221688408#9_0,5678579#3_0,274886544_0,-274886544_0,-274886548#0_0,274886548#0_0,-274886548#1_0,274886548#1_0,-274886545#0_0,274886545#0_0,221698685#4_0,274894287#0_0,276074125_0,-221688408#8_0,221688408#7_0,5678579#6_0,-5680831#8_0,5680831#6_0,-5680831#10_0,5680831#9_0,-5680831#12_0,5680831#11_0,-5680831#14_0,5680831#13_0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.05,0.0,0.0,0.0,0.0,0.0,0.0,39.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.86,0.0,0.0,0.0,0.0,0.0,0.0,27.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.11,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.36,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.66,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.11,0.0,0.0,0.0,45.52,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.66,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.71,0.0,45.54,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.06,0.0,45.65,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.48,0.0,0.0,0.0,0.0,0.0,0.0,48.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.69,0.0,44.26,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.02,0.0,0.0,0.0,0.0,0.0,0.0,44.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,0.0,44.58,0.0,38.46,0.0
0.0,24.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.8,0.0,0.0,0.0,0.0,0.0,0.0,33.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.03,0.0,46.88,0.0,37.81,0.0
0.0,32.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.51,0.0,0.0,0.0,0.0,0.0,0.0,17.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.94,0.0,43.14,0.0,38.35,0.0
0.0,37.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.96,0.0
0.0,42.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.54,0.0,0.0,20.59,0.0,21.09,0.0,0.0,0.0,0.0,42.45,0.0,0.0,0.0,42.53,0.0
0.0,49.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.39,0.0,0.0,25.61,0.0,29.78,0.0,0.0,0.0,0.0,45.24,0.0,0.0,0.0,42.39,0.0
0.0,50.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.62,0.0,0.0,34.41,0.0,35.03,0.0,0.0,0.0,0.0,44.5,0.0,0.0,0.0,36.18,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.22,0.0,0.0,39.87,0.0,43.78,0.0,0.0,0.0,0.0,45.87,0.0,0.0,0.0,30.98,0.0
0.0,0.0,0.0,49.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.26,0.0,0.0,48.12,0.0,51.29,0.0,0.0,0.0,0.0,46.37,0.0,0.0,0.0,21.72,0.0
0.0,0.0,0.0,47.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62,0.0,50.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.97,0.0
0.0,0.0,0.0,50.01,0.0,0.0,0.0,0.0,0.0,0.0,25.62,50.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.47,0.0,52.85,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,4.46,0.0
0.0,0.0,0.0,49.68,0.0,0.0,0.0,0.0,0.0,0.0,34.81,49.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.49,0.0,50.52,0.0,0.0,46.44,0.0,0.0,0.0,0.0,0.0,3.34,0.0
0.0,0.0,0.0,33.48,0.0,0.0,0.0,0.0,0.0,0.0,43.9,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.32,0.0,49.37,0.0,0.0,43.04,0.0,0.0,0.0,0.0,0.0,6.4,0.0
0.0,0.0,0.0,17.28,0.0,0.0,0.0,0.0,0.0,0.0,51.08,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1,0.0,52.45,0.0,0.0,44.95,0.0,0.0,0.0,0.0,0.0,9.89,0.0
0.0,0.0,0.0,1.79,0.0,20.92,0.0,20.92,0.0,0.0,54.64,48.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.43,0.0,51.82,18.51,0.0,43.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.1,0.0,28.42,0.0,28.42,0.0,0.0,55.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.89,0.0,52.14,23.47,0.0,29.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,23.99,0.29,0.0,37.7,0.0,37.7,0.0,0.0,54.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.94,0.0,49.04,28.25,0.0,13.28,0.0,0.0,0.0,29.44,0.0,0.0,0.0
0.0,0.0,29.18,0.03,0.0,38.4,0.0,38.4,0.0,0.0,55.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.7,0.0,27.47,33.43,0.0,3.1,0.0,0.0,0.0,34.49,0.0,0.0,0.0
0.0,0.0,35.2,0.01,0.0,41.4,0.0,41.4,0.0,0.0,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.0,24.92,41.36,0.0,0.26,0.0,0.0,0.0,42.13,0.0,0.0,0.0
0.0,0.0,44.35,0.0,0.0,41.66,0.0,41.66,0.0,0.0,54.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,0.0,32.76,40.93,0.0,0.0,0.0,0.0,0.0,45.3,0.0,0.0,0.0
0.0,0.0,51.41,0.0,0.0,32.82,0.0,32.82,0.0,0.0,54.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.83,38.27,0.0,0.0,0.0,0.0,0.0,43.43,0.0,0.0,0.0
0.0,0.0,51.78,0.0,0.0,18.01,0.0,18.01,0.0,0.0,54.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.87,39.59,0.0,0.0,0.0,0.0,0.0,42.26,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,28.91,0.0,28.91,37.59,0.0,54.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.2,37.94,0.0,0.0,0.0,0.0,0.0,46.07,0.0,0.0,0.0
54.53,0.0,0.0,0.0,0.0,34.52,0.0,34.52,45.25,0.0,26.09,19.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.85,37.68,0.0,0.0,0.0,44.64,0.0,0.0,0.0,0.0,0.0
53.08,0.0,0.0,0.0,0.0,42.63,0.0,42.63,47.52,0.0,26.51,26.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.34,39.33,0.0,0.0,0.0,45.61,0.0,0.0,0.0,0.0,0.0
51.24,0.0,0.0,0.0,0.0,47.55,0.0,47.55,49.56,0.0,21.73,32.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.12,39.15,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0
44.69,0.0,0.0,0.0,0.0,47.65,0.0,47.65,50.43,0.0,18.19,37.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8,40.2,0.0,0.0,0.0,45.49,0.0,0.0,0.0,0.0,0.0
29.67,0.0,0.0,0.0,0.0,31.45,0.0,31.45,47.72,0.0,15.43,41.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.28,0.0,0.0,0.0,0.0,45.8,37.17,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0
13.83,0.0,0.0,0.0,0.0,16.29,0.0,16.29,49.08,0.0,34.92,39.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.16,0.0,0.0,0.0,0.0,37.55,41.37,0.0,0.0,0.0,35.47,0.0,0.0,0.0,0.0,0.0
5.52,0.0,20.97,0.0,0.0,5.06,0.0,5.06,47.17,0.0,43.57,41.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.35,0.0,0.0,0.0,0.0,30.66,40.69,0.0,0.0,0.0,24.78,0.0,0.0,0.0,0.0,0.0
0.59,0.0,26.86,0.0,0.0,0.6,0.0,0.6,46.12,0.0,40.08,41.41,24.7,0.0,0.0,0.0,0.0,0.0,0.0,28.49,0.0,0.0,0.0,0.0,26.28,37.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.72,0.0
0.36,0.0,35.06,0.0,0.0,0.15,0.0,0.15,50.52,0.0,42.91,41.2,30.27,0.0,0.0,0.0,0.0,0.0,0.0,29.91,0.0,0.0,17.83,0.0,22.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.66,0.0
0.01,0.0,41.87,0.0,0.0,0.1,0.0,0.1,47.15,0.0,41.49,40.72,36.73,0.0,0.0,0.0,0.0,0.0,0.0,26.44,0.0,0.0,26.44,0.0,17.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.85,7.25
0.0,0.0,42.86,0.0,0.0,0.01,0.0,0.01,24.15,0.0,41.34,41.36,43.93,0.0,0.0,0.0,0.0,21.75,0.0,23.06,0.0,0.0,34.13,0.0,9.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.38,13.82
0.0,0.0,46.32,0.0,0.0,0.0,0.0,0.0,28.63,0.0,40.36,39.86,51.97,0.0,0.0,0.0,0.0,28.92,0.0,18.52,0.0,0.0,39.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.57,19.33
0.0,0.0,43.2,0.0,0.0,0.0,0.0,0.0,31.45,0.0,40.45,41.55,53.88,0.0,0.0,0.0,0.0,34.09,0.0,25.8,0.0,0.0,43.64,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.25,28.06
44.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.04,0.0,41.32,39.12,53.82,0.0,0.0,0.0,0.0,40.95,0.0,22.41,0.0,0.0,44.15,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.05,33.26
44.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.13,0.0,41.41,41.65,50.81,0.0,0.0,0.0,0.0,39.41,0.0,15.15,0.0,0.0,45.57,0.0,13.27,0.0,0.0,20.86,0.0,0.0,0.0,23.13,0.0,2.17,39.61
43.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.57,0.0,43.11,31.61,51.99,0.0,0.0,0.0,0.0,40.51,0.0,14.53,0.0,0.0,46.38,0.0,0.0,0.0,0.0,26.6,0.0,0.0,0.0,31.68,0.0,0.17,41.82
44.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33,0.0,41.4,36.58,49.56,0.0,0.0,0.0,0.0,38.28,0.0,10.51,0.0,0.0,42.82,0.0,0.0,0.0,0.0,35.61,0.0,0.0,0.0,37.99,0.0,0.13,29.51
43.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.65,0.0,39.85,39.91,51.8,0.0,0.0,0.0,0.0,0.0,0.0,7.21,0.0,0.0,42.39,0.0,0.0,0.0,0.0,39.45,0.0,0.0,0.0,33.37,0.0,0.01,16.55
32.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.79,0.0,29.76,43.02,52.0,0.0,0.0,41.33,0.0,0.0,0.0,8.44,0.0,0.0,42.92,0.0,0.0,0.0,0.0,41.06,0.0,0.0,0.0,38.17,0.0,0.01,0.0
32.3,0.0,0.0,0.0,0.0,0.0,39.93,0.0,56.92,0.0,31.26,44.6,50.61,0.0,0.0,38.54,0.0,0.0,0.0,16.5,0.0,0.0,43.8,0.0,0.0,0.0,0.0,37.79,0.0,0.0,0.0,41.34,0.0,6.1,0.0
38.39,0.0,0.0,0.0,0.0,0.0,41.26,0.0,56.1,0.0,34.35,36.52,53.19,0.0,0.0,41.11,0.0,32.02,0.0,19.44,0.0,0.0,45.74,0.0,0.0,0.0,0.0,33.98,0.0,0.0,0.0,36.48,0.0,17.4,0.0
46.71,0.0,0.0,0.0,0.0,0.0,42.92,0.0,55.14,0.0,35.2,30.54,51.84,0.0,0.0,39.24,0.0,38.91,0.0,8.51,0.0,0.0,45.61,0.0,0.0,0.0,0.0,17.78,0.0,50.73,0.0,45.56,0.0,22.64,0.0
46.06,0.0,0.0,0.0,0.0,0.0,40.99,0.0,54.78,0.0,32.6,25.16,42.87,0.0,0.0,40.95,0.0,43.8,0.0,0.3,0.0,0.0,42.98,0.0,0.0,19.55,0.0,3.37,0.0,49.08,0.0,47.15,0.0,28.06,0.0
36.84,0.0,0.0,0.0,0.0,0.0,42.35,0.0,54.6,0.0,43.25,49.88,29.18,0.0,20.62,37.31,0.0,45.9,0.0,0.11,0.0,0.0,33.72,0.0,0.0,25.99,0.0,1.48,0.0,52.26,0.0,47.78,0.0,34.39,0.0
21.28,0.0,0.0,0.0,0.0,0.0,28.23,0.0,57.73,0.0,42.72,30.98,16.03,0.0,27.71,0.0,0.0,46.38,0.0,0.03,0.0,0.0,18.91,0.0,0.0,34.38,0.0,0.76,0.0,47.85,0.0,0.0,0.0,40.13,0.0
5.7,0.0,0.0,0.0,0.0,0.0,23.47,0.0,56.24,0.0,43.71,34.73,0.0,0.0,33.92,0.0,0.0,46.83,0.0,0.02,0.0,0.0,0.0,0.0,0.0,43.53,0.0,0.13,0.0,40.72,0.0,0.0,0.0,43.3,0.0
0.66,0.0,0.0,0.0,0.0,0.0,21.33,0.0,43.05,0.0,40.11,38.0,0.0,40.09,40.74,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30.15,48.66,0.0,0.01,0.0,32.43,0.0,0.0,0.0,30.65,0.0
0.05,0.0,0.0,0.0,0.0,0.0,23.04,0.0,30.92,0.0,44.11,42.59,0.0,41.24,42.42,43.86,0.0,0.0,0.0,16.02,0.0,0.0,0.0,0.0,38.84,50.28,0.0,0.0,0.0,23.3,0.0,0.0,0.0,17.32,0.0
0.01,0.0,0.0,0.0,0.0,0.0,25.01,0.0,26.86,0.0,41.51,46.01,0.0,41.47,43.37,43.48,0.0,0.0,0.0,19.73,0.0,0.0,0.0,0.0,40.2,50.36,0.0,0.0,0.0,18.79,0.0,0.0,0.0,7.78,0.0
0.0,0.0,0.0,0.0,0.0,0.0,34.97,0.0,42.43,0.0,43.36,46.44,0.0,40.24,40.26,46.97,0.0,0.0,0.0,23.4,0.0,0.0,0.0,0.0,41.53,47.44,0.0,0.0,41.05,10.92,0.0,0.0,0.0,24.76,0.0
15.1,0.0,0.0,0.0,0.0,0.0,18.82,0.0,44.96,0.0,42.24,44.49,0.0,37.71,0.0,44.7,0.0,0.0,0.0,23.47,0.0,0.0,0.0,0.0,40.58,46.8,0.0,0.0,48.89,5.01,0.0,0.0,0.0,24.05,0.0
17.82,0.0,0.0,0.0,0.0,0.0,21.11,0.0,46.48,0.0,44.4,36.37,0.0,38.18,0.0,47.43,39.45,0.0,0.0,30.75,0.0,0.0,0.0,0.0,42.05,48.14,0.0,0.0,49.97,1.1,0.0,0.0,0.0,23.91,0.0
21.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.45,0.0,42.84,26.36,0.0,0.0,0.0,37.44,39.7,0.0,0.0,19.68,0.0,0.0,0.0,0.0,39.16,46.87,0.0,0.0,51.28,0.56,0.0,0.0,0.0,24.53,0.0
51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.76,0.0,40.42,25.28,0.0,0.0,0.0,0.0,42.44,0.0,0.0,15.33,0.0,0.0,0.0,0.0,39.68,49.59,0.0,0.0,43.46,0.42,0.0,0.0,0.0,17.07,0.0
44.96,0.0,0.0,0.0,40.59,0.0,0.0,0.0,32.37,0.0,43.12,26.62,0.0,0.0,0.0,0.0,41.12,27.77,0.0,0.0,0.0,0.0,0.0,0.0,42.8,49.42,0.0,28.46,29.82,0.12,0.0,0.0,0.0,8.97,0.0
34.38,0.0,0.0,0.0,45.71,0.0,0.0,0.0,37.89,0.0,40.1,26.97,0.0,0.0,0.0,0.0,42.94,36.1,0.0,0.0,0.0,0.0,0.0,0.0,38.97,41.46,0.0,33.15,16.3,0.01,0.0,0.0,0.0,2.81,0.0
33.05,0.0,0.0,0.0,45.12,0.0,0.0,0.0,41.78,0.0,39.54,27.65,0.0,0.0,0.0,0.0,40.94,38.02,0.0,0.0,0.0,0.0,0.0,0.0,39.18,25.26,0.0,42.23,3.78,0.0,0.0,0.0,0.0,2.41,0.0
0.0,0.0,0.0,0.0,48.24,0.0,0.0,0.0,44.97,0.0,42.9,27.9,0.0,0.0,0.0,0.0,0.0,44.33,0.0,0.0,0.0,0.0,0.0,0.0,39.99,11.35,0.0,51.59,0.01,0.0,19.19,0.0,0.0,8.08,0.0
0.0,0.0,0.0,0.0,37.83,0.0,0.0,0.0,44.82,0.0,0.0,27.84,0.0,0.0,0.0,0.0,0.0,51.34,40.64,0.0,0.0,0.0,0.0,0.0,42.57,9.96,0.0,52.68,0.0,0.0,24.12,0.0,0.0,35.04,0.0
0.0,0.0,0.0,0.0,23.82,0.0,0.0,0.0,45.66,0.0,0.0,40.22,0.0,0.0,0.0,0.0,0.0,53.34,39.73,0.0,0.0,0.0,0.0,0.0,39.6,23.89,0.0,36.48,0.0,0.0,32.52,0.0,0.0,56.81,0.0
0.0,0.0,0.0,0.0,9.53,0.0,0.0,0.0,45.95,0.0,0.0,41.11,0.0,0.0,0.0,55.23,0.0,52.2,42.47,47.83,0.0,0.0,0.0,0.0,40.9,29.48,0.0,20.28,0.0,0.0,38.64,0.0,0.0,55.81,0.0
0.0,0.0,0.0,0.0,1.3,0.0,18.97,0.0,46.3,0.0,0.0,39.89,0.0,0.0,0.0,53.06,0.0,0.0,43.42,46.94,0.0,0.0,0.0,0.0,24.7,38.02,0.0,5.68,0.0,0.0,42.88,0.0,0.0,46.62,0.0
