Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
6000,0.118450336,0.0002917508,30.567823,4107.5555903116865,4107.55555434525,4922.0,74.608734,0.069814645
7000,0.10567196,0.00029025078,38.821884,None,None,None,58.76028,0.06703022
8000,0.09524328,0.00028875077,44.021484,None,None,None,45.66569,0.07157536
9000,0.057711422,0.00028725076,53.99701,None,None,None,35.45166,0.0671995
10000,0.07310454,0.00028575075,55.080498,None,None,None,29.202576,0.071792416
11000,0.048379455,0.00028425077,60.97617,4761.888861762152,4761.888888567686,4921.0,45.31088,0.06555987
12000,0.06739139,0.00028275079,63.053204,None,None,None,21.521236,0.06931082
13000,0.05296383,0.00028125077,67.1782,None,None,None,19.921112,0.06280111
14000,0.049191467,0.00027975076,70.826454,None,None,None,14.040982,0.06343404
15000,0.050311547,0.00027825075,71.77571,None,None,None,10.947088,0.07283849
16000,0.041174583,0.00027675077,75.96219,4798.922205183241,4798.922221951187,4921.0,36.187805,0.06735809
17000,0.047354862,0.00027525076,78.74605,None,None,None,6.2029753,0.06614631
18000,0.0366742,0.00027375077,82.57516,None,None,None,5.1814146,0.07296027
19000,0.03485853,0.00027225076,84.494545,None,None,None,3.2693536,0.064735524
20000,0.03896795,0.00027075075,84.3118,None,None,None,3.3770928,0.06571233
21000,0.03283802,0.00026925074,86.81438,4845.977768262227,4845.977777570486,4921.0,48.541866,0.06455902
22000,0.03406304,0.00026775076,87.48146,None,None,None,2.2247815,0.071605295
23000,0.026042614,0.00026625075,90.15896,None,None,None,1.9943113,0.07001584
24000,0.029845877,0.00026475076,90.71611,None,None,None,1.4359548,0.068445414
25000,0.023957146,0.00026325078,90.75668,None,None,None,1.2223742,0.06720812
26000,0.043479986,0.0002617508,92.70258,4858.199996524387,4858.199999809265,4921.0,40.985733,0.06604728
27000,0.03521257,0.0002602508,92.761955,None,None,None,0.9406593,0.0683855
28000,0.024910156,0.00025875078,94.360214,None,None,None,0.70512056,0.06712903
29000,0.027729021,0.0002572508,93.99286,None,None,None,0.7372264,0.072523035
30000,0.017238926,0.00025575078,94.277794,None,None,None,0.4383885,0.067888364
31000,0.026091767,0.00025425077,95.57371,4848.422206030951,4848.422222018242,4921.0,56.92433,0.063772716
32000,0.02141528,0.0002527508,95.94658,None,None,None,0.4118828,0.07109304
33000,0.019857278,0.00025125075,96.84173,None,None,None,0.25837415,0.06575844
34000,0.02281892,0.00024975077,96.28954,None,None,None,0.8359443,0.076551326
35000,0.025001442,0.00024825076,95.902374,None,None,None,0.8935729,0.065805554
36000,0.03227418,0.00024675077,94.900116,4831.922210269504,4831.92222199589,4921.0,43.32809,0.063883625
37000,0.019202165,0.0002452508,95.6243,None,None,None,0.43108374,0.06393929
38000,0.024071665,0.0002437508,96.285515,None,None,None,0.24560106,0.06923945
39000,0.017472,0.0002422508,96.27424,None,None,None,0.27168655,0.06553277
40000,0.019058924,0.00024075079,97.02115,None,None,None,0.23678254,0.0736134
41000,0.02027723,0.00023925079,96.69504,4876.288885328505,4876.288888722658,4921.0,57.966385,0.065963864
42000,0.014510203,0.00023775079,97.346344,None,None,None,0.19005477,0.065223716
43000,0.018369019,0.0002362508,97.530945,None,None,None,0.23956591,0.06396131
44000,0.017706094,0.0002347508,97.191574,None,None,None,0.29327825,0.07404361
45000,0.017641347,0.0002332508,97.79709,None,None,None,0.16351265,0.0697246
46000,0.016822437,0.00023175082,98.4557,4904.277782440186,4904.277777649462,4921.0,43.49536,0.075273894
47000,0.014565485,0.00023025081,98.99718,None,None,None,0.27022108,0.073460355
48000,0.016187288,0.0002287508,98.76892,None,None,None,0.14834264,0.06722295
49000,0.014331338,0.00022725081,98.74789,None,None,None,0.18594454,0.06347658
50000,0.016692879,0.0002257508,98.630424,None,None,None,0.19912454,0.07734328
51000,0.018072259,0.00022425079,97.403915,4905.255556318495,4905.255555428565,4921.0,60.80717,0.06185517
52000,0.016070433,0.0002227508,97.299805,None,None,None,0.2894522,0.070295945
53000,0.018439248,0.00022125078,96.881004,None,None,None,1.9232421,0.07535428
54000,0.035275932,0.0002197508,95.73312,None,None,None,9.371914,0.07174206
55000,0.03117271,0.00021825082,94.3052,None,None,None,7.203119,0.07085787
56000,0.033853177,0.0002167508,93.01339,4572.933362430997,4572.933332756162,4921.0,46.87471,0.06511846
57000,0.010110464,0.0002152508,93.359406,None,None,None,3.8954248,0.06779303
58000,0.020957772,0.0002137508,93.443,None,None,None,1.3254422,0.06908558
59000,0.034107573,0.0002122508,93.324104,None,None,None,1.9004792,0.069586046
60000,0.03192821,0.0002107508,93.241264,None,None,None,0.8437205,0.06892131
61000,0.014665084,0.00020925081,93.57317,4641.0111083984375,4641.011110626161,4921.0,55.06172,0.07171881
62000,0.0199245,0.00020775081,93.475136,None,None,None,0.6670606,0.07129198
63000,0.011642946,0.00020625081,94.01238,None,None,None,0.43594924,0.07322828
64000,0.018680554,0.0002047508,94.904175,None,None,None,0.37980524,0.06796478
65000,0.015696118,0.0002032508,95.69623,None,None,None,0.26976442,0.06872607
66000,0.010899262,0.00020175081,95.53802,4910.266671498616,4910.266666546464,4921.0,43.60745,0.06862635
67000,0.02511156,0.0002002508,95.8377,None,None,None,0.6885817,0.08357891
68000,0.010548893,0.0001987508,95.467545,None,None,None,0.3442688,0.060785163
69000,0.013942959,0.00019725082,95.89533,None,None,None,0.2853361,0.0709302
70000,0.013845751,0.0001957508,96.447334,None,None,None,0.21964431,0.06840191
71000,0.014790308,0.00019425081,96.45356,4864.799997117784,4864.799999818206,4921.0,59.670506,0.061801966
72000,0.014457673,0.00019275081,96.67606,None,None,None,0.3197831,0.06924488
73000,0.012592028,0.00019125082,96.6966,None,None,None,0.26324782,0.06789951
74000,0.015629578,0.0001897508,97.12058,None,None,None,0.16503726,0.07273939
75000,0.013272826,0.00018825081,97.6095,None,None,None,0.23330456,0.06746206
76000,0.014733362,0.00018675081,97.86606,4907.455560472276,4907.455555431545,4921.0,44.753727,0.07134668
77000,0.00894406,0.0001852508,97.90949,None,None,None,0.17734247,0.06856026
78000,0.015465383,0.0001837508,97.74133,None,None,None,0.19377987,0.07042123
79000,0.01657091,0.0001822508,97.86581,None,None,None,0.17595291,0.07211633
80000,0.010543465,0.00018075081,98.01634,None,None,None,0.1624856,0.06789399
81000,0.015869515,0.00017925081,97.67827,4902.811120086246,4902.811110980809,4921.0,60.064957,0.07519586
82000,0.009712421,0.00017775082,96.935295,None,None,None,0.351343,0.073706344
83000,0.01797062,0.00017625082,97.13738,None,None,None,0.18810856,0.07288776
84000,0.013335497,0.0001747508,97.508316,None,None,None,0.1672064,0.071465224
85000,0.010529049,0.00017325081,97.76237,None,None,None,0.16878758,0.067861155
86000,0.019050237,0.00017175081,97.01846,4903.911114162869,4903.911110982299,4921.0,45.292675,0.07185479
87000,0.010920492,0.0001702508,96.83746,None,None,None,0.21780401,0.064141944
88000,0.016977375,0.0001687508,97.143166,None,None,None,0.42934188,0.081754245
89000,0.021358693,0.00016725081,97.11396,None,None,None,0.71067655,0.071030505
90000,0.0143944565,0.00016575081,97.139046,None,None,None,0.8980665,0.0661366
91000,0.0146824,0.0001642508,97.01408,4854.166665818956,4854.166666470468,4921.0,58.779415,0.068951145
92000,0.013373958,0.00016275082,97.16199,None,None,None,0.24637303,0.0777837
93000,0.014007854,0.00016125082,97.255585,None,None,None,0.15630963,0.07020028
94000,0.0098116,0.00015975082,97.28632,None,None,None,0.17750494,0.069439724
95000,0.01648247,0.00015825081,97.42525,None,None,None,0.26527405,0.066606715
96000,0.009685257,0.00015675082,97.1377,4906.233332316081,4906.233333207667,4921.0,42.97965,0.07297218
97000,0.015373498,0.00015525082,97.09135,None,None,None,0.1729488,0.0684676
98000,0.012077051,0.0001537508,97.37613,None,None,None,0.18420863,0.07320606
99000,0.010332669,0.00015225081,97.75846,None,None,None,0.15999655,0.07023228
100000,0.012790047,0.00015075081,97.84197,None,None,None,0.32940295,0.070997275
101000,0.009094714,0.00014925083,97.418785,4907.088897705078,4907.088888764381,4921.0,59.631638,0.06744007
102000,0.014964357,0.0001477508,97.52413,None,None,None,0.15950388,0.068574026
103000,0.010837909,0.00014625081,97.7202,None,None,None,0.15108797,0.07123546
104000,0.00861206,0.0001447508,97.96204,None,None,None,0.14508674,0.07906696
105000,0.023250274,0.00014325081,98.017426,None,None,None,0.61860144,0.079613864
106000,0.009749237,0.00014175082,97.444565,4888.144446902805,4888.144444294274,4921.0,44.74668,0.078598835
107000,0.010419704,0.00014025082,97.29222,None,None,None,0.5738293,0.06639878
108000,0.009341696,0.00013875082,97.21305,None,None,None,0.23421064,0.07063316
109000,0.016106965,0.00013725081,97.457306,None,None,None,0.18674205,0.06472739
110000,0.006488983,0.00013575082,97.714096,None,None,None,0.20758876,0.07677959
111000,0.011788463,0.00013425082,96.94704,4866.877771218617,4866.877777598798,4921.0,60.319294,0.07930855
112000,0.012697868,0.00013275082,97.337616,None,None,None,0.16958314,0.07064678
