시도,학교급,학교수,학급수_계,1학년_학급수,2학년_학급수,3학년_학급수,4학년_학급수,5학년_학급수,6학년_학급수,학생수_총계_계,학생수_총계_여,1학년_학생수_계,1학년_학생수_여,2학년_학생수_계,2학년_학생수_여,3학년_학생수_계,3학년_학생수_여,4학년_학생수_계,4학년_학생수_여,5학년_학생수_계,5학년_학생수_여,6학년_학생수_계,6학년_학생수_여,학급당 학생수, 다문화 학생수 ,교원수_총계_계,교원수_총계_여,교원수_정규교원_계,교원수_정규교원_여,교원수_기간제교원_계,교원수_기간제교원_여,교원1인당 학생수
서울,고등기술학교,2,5,3,1,1,0,0,0,46,17,8,6,16,5,22,6,0,0,0,0,0,0,9.2,0,14,7,9,3,5,4,3.3
서울,방통중,1,17,5,6,6,0,0,0,292,246,99,85,94,77,99,84,0,0,0,0,0,0,17.2,0,0,0,0,0,0,0,0
서울,방통고,5,74,23,25,26,0,0,0,1743,1245,539,405,546,374,658,466,0,0,0,0,0,0,23.6,0,0,0,0,0,0,0,0
부산,초등학교,305,6856,1178,1188,1090,1127,1173,1100,152775,74238,26625,13057,26202,12750,24001,11590,25283,12317,26554,12868,24110,11656,22.3,4097,10170,8278,9980,8117,190,161,15
부산,중학교,174,3043,971,1020,1052,0,0,0,77021,36984,23743,11414,25856,12525,27422,13045,0,0,0,0,0,0,25.3,685,6325,4666,5180,3846,1145,820,12.2
부산,고등기술학교,1,10,3,3,4,0,0,0,118,59,31,21,37,14,50,24,0,0,0,0,0,0,11.8,0,28,8,25,5,3,3,4.2
부산,방통중,1,6,2,2,2,0,0,0,175,132,60,47,57,39,58,46,0,0,0,0,0,0,29.2,0,0,0,0,0,0,0,0
부산,방통고,2,18,5,5,8,0,0,0,416,298,114,79,123,85,179,134,0,0,0,0,0,0,23.1,0,0,0,0,0,0,0,0
대구,초등학교,229,5473,916,884,866,896,973,938,125160,60552,21081,10299,20892,10074,19689,9488,20796,10029,22383,10931,20319,9731,22.9,3136,9039,7406,8869,7243,170,163,13.8
대구,중학교,125,2671,850,858,963,0,0,0,66165,31399,20413,9680,22006,10489,23746,11230,0,0,0,0,0,0,24.8,478,5605,3982,4848,3467,757,515,11.8
대구,방통중,1,13,5,4,4,0,0,0,397,348,160,140,130,115,107,93,0,0,0,0,0,0,30.5,0,0,0,0,0,0,0,0
대구,방통고,1,18,6,6,6,0,0,0,561,434,189,154,188,146,184,134,0,0,0,0,0,0,31.2,0,0,0,0,0,0,0,0
인천,초등학교,249,6981,1171,1181,1117,1129,1215,1168,158871,77308,27289,13219,26893,13091,25485,12353,26306,12975,27903,13636,24995,12034,22.8,5158,10037,7565,9597,7238,440,327,15.8
인천,중학교,134,2871,925,930,1016,0,0,0,76565,37128,24027,11634,25662,12443,26876,13051,0,0,0,0,0,0,26.7,1204,5685,4240,4938,3702,747,538,13.5
인천,방통중,1,6,2,2,2,0,0,0,143,127,50,46,49,45,44,36,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0
인천,방통고,2,18,6,6,6,0,0,0,396,272,113,81,130,86,153,105,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
광주,초등학교,154,4050,656,654,634,658,724,724,88622,42780,14645,7079,14810,7190,14131,6836,14616,7138,15925,7576,14495,6961,21.9,2322,6084,4889,5991,4813,93,76,14.6
광주,중학교,90,1819,577,597,645,0,0,0,45437,21776,13837,6685,15178,7276,16422,7815,0,0,0,0,0,0,25,454,3742,2611,3029,2111,713,500,12.1
광주,고등기술학교,1,2,2,0,0,0,0,0,21,17,21,17,0,0,0,0,0,0,0,0,0,0,10.5,0,1,1,1,1,0,0,21
광주,방통중,1,9,3,3,3,0,0,0,249,217,90,81,76,66,83,70,0,0,0,0,0,0,27.7,0,0,0,0,0,0,0,0
광주,방통고,2,24,8,8,8,0,0,0,622,466,187,154,234,161,201,151,0,0,0,0,0,0,25.9,0,0,0,0,0,0,0,0
대전,초등학교,148,3897,639,629,606,635,677,711,83453,40461,14056,6802,13849,6699,13136,6383,13961,6789,14831,7244,13620,6544,21.4,2059,6030,5320,5920,5225,110,95,13.8
대전,중학교,88,1593,513,520,560,0,0,0,42675,20547,13178,6303,14499,7006,14998,7238,0,0,0,0,0,0,26.8,335,3490,2472,3028,2173,462,299,12.2
대전,방통중,1,6,2,2,2,0,0,0,162,135,60,49,49,45,53,41,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
대전,방통고,2,21,7,7,7,0,0,0,532,383,165,119,195,135,172,129,0,0,0,0,0,0,25.3,0,0,0,0,0,0,0,0
울산,초등학교,117,2926,486,488,462,474,499,517,67290,32253,11589,5539,11432,5484,10877,5193,11173,5355,11717,5670,10502,5012,23,2236,4229,3301,4014,3158,215,143,15.9
울산,중학교,63,1237,385,412,440,0,0,0,31906,15000,9988,4723,10688,5017,11230,5260,0,0,0,0,0,0,25.8,369,2704,2032,2207,1661,497,371,11.8
울산,방통중,1,4,2,1,1,0,0,0,126,103,61,55,32,26,33,22,0,0,0,0,0,0,31.5,0,0,0,0,0,0,0,0
울산,방통고,1,8,2,3,3,0,0,0,220,129,60,39,73,41,87,49,0,0,0,0,0,0,27.5,0,0,0,0,0,0,0,0
세종,초등학교,47,1179,203,200,200,198,191,187,24865,12252,4442,2132,4316,2101,4146,2015,4197,2108,4031,2054,3733,1842,21.1,470,1793,1376,1740,1328,53,48,13.9
세종,중학교,23,453,149,159,145,0,0,0,10070,5070,3403,1714,3419,1727,3248,1629,0,0,0,0,0,0,22.2,73,988,713,918,662,70,51,10.2
경기,초등학교,1261,30119,5033,4992,4771,4971,5209,5143,752499,366319,128512,62762,126984,61689,120678,58641,125691,61095,131240,64068,119394,58064,25,22183,45201,35974,42102,33575,3099,2399,16.6
경기,중학교,627,12369,3821,4141,4407,0,0,0,358438,173754,112801,54831,121394,58940,124243,59983,0,0,0,0,0,0,29,4395,25680,19368,21509,16328,4171,3040,14
경기,고등공민학교,1,3,1,1,1,0,0,0,35,13,11,2,10,4,14,7,0,0,0,0,0,0,11.7,0,5,2,5,2,0,0,7
경기,방통중,4,36,12,12,12,0,0,0,854,738,301,270,275,241,278,227,0,0,0,0,0,0,23.7,0,0,0,0,0,0,0,0
경기,방통고,5,58,20,19,19,0,0,0,1587,1069,532,376,555,377,500,316,0,0,0,0,0,0,27.4,0,0,0,0,0,0,0,0
강원,초등학교,351,4271,674,698,689,730,763,717,75412,36443,12501,6009,12535,6072,12160,5956,12434,6043,13513,6453,12269,5910,17.7,2794,6558,4385,6419,4281,139,104,11.5
강원,중학교,163,1734,565,586,583,0,0,0,39391,18872,12394,5929,13278,6341,13719,6602,0,0,0,0,0,0,22.7,732,3842,2428,3598,2241,244,187,10.3
강원,방통중,3,27,9,9,9,0,0,0,767,664,268,242,252,226,247,196,0,0,0,0,0,0,28.4,0,0,0,0,0,0,0,0
강원,방통고,7,31,13,9,9,0,0,0,698,457,329,241,163,96,206,120,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0
충북,초등학교,258,4281,694,698,682,703,742,762,85344,41335,14488,7104,14511,7008,13674,6600,14150,6811,14992,7206,13529,6606,19.9,3727,6646,4708,6461,4578,185,130,12.8
충북,중학교,127,1696,521,562,613,0,0,0,41869,19977,13140,6313,14240,6758,14489,6906,0,0,0,0,0,0,24.7,719,3848,2539,3465,2294,383,245,10.9
충북,방통중,1,2,2,0,0,0,0,0,50,42,50,42,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
충북,방통고,2,17,5,6,6,0,0,0,458,269,154,94,154,89,150,86,0,0,0,0,0,0,26.9,0,0,0,0,0,0,0,0
충남,초등학교,409,5925,974,970,956,994,1018,1013,120152,57939,20642,9931,20309,9774,19301,9360,19958,9742,20882,10029,19060,9103,20.3,6172,9203,6140,8702,5764,501,376,13.1
충남,중학교,187,2249,737,740,772,0,0,0,56595,27322,18028,8738,19141,9261,19426,9323,0,0,0,0,0,0,25.2,1240,5026,3067,4357,2599,669,468,11.3
충남,고등기술학교,1,4,2,1,1,0,0,0,82,46,30,15,26,18,26,13,0,0,0,0,0,0,20.5,0,10,4,7,3,3,1,8.2
충남,방통중,1,3,3,0,0,0,0,0,75,64,75,64,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
충남,방통고,2,18,6,6,6,0,0,0,522,297,159,88,170,99,193,110,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
전북,초등학교,419,5110,805,822,802,859,890,932,97606,47395,16341,8033,16384,7928,15513,7537,16268,7837,17314,8406,15786,7654,19.1,4975,8126,5970,7982,5849,144,121,12
전북,중학교,209,2067,662,684,721,0,0,0,50859,24438,15906,7533,17102,8273,17851,8632,0,0,0,0,0,0,24.6,996,4701,2935,4116,2542,585,393,10.8
전북,고등공민학교,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전북,방통중,1,9,3,3,3,0,0,0,243,202,90,80,81,63,72,59,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
전북,방통고,2,10,4,3,3,0,0,0,281,190,110,60,81,62,90,68,0,0,0,0,0,0,28.1,0,0,0,0,0,0,0,0
전남,초등학교,429,5077,824,814,806,832,890,911,94134,45845,15973,7966,15908,7602,15061,7383,15517,7462,16541,8038,15134,7394,18.5,6095,8028,4884,7686,4672,342,212,11.7
전남,중학교,248,2071,631,689,751,0,0,0,47270,22682,14657,7113,15981,7595,16632,7974,0,0,0,0,0,0,22.8,1377,4973,3062,4364,2680,609,382,9.5
전남,방통중,2,12,4,4,4,0,0,0,288,238,102,93,95,74,91,71,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
전남,방통고,2,14,5,5,4,0,0,0,327,227,100,69,130,86,97,72,0,0,0,0,0,0,23.4,0,0,0,0,0,0,0,0
경북,초등학교,470,6291,1030,1026,1006,1052,1117,1060,129290,61963,22196,10680,21692,10483,20718,9880,21531,10282,22606,10865,20547,9773,20.6,6467,10168,6527,9598,6134,570,393,12.7
경북,중학교,262,2820,889,949,982,0,0,0,63540,29977,20033,9547,21229,9948,22278,10482,0,0,0,0,0,0,22.5,1055,6387,4030,5442,3401,945,629,9.9
경북,방통중,1,3,3,0,0,0,0,0,84,65,84,65,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
경북,방통고,4,29,9,9,11,0,0,0,677,403,186,105,224,137,267,161,0,0,0,0,0,0,23.3,0,0,0,0,0,0,0,0
경남,초등학교,502,9022,1498,1499,1454,1500,1574,1497,191016,92304,32769,15991,32352,15546,30560,14725,31943,15500,33524,16222,29868,14320,21.2,7741,13623,10048,13063,9610,560,438,14
경남,중학교,264,3566,1161,1216,1189,0,0,0,90851,42995,28490,13646,30716,14447,31645,14902,0,0,0,0,0,0,25.5,1061,7664,4957,6557,4246,1107,711,11.9
경남,고등공민학교,1,2,1,1,0,0,0,0,29,26,17,17,12,9,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0
경남,고등기술학교,1,14,3,5,6,0,0,0,265,0,45,0,97,0,123,0,0,0,0,0,0,0,18.9,0,30,5,20,1,10,4,8.8
경남,방통중,2,15,5,5,5,0,0,0,442,386,150,140,149,131,143,115,0,0,0,0,0,0,29.5,0,0,0,0,0,0,0,0
경남,방통고,2,20,7,6,7,0,0,0,542,362,206,153,185,121,151,88,0,0,0,0,0,0,27.1,0,0,0,0,0,0,0,0
제주,초등학교,113,1775,291,287,280,283,308,326,40096,19357,6800,3251,6739,3256,6464,3110,6560,3209,7030,3433,6503,3098,22.6,1455,2757,2083,2672,2011,85,72,14.5
제주,중학교,45,718,225,233,260,0,0,0,19306,9115,6168,2902,6378,3015,6760,3198,0,0,0,0,0,0,26.9,194,1503,989,1309,859,194,130,12.8
제주,방통중,1,6,2,2,2,0,0,0,129,109,44,37,42,39,43,33,0,0,0,0,0,0,21.5,0,0,0,0,0,0,0,0
제주,방통고,1,15,5,5,5,0,0,0,299,147,77,41,85,36,137,70,0,0,0,0,0,0,19.9,0,0,0,0,0,0,0,0
