지점,시간,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
164,2002-05-15 00:00,,1,,,,,.9,,
164,2002-05-16 00:00,,1,,,,,.6,,
