지점,시간,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
164,2002-03-05 04:15,-17.3,0,,,,,,,
164,2002-03-11 04:16,-18.6,0,,,,,0,,
164,2002-03-11 04:17,-18.6,0,,,,,0,,
164,2002-03-14 04:21,,0,,,,,,,
164,2002-03-15 04:38,,0,,,,,,,
164,2002-03-17 04:14,,0,,,,,,,
164,2002-03-22 04:17,,0,,,,,,,
164,2002-03-23 04:46,,0,,,,,,,
164,2002-03-28 04:34,,0,,,,,,,
164,2002-03-29 04:35,,0,,,,,,,
