지점,시간,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
164,2002-02-01 04:13,,0,,,,,,,
164,2002-02-08 04:13,,0,,,,,,,
164,2002-02-17 04:13,,0,,,,,,,
164,2002-02-17 04:16,,0,,,,,,,
164,2002-02-19 04:15,,0,,,,,,,
164,2002-02-20 04:15,,0,,,,,,,
