지점,시간,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
164,2002-04-01 04:12,,0,,,,,,,
164,2002-04-01 04:13,,0,,,,,,,
164,2002-04-01 04:38,,0,,,,,,,
164,2002-04-01 04:47,,0,,,,,,,
164,2002-04-06 04:13,-20,0,,,,,0,,
164,2002-04-06 04:14,,0,,,,,,,
164,2002-04-06 04:20,-17.3,0,,,,,,,
164,2002-04-06 04:21,-19.9,0,,,,,,,
164,2002-04-07 04:20,-17.3,0,,,,,,,
164,2002-04-07 04:21,,0,,,,,,,
164,2002-04-07 04:24,,0,,,,,,,
164,2002-04-07 04:32,,0,,,,,,,
164,2002-04-07 04:33,,0,,,,,,,
164,2002-04-07 04:39,-25.6,0,,,,,,,
164,2002-04-07 04:41,-33.6,0,,,,,0,,
164,2002-04-08 04:12,,0,,,,,,,
164,2002-04-08 04:19,,0,,,,,,,
164,2002-04-08 04:20,-17.3,0,,,,,,,
164,2002-04-08 04:25,-17.8,0,,,,,,,
164,2002-04-08 04:29,-19.9,0,,,,,,,
164,2002-04-08 04:30,-22,0,,,,,,,
164,2002-04-08 04:42,-14.9,0,,,,,0,,
164,2002-04-09 04:14,,0,,,,,,,
164,2002-04-09 04:17,,0,,,,,,,
164,2002-04-09 04:20,-17.3,0,,,,,,,
164,2002-04-09 04:23,-16.7,0,,,,,,,
164,2002-04-09 04:25,-17.8,0,,,,,,,
164,2002-04-09 04:27,,0,,,,,,,
164,2002-04-09 04:30,-22,0,,,,,,,
164,2002-04-09 04:33,,0,,,,,,,
164,2002-04-09 04:42,-14.9,0,,,,,0,,
164,2002-04-09 04:51,,0,,,,,,,
164,2002-04-09 04:54,-30.9,0,,,,,,,
164,2002-04-10 04:13,,0,,,,,,,
164,2002-04-10 04:14,,0,,,,,,,
164,2002-04-10 04:15,,0,,,,,,,
164,2002-04-10 04:16,-14,0,,,,,,,
164,2002-04-10 04:18,,0,,,,,,,
164,2002-04-10 04:22,,0,,,,,,,
164,2002-04-10 04:23,-12.9,0,,,,,,,
164,2002-04-10 04:25,-17.8,0,,,,,,,
164,2002-04-10 04:27,,0,,,,,,,
164,2002-04-10 04:28,-16.1,0,,,,,25.6,,
164,2002-04-10 04:30,-21,0,,,,,,,
164,2002-04-10 04:33,,0,,,,,,,
164,2002-04-10 04:35,,0,,,,,,,
164,2002-04-10 04:39,,0,,,,,,,
164,2002-04-10 04:44,,0,,,,,,,
164,2002-04-10 04:46,,0,,,,,,,
164,2002-04-10 04:50,,0,,,,,,,
164,2002-04-11 04:13,-14.6,0,,,,,0,,
164,2002-04-11 04:14,,0,,,,,,,
164,2002-04-11 04:15,,0,,,,,,,
164,2002-04-11 04:16,,0,,,,,,,
164,2002-04-11 04:17,,0,,,,,,,
164,2002-04-11 04:18,,0,,,,,,,
164,2002-04-11 04:19,,0,,,,,,,
164,2002-04-11 04:20,,0,,,,,,,
164,2002-04-11 04:22,,0,,,,,,,
164,2002-04-11 04:23,-12.9,0,,,,,,,
164,2002-04-11 04:24,,0,,,,,,,
164,2002-04-11 04:25,-17.8,0,,,,,,,
164,2002-04-11 04:27,,0,,,,,,,
164,2002-04-11 04:28,,0,,,,,,,
164,2002-04-11 04:29,,0,,,,,,,
164,2002-04-11 04:32,,0,,,,,,,
164,2002-04-11 04:33,,0,,,,,,,
164,2002-04-11 04:39,,0,,,,,,,
164,2002-04-11 04:46,,0,,,,,,,
164,2002-04-12 04:13,,0,,,,,,,
164,2002-04-12 04:14,,0,,,,,,,
164,2002-04-12 04:15,,0,,,,,,,
164,2002-04-12 04:16,,0,,,,,,,
164,2002-04-12 04:17,-21.5,0,,,,,,,
164,2002-04-12 04:19,,0,,,,,,,
164,2002-04-12 04:20,,0,,,,,,,
164,2002-04-12 04:22,,0,,,,,,,
164,2002-04-12 04:23,-12.9,0,,,,,,,
164,2002-04-12 04:24,,0,,,,,,,
164,2002-04-12 04:25,-17.8,0,,,,,,,
164,2002-04-12 04:26,,0,,,,,,,
164,2002-04-12 04:28,,0,,,,,,,
164,2002-04-12 04:31,,0,,,,,,,
164,2002-04-12 04:32,,0,,,,,,,
164,2002-04-12 04:33,,0,,,,,,,
164,2002-04-12 04:34,,0,,,,,,,
164,2002-04-12 04:36,,0,,,,,,,
164,2002-04-12 04:38,,0,,,,,,,
164,2002-04-12 04:39,-25.6,0,,,,,,,
164,2002-04-12 04:44,,0,,,,,,,
164,2002-04-12 04:46,,0,,,,,,,
