Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
92000,1.3323675,-0.4748028,499.0,-1.9674997823312879,-1.9674997823312879,1.0
93000,1.3406119,-0.5041781,None,None,None,1.0
94000,1.3373843,-0.4099381,499.0,-3.741249774582684,-3.741249774582684,1.0
95000,1.3348669,-0.40772775,None,None,None,1.0
96000,1.3271767,-0.47111404,499.0,-3.8424997748807073,-3.8424997748807073,1.0
97000,1.322498,-0.68576634,None,None,None,1.0
98000,1.3206487,-0.5748459,499.0,-6.837499596178532,-6.837499596178532,1.0
99000,1.3405261,-0.31600344,None,None,None,1.0
100000,1.3211217,-0.5609471,499.0,1.8487498685717583,1.8487498685717583,1.0
101000,1.3207986,-1.0349185,None,None,None,1.0
102000,1.3284551,-0.78980446,499.0,-7.274999437853694,-7.274999437853694,1.0
103000,1.3229741,-0.48550642,499.0,None,None,1.0
104000,1.3084617,-0.64768755,499.0,-2.2274999134242535,-2.2274999134242535,1.0
105000,1.3181162,-0.5595069,None,None,None,1.0
106000,1.300163,-0.41986698,499.0,-2.7037498420104384,-2.7037498420104384,1.0
107000,1.3207405,-0.37633222,None,None,None,1.0
108000,1.3212632,-0.257391,499.0,-2.9149997793138027,-2.9149997793138027,1.0
109000,1.3299809,-0.017379738,None,None,None,1.0
110000,1.321912,-0.22753644,499.0,2.1099998224526644,2.1099998224526644,1.0
111000,1.2984098,-0.8638218,None,None,None,1.0
112000,1.3198596,-0.72249043,499.0,-3.4049998372793198,-3.4049998372793198,1.0
113000,1.3037784,-0.5770663,499.0,None,None,1.0
114000,1.3229005,-0.41797584,499.0,-2.202499863691628,-2.202499863691628,1.0
115000,1.3048828,-0.17600185,None,None,None,1.0
116000,1.2909026,-0.30295342,499.0,-0.1224999763071537,-0.1224999763071537,1.0
117000,1.2974868,-0.36411417,None,None,None,1.0
118000,1.2687764,-0.338051,499.0,-4.731249716132879,-4.731249716132879,1.0
119000,1.2841214,-0.39671504,None,None,None,1.0
120000,1.2966523,-0.49710613,499.0,-0.2887500822544098,-0.2887500822544098,1.0
121000,1.3387247,-0.19623566,None,None,None,1.0
122000,1.2869368,-0.23394638,499.0,-0.11749998922459781,-0.11749998922459781,1.0
123000,1.2798935,-0.40666363,None,None,None,1.0
124000,1.239312,-0.40790287,499.0,-0.6837500147521496,-0.6837500147521496,1.0
125000,1.2490631,-0.7030151,None,None,None,1.0
126000,1.2194935,-1.0642531,499.0,-5.926249669864774,-5.926249669864774,1.0
127000,1.2426639,-1.3490703,None,None,None,1.0
128000,1.2678508,-0.99570286,499.0,-7.728749580681324,-7.728749580681324,1.0
129000,1.2776108,-0.37650523,None,None,None,1.0
130000,1.2397573,-0.28871685,499.0,-1.753750005736947,-1.753750005736947,1.0
131000,1.2837963,-0.18919362,None,None,None,1.0
132000,1.2711885,-0.24835685,499.0,-0.24250008538365364,-0.24250008538365364,1.0
133000,1.2946284,-0.214517,None,None,None,1.0
134000,1.2561129,-0.16028139,499.0,2.4899998120963573,2.4899998120963573,1.0
135000,1.2569845,-0.1969129,None,None,None,1.0
136000,1.1980846,-0.2588889,499.0,3.4424997121095657,3.4424997121095657,1.0
137000,1.2167417,-0.3690582,None,None,None,1.0
138000,1.1739887,-0.2282432,499.0,1.0237498618662357,1.0237498618662357,1.0
139000,1.161787,-0.19261533,None,None,None,1.0
140000,1.180291,-0.19377086,499.0,1.9849998652935028,1.9849998652935028,1.0
141000,1.2470121,-0.048976935,None,None,None,1.0
142000,1.2596959,-0.061512783,499.0,3.1749997287988663,3.1749997287988663,1.0
143000,1.2559702,-0.042099886,None,None,None,1.0
144000,1.1513882,-0.5516473,499.0,3.3924997390713543,3.3924997390713543,1.0
145000,1.1629614,-1.7913535,None,None,None,1.0
146000,1.1224055,-1.1988567,499.0,-10.513749405741692,-10.513749405741692,1.0
147000,1.1547925,-0.3185647,None,None,None,1.0
148000,1.1554137,-0.29329553,499.0,2.3749998435378075,2.3749998435378075,1.0
149000,1.1967162,0.1317776,None,None,None,1.0
150000,1.1561708,-0.29621467,499.0,5.927499562501907,5.927499562501907,1.0
151000,1.2162167,-0.566526,None,None,None,1.0
