Type,Color,ActiveColor,TextColor
Bed,#000000,#100000,white
Table,#000001,#100001,black
Chair,#000002,#100002,black
Shelf,#000003,#100003,black
Closet,#000004,#100004,black
Cabinet,#000005,#100005,black
Sofa,#000006,#100006,black
Bookshelf,#000007,#100007,white
Trash,#000008,#100008,black
Pot,#000009,#100009,black
TV,#000010,#100010,white
Computer,#000011,#100011,white
Mirror,#000012,#100012,black
Hanger,#000013,#100013,white
Lamp,#000014,#100014,white
Other,#000015,#100015,black
