년도,구분,죄종,발생검거,건수
2017,관악,폭력,발생,3152
2017,관악,폭력,검거,2666
2017,강서,살인,발생,11
2017,강서,살인,검거,11
2017,강서,강도,발생,4
2017,강서,강도,검거,6
2017,강서,강간,발생,316
2017,강서,강간,검거,253
2017,강서,절도,발생,1888
2017,강서,절도,검거,1113
2017,강서,폭력,발생,2916
2017,강서,폭력,검거,2544
2017,강동,살인,발생,5
2017,강동,살인,검거,6
2017,강동,강도,발생,10
2017,강동,강도,검거,12
2017,강동,강간,발생,172
2017,강동,강간,검거,169
2017,강동,절도,발생,1645
2017,강동,절도,검거,949
2017,강동,폭력,발생,2429
2017,강동,폭력,검거,2109
2017,종암,살인,발생,2
2017,종암,살인,검거,2
2017,종암,강도,발생,3
2017,종암,강도,검거,3
2017,종암,강간,발생,66
2017,종암,강간,검거,62
2017,종암,절도,발생,643
2017,종암,절도,검거,371
2017,종암,폭력,발생,897
2017,종암,폭력,검거,772
2017,구로,살인,발생,7
2017,구로,살인,검거,8
2017,구로,강도,발생,8
2017,구로,강도,검거,6
2017,구로,강간,발생,328
2017,구로,강간,검거,181
2017,구로,절도,발생,1725
2017,구로,절도,검거,869
2017,구로,폭력,발생,2827
2017,구로,폭력,검거,2344
2017,서초,살인,발생,8
2017,서초,살인,검거,8
2017,서초,강도,발생,9
2017,서초,강도,검거,2
2017,서초,강간,발생,405
2017,서초,강간,검거,223
2017,서초,절도,발생,1448
2017,서초,절도,검거,659
2017,서초,폭력,발생,1889
2017,서초,폭력,검거,1636
2017,양천,살인,발생,3
2017,양천,살인,검거,2
2017,양천,강도,발생,3
2017,양천,강도,검거,2
2017,양천,강간,발생,138
2017,양천,강간,검거,122
2017,양천,절도,발생,1590
2017,양천,절도,검거,756
2017,양천,폭력,발생,2148
2017,양천,폭력,검거,1778
2017,송파,살인,발생,6
2017,송파,살인,검거,6
2017,송파,강도,발생,1
2017,송파,강도,검거,3
2017,송파,강간,발생,288
2017,송파,강간,검거,242
2017,송파,절도,발생,2274
2017,송파,절도,검거,1026
2017,송파,폭력,발생,3007
2017,송파,폭력,검거,2593
2017,노원,살인,발생,4
2017,노원,살인,검거,4
2017,노원,강도,발생,9
2017,노원,강도,검거,7
2017,노원,강간,발생,180
2017,노원,강간,검거,155
2017,노원,절도,발생,1538
2017,노원,절도,검거,757
