Hedge 5: X: -1.453000, Y: 0.781000, Z: -1.149000, Angle: 0 at time T: 6852247
Hedge 5: X: -1.457000, Y: 0.785000, Z: -1.143000, Angle: 0 at time T: 6852422
Hedge 5: X: -1.455000, Y: 0.784000, Z: -1.146000, Angle: 0 at time T: 6852600
Hedge 5: X: -1.454000, Y: 0.782000, Z: -1.146000, Angle: 0 at time T: 6852778
Hedge 5: X: -1.459000, Y: 0.783000, Z: -1.147000, Angle: 0 at time T: 6852954
Hedge 5: X: -1.456000, Y: 0.783000, Z: -1.147000, Angle: 0 at time T: 6853127
Hedge 5: X: -1.460000, Y: 0.783000, Z: -1.151000, Angle: 0 at time T: 6853306
Hedge 5: X: -1.455000, Y: 0.782000, Z: -1.149000, Angle: 0 at time T: 6853483
Hedge 5: X: -1.459000, Y: 0.781000, Z: -1.151000, Angle: 0 at time T: 6853658
Hedge 5: X: -1.456000, Y: 0.782000, Z: -1.150000, Angle: 0 at time T: 6853831
Hedge 5: X: -1.456000, Y: 0.781000, Z: -1.152000, Angle: 0 at time T: 6854007
Hedge 5: X: -1.463000, Y: 0.787000, Z: -1.149000, Angle: 0 at time T: 6854185
Hedge 5: X: -1.461000, Y: 0.788000, Z: -1.146000, Angle: 0 at time T: 6854370
Hedge 5: X: -1.463000, Y: 0.791000, Z: -1.147000, Angle: 0 at time T: 6854546
Hedge 5: X: -1.463000, Y: 0.791000, Z: -1.150000, Angle: 0 at time T: 6854710
Hedge 5: X: -1.480000, Y: 0.795000, Z: -1.144000, Angle: 0 at time T: 6854874
Hedge 5: X: -1.477000, Y: 0.794000, Z: -1.145000, Angle: 0 at time T: 6855038
Hedge 5: X: -1.477000, Y: 0.797000, Z: -1.148000, Angle: 0 at time T: 6855204
Hedge 5: X: -1.482000, Y: 0.795000, Z: -1.146000, Angle: 0 at time T: 6855384
Hedge 5: X: -1.479000, Y: 0.793000, Z: -1.148000, Angle: 0 at time T: 6855560
Hedge 5: X: -1.477000, Y: 0.792000, Z: -1.152000, Angle: 0 at time T: 6855735
Hedge 5: X: -1.473000, Y: 0.789000, Z: -1.147000, Angle: 0 at time T: 6855912
Hedge 5: X: -1.472000, Y: 0.792000, Z: -1.150000, Angle: 0 at time T: 6856090
Hedge 5: X: -1.473000, Y: 0.790000, Z: -1.151000, Angle: 0 at time T: 6856266
Hedge 5: X: -1.472000, Y: 0.789000, Z: -1.151000, Angle: 0 at time T: 6856444
Hedge 5: X: -1.482000, Y: 0.796000, Z: -1.141000, Angle: 0 at time T: 6856619
Hedge 5: X: -1.478000, Y: 0.798000, Z: -1.146000, Angle: 0 at time T: 6856796
Hedge 5: X: -1.476000, Y: 0.795000, Z: -1.146000, Angle: 0 at time T: 6856971
Hedge 5: X: -1.474000, Y: 0.794000, Z: -1.149000, Angle: 0 at time T: 6857144
Hedge 5: X: -1.476000, Y: 0.791000, Z: -1.151000, Angle: 0 at time T: 6857319
Hedge 5: X: -1.478000, Y: 0.788000, Z: -1.146000, Angle: 0 at time T: 6857502
Hedge 5: X: -1.479000, Y: 0.788000, Z: -1.151000, Angle: 0 at time T: 6857678
Hedge 5: X: -1.472000, Y: 0.791000, Z: -1.149000, Angle: 0 at time T: 6857855
Hedge 5: X: -1.481000, Y: 0.791000, Z: -1.147000, Angle: 0 at time T: 6858018
Hedge 5: X: -1.477000, Y: 0.792000, Z: -1.152000, Angle: 0 at time T: 6858181
Hedge 5: X: -1.477000, Y: 0.788000, Z: -1.151000, Angle: 0 at time T: 6858344
