Hedge 5: X: -1.262000, Y: 0.927000, Z: -1.140000, Angle: 0 at time T: 8966911
Hedge 5: X: -1.259000, Y: 0.928000, Z: -1.139000, Angle: 0 at time T: 8967076
Hedge 5: X: -1.267000, Y: 0.929000, Z: -1.138000, Angle: 0 at time T: 8967250
Hedge 5: X: -1.264000, Y: 0.929000, Z: -1.138000, Angle: 0 at time T: 8967430
Hedge 5: X: -1.263000, Y: 0.927000, Z: -1.143000, Angle: 0 at time T: 8967605
Hedge 5: X: -1.262000, Y: 0.925000, Z: -1.142000, Angle: 0 at time T: 8967783
Hedge 5: X: -1.261000, Y: 0.927000, Z: -1.143000, Angle: 0 at time T: 8967961
Hedge 5: X: -1.261000, Y: 0.926000, Z: -1.142000, Angle: 0 at time T: 8968137
Hedge 5: X: -1.267000, Y: 0.928000, Z: -1.140000, Angle: 0 at time T: 8968310
Hedge 5: X: -1.263000, Y: 0.930000, Z: -1.139000, Angle: 0 at time T: 8968489
Hedge 5: X: -1.262000, Y: 0.930000, Z: -1.141000, Angle: 0 at time T: 8968666
Hedge 5: X: -1.266000, Y: 0.929000, Z: -1.139000, Angle: 0 at time T: 8968841
Hedge 5: X: -1.263000, Y: 0.930000, Z: -1.137000, Angle: 0 at time T: 8969014
Hedge 5: X: -1.259000, Y: 0.930000, Z: -1.138000, Angle: 0 at time T: 8969188
Hedge 5: X: -1.264000, Y: 0.930000, Z: -1.137000, Angle: 0 at time T: 8969363
Hedge 5: X: -1.263000, Y: 0.930000, Z: -1.138000, Angle: 0 at time T: 8969546
Hedge 5: X: -1.265000, Y: 0.929000, Z: -1.138000, Angle: 0 at time T: 8969719
Hedge 5: X: -1.268000, Y: 0.927000, Z: -1.142000, Angle: 0 at time T: 8969883
Hedge 5: X: -1.265000, Y: 0.930000, Z: -1.140000, Angle: 0 at time T: 8970047
Hedge 5: X: -1.262000, Y: 0.929000, Z: -1.140000, Angle: 0 at time T: 8970211
Hedge 5: X: -1.261000, Y: 0.929000, Z: -1.141000, Angle: 0 at time T: 8970377
Hedge 5: X: -1.267000, Y: 0.928000, Z: -1.140000, Angle: 0 at time T: 8970557
Hedge 5: X: -1.263000, Y: 0.929000, Z: -1.142000, Angle: 0 at time T: 8970733
Hedge 5: X: -1.264000, Y: 0.930000, Z: -1.142000, Angle: 0 at time T: 8970908
Hedge 5: X: -1.270000, Y: 0.929000, Z: -1.143000, Angle: 0 at time T: 8971086
Hedge 5: X: -1.266000, Y: 0.928000, Z: -1.139000, Angle: 0 at time T: 8971264
Hedge 5: X: -1.263000, Y: 0.926000, Z: -1.140000, Angle: 0 at time T: 8971440
Hedge 5: X: -1.261000, Y: 0.929000, Z: -1.140000, Angle: 0 at time T: 8971617
Hedge 5: X: -1.262000, Y: 0.929000, Z: -1.140000, Angle: 0 at time T: 8971792
Hedge 5: X: -1.262000, Y: 0.930000, Z: -1.138000, Angle: 0 at time T: 8971969
Hedge 5: X: -1.260000, Y: 0.930000, Z: -1.139000, Angle: 0 at time T: 8972144
Hedge 5: X: -1.261000, Y: 0.929000, Z: -1.138000, Angle: 0 at time T: 8972317
Hedge 5: X: -1.261000, Y: 0.929000, Z: -1.138000, Angle: 0 at time T: 8972490
Hedge 5: X: -1.262000, Y: 0.932000, Z: -1.139000, Angle: 0 at time T: 8972670
Hedge 5: X: -1.260000, Y: 0.929000, Z: -1.138000, Angle: 0 at time T: 8972844
Hedge 5: X: -1.261000, Y: 0.930000, Z: -1.138000, Angle: 0 at time T: 8973017
Hedge 5: X: -1.261000, Y: 0.930000, Z: -1.138000, Angle: 0 at time T: 8973180
Hedge 5: X: -1.261000, Y: 0.929000, Z: -1.137000, Angle: 0 at time T: 8973344
Hedge 5: X: -1.262000, Y: 0.929000, Z: -1.138000, Angle: 0 at time T: 8973507
Hedge 5: X: -1.261000, Y: 0.930000, Z: -1.138000, Angle: 0 at time T: 8973677
Hedge 5: X: -1.262000, Y: 0.931000, Z: -1.138000, Angle: 0 at time T: 8973851
Hedge 5: X: -1.261000, Y: 0.929000, Z: -1.140000, Angle: 0 at time T: 8974027
Hedge 5: X: -1.260000, Y: 0.927000, Z: -1.141000, Angle: 0 at time T: 8974202
Hedge 5: X: -1.259000, Y: 0.929000, Z: -1.139000, Angle: 0 at time T: 8974380
Hedge 5: X: -1.260000, Y: 0.928000, Z: -1.141000, Angle: 0 at time T: 8974558
Hedge 5: X: -1.261000, Y: 0.930000, Z: -1.139000, Angle: 0 at time T: 8974743
Hedge 5: X: -1.261000, Y: 0.930000, Z: -1.137000, Angle: 0 at time T: 8974916
Hedge 5: X: -1.260000, Y: 0.930000, Z: -1.137000, Angle: 0 at time T: 8975091
Hedge 5: X: -1.261000, Y: 0.930000, Z: -1.137000, Angle: 0 at time T: 8975268
Hedge 5: X: -1.260000, Y: 0.930000, Z: -1.137000, Angle: 0 at time T: 8975443
Hedge 5: X: -1.265000, Y: 0.932000, Z: -1.138000, Angle: 0 at time T: 8975615
Hedge 5: X: -1.262000, Y: 0.929000, Z: -1.137000, Angle: 0 at time T: 8975794
Hedge 5: X: -1.259000, Y: 0.928000, Z: -1.140000, Angle: 0 at time T: 8975969
Hedge 5: X: -1.263000, Y: 0.929000, Z: -1.139000, Angle: 0 at time T: 8976143
Hedge 5: X: -1.261000, Y: 0.931000, Z: -1.139000, Angle: 0 at time T: 8976316
Hedge 5: X: -1.259000, Y: 0.930000, Z: -1.137000, Angle: 0 at time T: 8976479
Hedge 5: X: -1.260000, Y: 0.931000, Z: -1.136000, Angle: 0 at time T: 8976642
Hedge 5: X: -1.261000, Y: 0.930000, Z: -1.139000, Angle: 0 at time T: 8976810
Hedge 5: X: -1.259000, Y: 0.929000, Z: -1.138000, Angle: 0 at time T: 8976975
Hedge 5: X: -1.261000, Y: 0.930000, Z: -1.139000, Angle: 0 at time T: 8977150
Hedge 5: X: -1.265000, Y: 0.927000, Z: -1.145000, Angle: 0 at time T: 8977326
Hedge 5: X: -1.263000, Y: 0.927000, Z: -1.144000, Angle: 0 at time T: 8977501
Hedge 5: X: -1.260000, Y: 0.928000, Z: -1.141000, Angle: 0 at time T: 8977678
Hedge 5: X: -1.260000, Y: 0.929000, Z: -1.139000, Angle: 0 at time T: 8977861
Hedge 5: X: -1.260000, Y: 0.931000, Z: -1.139000, Angle: 0 at time T: 8978037
Hedge 5: X: -1.261000, Y: 0.931000, Z: -1.138000, Angle: 0 at time T: 8978210
Hedge 5: X: -1.259000, Y: 0.933000, Z: -1.138000, Angle: 0 at time T: 8978385
Hedge 5: X: -1.258000, Y: 0.933000, Z: -1.135000, Angle: 0 at time T: 8978562
Hedge 5: X: -1.266000, Y: 0.931000, Z: -1.139000, Angle: 0 at time T: 8978737
Hedge 5: X: -1.261000, Y: 0.930000, Z: -1.138000, Angle: 0 at time T: 8978913
Hedge 5: X: -1.261000, Y: 0.931000, Z: -1.140000, Angle: 0 at time T: 8979087
Hedge 5: X: -1.264000, Y: 0.928000, Z: -1.145000, Angle: 0 at time T: 8979262
Hedge 5: X: -1.262000, Y: 0.927000, Z: -1.142000, Angle: 0 at time T: 8979436
Hedge 5: X: -1.263000, Y: 0.928000, Z: -1.142000, Angle: 0 at time T: 8979609
Hedge 5: X: -1.263000, Y: 0.927000, Z: -1.140000, Angle: 0 at time T: 8979772
Hedge 5: X: -1.265000, Y: 0.927000, Z: -1.143000, Angle: 0 at time T: 8979944
Hedge 5: X: -1.261000, Y: 0.928000, Z: -1.144000, Angle: 0 at time T: 8980107
Hedge 5: X: -1.261000, Y: 0.926000, Z: -1.140000, Angle: 0 at time T: 8980272
Hedge 5: X: -1.262000, Y: 0.927000, Z: -1.140000, Angle: 0 at time T: 8980446
Hedge 5: X: -1.261000, Y: 0.929000, Z: -1.140000, Angle: 0 at time T: 8980622
Hedge 5: X: -1.262000, Y: 0.929000, Z: -1.139000, Angle: 0 at time T: 8980797
Hedge 5: X: -1.261000, Y: 0.929000, Z: -1.142000, Angle: 0 at time T: 8980980
