발생일시,관할해경서,발생해역,발생유형,발생원인,기상특보,사고선박수,구조인원,부상인원,사망인원,실종인원,위도,경도,선종1,톤수1,선종2,톤수2,선종3,톤수3
2010-06-25 14:44,부산,항계내,표류,연료고갈,양호,1,2,0,0,0,35|10|08,129|13|04,기타,1.65,,,,
2010-06-25 14:39,부산,외국해역,충돌,기타,양호,2,11,0,0,0,34|01|70,129|41|60,화물선,2668,어선,0,,
2010-06-25 14:32,서귀포,항계내,좌초,운항부주의,양호,1,5,0,0,0,33|24|00,126|54|30,어선,3.3,,,,
2010-06-25 13:30,여수,항계내,침수,기상악화,양호,1,3,0,0,0,34|44|50,127|46|75,어선,0.8,,,,
2010-06-25 11:15,여수,항계내,좌초,운항부주의,양호,1,0,0,0,0,34|31|57,127|06|73,낚시어선,6.67,,,,
2010-06-25 04:55,태안,영해,충돌,적재불량,양호,2,8,0,0,0,36|18|00,126|22|00,예부선,32,어선,7.93,,
2010-06-24 11:35,제주,영해,좌초,운항부주의,양호,1,12,0,0,0,33|56|60,126|19|50,어선,40,,,,
2010-06-23 15:08,통영,영해,표류,정비불량,양호,1,2,0,0,0,35|00|23,128|39|43,어선,4.6,,,,
2010-06-22 18:30,제주,영해,기관고장,정비불량,양호,1,5,0,0,0,33|30|80,126|29|09,낚시어선,9.77,,,,
2010-06-22 17:55,인천,영해,기관고장,정비불량,양호,1,3,0,0,0,37|07|02,126|17|59,어선,4.99,,,,
2010-06-22 14:36,통영,영해,침수,정비불량,양호,1,2,0,0,0,34|46|90,128|13|20,어선,4.99,,,,
2010-06-22 14:00,통영,영해,침수,정비불량,양호,1,2,0,0,0,34|50|10,128|22|75,어선,3.75,,,,
2010-06-22 12:45,여수,항계내,화재,기타,양호,1,2,0,0,0,34|30|30,127|46|30,화물선,44,,,,
2010-06-22 11:35,통영,항계내,침수,관리소홀,양호,1,3,0,0,0,34|49|45,128|26|30,어선,2.99,,,,
2010-06-22 11:35,태안,영해,기관고장,정비불량,양호,1,4,0,0,0,36|57|57,126|04|41,어선,6.63,,,,
2010-06-21 21:20,울산,영해-EEZ,추진기장애,운항부주의,양호,1,6,0,0,0,35|32|00,130|02|00,어선,11,,,,
2010-06-21 12:31,인천,항계내,기관고장,정비불량,양호,1,4,0,0,0,37|34|40,126|34|19,어선,3,,,,
2010-06-21 11:10,목포,항계내,침수,정비불량,양호,1,0,0,0,0,34|49|10,126|22|21,어선,40,,,,
2010-06-21 07:11,인천,항계내,침수,관리소홀,양호,1,0,0,0,0,37|27|8,126|36|40,예부선,210,,,,
2010-06-20 20:55,태안,영해,추진기장애,운항부주의,양호,1,2,0,0,0,37|02|00,126|12|00,어선,8.55,,,,
2010-06-20 15:30,완도,영해,침수,정비불량,양호,1,2,0,0,0,34|22|82,126|58|73,기타,1.8,,,,
2010-06-20 15:10,부산,항계내,좌주,기상악화,양호,1,5,0,0,0,35|09|32,129|09|54,요트,9,,,,
2010-06-20 12:10,태안,영해,표류,기상악화,저시정,1,1,0,0,0,36|39|59,125|56|27,어선,0.62,,,,
2010-06-20 10:00,태안,영해,기관고장,정비불량,양호,1,7,0,0,0,36|54|25,126|11|28,모터보트,1,,,,
2010-06-20 07:30,서귀포,항계내,좌초,운항부주의,양호,1,4,0,0,0,33|29|30,126|55|30,어선,6.67,,,,
