발생일시,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2019-12-24 09:30,포항,영해,36 | 6 | 0,129 | 28 | 60,양호,정비불량,기관손상,1,3,3,0,0,0,어선,3.3
2019-12-24 09:40,서귀포,영해,33 | 10 | 59,126 | 54 | 0,양호,안전부주의,작업 중 인명사상,1,1,1,1,0,0,어선,5.42
2019-12-24 07:00,서귀포,영해-EEZ,32 | 57 | 12,126 | 18 | 41,양호,정비불량,키손상,1,3,3,0,0,0,어선,9.77
2019-12-24 09:16,동해,영해,37 | 30 | 7,129 | 18 | 25,양호,정비불량,침수,1,2,2,0,0,0,어선,7.31
2019-12-23 20:51,동해,영해,37 | 5 | 33,132 | 2 | 23,양호,운항부주의,부유물감김,1,7,7,0,0,0,어선,29
2019-12-23 14:44,목포,항계 내,34 | 46 | 53,126 | 23 | 16,양호,관리소홀,침수,1,0,0,0,0,0,어선,6.38
2019-12-23 00:55,평택,영해,37 | 1 | 17,126 | 3 | 42,양호,정비불량,기관손상,1,10,10,0,0,0,화물선,1291
2019-12-22 19:15,동해,영해,37 | 31 | 60,129 | 49 | 60,양호,정비불량,키손상,1,8,8,0,0,0,어선,51
2019-12-23 22:36,제주,영해-EEZ,33 | 40 | 0,127 | 43 | 0,양호,정비불량,기관손상,1,6,6,0,0,0,어선,22
2019-12-22 16:59,목포,항계 내,34 | 39 | 45,125 | 23 | 29,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,23
2019-12-22 13:29,제주,영해,33 | 10 | 60,126 | 1 | 0,양호,안전부주의,작업 중 인명사상,1,1,1,1,0,0,어선,70
2019-12-22 09:50,동해,영해,37 | 22 | 54,129 | 23 | 30,양호,정비불량,기관손상,1,2,2,0,0,0,어선,9.77
2019-12-22 08:38,여수,항계 내,34 | 30 | 47,127 | 5 | 25,양호,정비불량,기관손상,1,2,2,0,0,0,어선,1.33
2019-12-22 07:40,동해,영해,38 | 7 | 0,129 | 31 | 50,양호,정비불량,기관손상,1,29,29,0,0,0,어선,29
2019-12-22 09:52,여수,항계 내,34 | 30 | 11,127 | 5 | 18,양호,정비불량,기관손상,1,4,4,0,0,0,모터보트,0.8
2019-12-21 21:00,창원,영해,35 | 5 | 40,128 | 42 | 51,양호,운항부주의,좌초/좌주,1,9,9,0,0,0,낚시어선,9.77
2019-12-22 06:17,통영,영해-EEZ,33 | 49 | 60,128 | 4 | 0,양호,안전부주의,작업 중 인명사상,1,1,1,1,0,0,어선,29
2019-12-21 17:40,완도,항계 내,34 | 18 | 12,126 | 47 | 23,양호,연료고갈,운항저해,1,7,7,0,0,0,모터보트,1.19
2019-12-21 17:27,목포,영해,34 | 14 | 39,125 | 37 | 58,양호,운항부주의,부유물감김,1,22,22,0,0,0,낚시어선,9.77
2019-12-21 17:08,포항,영해,36 | 12 | 0,129 | 40 | 60,양호,운항부주의,충돌,1,10,10,0,0,0,어선,50
2019-12-21 17:08,포항,영해,36 | 12 | 0,129 | 40 | 60,양호,운항부주의,충돌,1,2,2,0,0,0,어선,6.33
2019-12-21 09:35,통영,협수로,34 | 48 | 27,128 | 26 | 50,양호,정비불량,기관손상,1,1,1,0,0,0,어선,1.1
2019-12-21 09:03,제주,영해,33 | 27 | 0,126 | 4 | 0,양호,안전부주의,작업 중 인명사상,1,1,1,1,0,0,어선,96
2019-12-21 05:45,동해,항계 내,37 | 28 | 60,129 | 7 | 60,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,2.84
2019-12-21 09:18,통영,협수로,34 | 53 | 34,128 | 3 | 57,양호,정비불량,기관손상,1,10,10,0,0,0,낚시어선,3.86
2019-12-20 20:35,통영,협수로,34 | 48 | 25,128 | 15 | 20,양호,정비불량,추진기손상,1,3,3,0,0,0,어선,1.88
2019-12-20 12:01,통영,협수로,34 | 45 | 51,128 | 33 | 36,양호,정비불량,기관손상,1,4,4,0,0,0,모터보트,3.83
2019-12-20 17:50,목포,영해,35 | 6 | 9,125 | 57 | 50,양호,운항부주의,부유물감김,1,2,2,0,0,0,모터보트,18
2019-12-20 03:05,서귀포,항계 내,33 | 12 | 36,126 | 15 | 21,양호,관리소홀,침몰,1,0,0,0,0,0,모터보트,0.75
2019-12-20 04:37,통영,영해,34 | 37 | 14,128 | 36 | 29,양호,정비불량,기관손상,1,2,2,0,0,0,어선,4.99
2019-12-19 21:54,제주,영해-EEZ,33 | 0 | 0,125 | 49 | 60,양호,정비불량,키손상,1,11,11,0,0,0,어선,29
2019-12-19 09:10,서귀포,영해-EEZ,33 | 21 | 0,127 | 33 | 0,양호,정비불량,키손상,1,9,9,0,0,0,어선,24
2019-12-19 14:23,목포,영해,35 | 5 | 8,125 | 59 | 58,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,29
