id,duration,length,x,y,clu
75.0,0.0,0.0,-20.116228,-3.161474,1
76.0,0.0,144.90341610879992,-22.768536,-6.488703,1
77.0,2.0,273.40263349134,-15.788243,-9.878571,1
78.0,2.0,141.67568598739868,-17.42482,-8.054736,1
79.0,4.0,214.4621178670023,15.96795,-4.0342813,0
80.0,0.0,0.0,-21.876179,-9.454146,1
81.0,0.0,71.1125867902441,-19.2313,-10.342623,1
82.0,0.0,226.88322987827902,3.5708869,-0.1444859,2
83.0,0.0,90.44335243676012,12.013447,1.2537627,0
84.0,0.0,157.68639763784319,7.8042417,-10.276834,3
85.0,1.0,49.648766349225646,3.6609209,-0.4411086,2
86.0,1.0,209.77368757782762,-21.588509,-9.862297,1
87.0,1.0,49.49747468305833,-20.075003,-10.326581,1
88.0,0.0,0.0,-19.456974,-7.339967,1
89.0,1.0,23.53720459187964,-18.66293,-8.13988,1
90.0,1.0,223.70739817896055,18.827694,-0.61485386,0
91.0,2.0,35.0,18.471674,-1.4970177,4
92.0,2.0,34.205262752974136,18.191664,-1.0041262,0
93.0,2.0,41.10960958218893,11.251452,-0.15353282,4
94.0,3.0,161.01242188104618,1.5120589,6.308123,2
95.0,3.0,95.29428104561156,0.52611285,8.939105,2
96.0,3.0,313.517144666763,-19.14382,-7.933363,1
97.0,4.0,52.038447325030745,-17.508331,-6.6601024,1
98.0,3.0,117.38824472663352,-20.69983,-9.07425,1
99.0,4.0,55.54277630799527,-18.689789,-7.4462895,1
100.0,0.0,0.0,-21.80262,-5.41109,1
101.0,0.0,15.297058540778355,-21.5019,-5.726976,1
102.0,0.0,66.46803743153548,-21.869505,-8.165952,1
103.0,0.0,145.24806367039804,15.182693,-4.5598216,0
104.0,0.0,118.53269591129698,-21.165361,-6.7128735,1
105.0,0.0,0.0,5.0435157,-1.8274817,4
106.0,0.0,86.95401083331349,5.1459985,0.51276314,4
107.0,0.0,43.73785545725808,4.6717496,-0.8938691,4
108.0,1.0,153.0522786501397,4.420389,-2.1128955,4
109.0,1.0,70.83078426785913,4.6013274,-3.1063426,4
110.0,1.0,170.29973576021783,-11.24811,-2.1693943,4
111.0,2.0,45.69463863518345,-3.2874694,-2.1997263,4
112.0,0.0,0.0,-18.49997,-4.4847665,1
113.0,1.0,32.2490309931942,-16.111547,-3.942446,1
114.0,1.0,225.41073621280773,-7.655097,3.6067495,4
115.0,2.0,26.87005768508881,-7.6414657,3.9441483,4
116.0,2.0,141.19844191774922,2.511179,11.446428,2
117.0,3.0,79.39773296511683,-4.67915,0.93555206,4
118.0,3.0,26.925824035672523,-3.195923,3.434025,4
119.0,4.0,65.94694837519019,2.1116705,8.781535,2
120.0,4.0,155.24174696260025,-6.0687995,1.8271425,4
121.0,5.0,95.96353474106714,-2.6616392,4.1286035,2
