MODEL,DATE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4,2021-08-26,98.16,98.44,98.49,98.45,98.46,98.48,98.83,97.37,91.9,91.13,84.53,75.19,69.4,69.75,73.34,73.61,77.44,86.0,98.54,98.45,98.5,98.53,98.57,98.68
4,2021-08-27,98.28,98.55,98.41,98.68,98.38,98.54,98.49,97.19,97.6,98.03,90.2,96.14,96.15,84.93,88.98,81.57,90.31,89.02,92.94,98.06,98.52,98.57,98.55,98.54
4,2021-08-28,98.61,98.57,98.3,98.43,98.23,98.41,97.88,97.91,94.08,96.32,88.82,95.24,98.35,91.77,88.5,88.28,95.28,96.0,94.88,97.45,98.3,98.42,98.36,98.31
4,2021-08-29,98.62,98.5,98.44,98.67,98.36,98.5,98.55,98.98,99.13,94.7,91.52,83.17,90.88,94.47,95.83,96.4,87.33,87.32,95.08,98.22,98.55,98.58,98.58,98.58
4,2021-08-30,98.49,98.41,98.43,98.44,98.33,98.44,98.76,98.57,94.46,92.67,87.83,82.67,79.97,80.91,86.3,97.06,98.38,99.3,98.92,98.61,98.67,98.69,98.69,98.69
4,2021-08-31,98.83,98.0,97.86,98.41,98.1,98.4,98.2,97.3,96.75,95.22,89.06,92.66,93.83,89.25,89.23,93.1,99.97,99.17,99.16,98.04,98.45,98.43,98.33,98.28
5,2021-08-25,100.0,100.0,100.0,100.0,100.0,100.0,99.39,98.3,93.86,89.27,83.05,83.48,82.38,77.17,80.06,86.32,92.17,93.54,94.98,96.97,98.75,99.39,99.53,99.6
5,2021-08-26,100.0,100.0,100.0,100.0,100.0,100.0,99.94,97.28,96.67,99.47,97.55,92.72,90.64,88.69,91.68,87.53999999999999,88.11,92.13,97.81,96.99,98.75,99.39,99.53,99.6
5,2021-08-27,100.0,100.0,100.0,100.0,100.0,100.0,99.81,99.7,98.93,97.26,95.56,99.14,96.28,85.02,88.75,85.83,95.57,95.13,94.45,96.97,98.75,99.39,99.53,99.6
5,2021-08-28,100.0,100.0,100.0,100.0,100.0,100.0,99.41,99.75,96.03,98.96,92.39,94.55,95.54,93.69,89.06,90.2,98.18,99.0,96.78,96.97,98.75,99.39,99.53,99.6
5,2021-08-29,100.0,100.0,100.0,100.0,100.0,100.0,99.52,99.9,99.02,95.14,91.82,83.06,91.41,96.06,97.26,98.31,93.34,92.8,95.86,96.99,98.75,99.39,99.53,99.6
5,2021-08-30,100.0,100.0,100.0,100.0,100.0,100.0,99.67,98.67,97.98,98.71,96.92,96.84,95.43,95.57,99.38,92.05,93.13,95.39,95.12,96.96,98.75,99.39,99.53,99.6
5,2021-08-31,100.0,100.0,100.0,100.0,100.0,100.0,99.41,98.87,98.01,99.42,95.78,95.01,89.73,89.1,89.96000000000001,93.94,99.12,98.13,95.83,96.97,98.75,99.39,99.53,99.6
6,2021-08-25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.35,99.13,95.69,88.39,89.45,82.55,76.45,78.62,79.59,80.16,82.03,87.09,94.55,97.69,98.84,99.35,99.39
6,2021-08-26,100.0,100.0,100.0,100.0,100.0,100.0,99.45,94.94,91.4,93.04,92.22,86.75,90.47,89.41,93.12,94.26,99.88,96.36,89.92,94.57,97.69,98.84,99.35,99.39
