POWER,solarradiation,humidity,windspeed,windgust,temp,feelslike,winddir,TARGET
0.0,0.0,0.7283950617283951,0.4320773156694538,0.4985577847573873,0.11210474421590882,0.047328403291323845,0.9202279202279203,0.0
0.0,0.0,0.8271604938271605,0.4999457052883049,0.42978014229857064,0.10827543509664993,0.08794917196125406,0.9829059829059831,0.0
0.0,0.0,0.7407407407407407,0.47573026387229883,0.5702198577014295,0.09935566714819656,0.09026143110092702,0.9971509971509972,0.0
0.0,0.0,0.7407407407407407,0.4466282984037355,0.3524133068393052,0.09426520831900209,0.0856369128215811,0.9943019943019945,0.0
0.0,0.0,0.7160493827160493,0.3252253230535346,0.3524133068393052,0.08789066978514595,0.008686595146338932,0.9772079772079773,0.0
0.0,0.0,0.7283950617283951,0.3495493538929308,0.3524133068393052,0.08534544037054873,0.07753359025101554,0.9772079772079773,0.0
0.0,0.0,0.7160493827160493,0.6504506461070692,0.5702198577014295,0.08534544037054873,0.019560462451827937,0.9487179487179488,0.0
0.0,0.008009660382268156,0.7283950617283951,0.4999457052883049,0.42978014229857064,0.0828002109559515,0.07290907197166965,0.9715099715099716,0.0
0.038461538461538464,0.07422556342065353,0.7160493827160493,0.16505592355304594,0.2120376898916736,0.07770975212675701,0.07059681283199667,0.9601139601139602,0.02564102564102564
0.1282051282051282,0.12607896630657076,0.6790123456790124,0.271799326745575,0.2808153323504904,0.10827543509664993,0.09836475367149257,0.9515669515669517,0.05128205128205128
0.21794871794871795,0.19551296385894865,0.6296296296296297,0.2912368335324139,0.2808153323504904,0.14012519777120452,0.12150817623164256,0.9601139601139602,0.1282051282051282
0.3333333333333333,0.2522514464145588,0.5679012345679012,0.3688782712563796,0.3524133068393052,0.16942973103116185,0.1527549213623581,0.9715099715099716,0.2564102564102564
0.3717948717948718,0.3917374457721597,0.5308641975308642,0.4659572157671843,0.5702198577014295,0.1949049551718603,0.16317050307259662,0.9943019943019945,0.1794871794871795
0.34615384615384615,0.5168040235329514,0.5061728395061728,0.5437072429145401,0.4985577847573873,0.20382472312031366,0.17706488907405482,0.9914529914529916,0.28205128205128205
0.358974358974359,0.460472122722634,0.4691358024691358,0.7280920838310349,0.5702198577014295,0.22675471784641488,0.15750442662222688,0.9943019943019945,0.28205128205128205
0.2692307692307692,0.35490113964863207,0.40740740740740733,0.5533717015962645,0.4985577847573873,0.22675471784641488,0.14894281845641083,1.0,0.1282051282051282
0.1794871794871795,0.2884961760986855,0.3950617283950617,0.4223042675643392,0.42978014229857064,0.22038017931255874,0.2002083116342048,0.9857549857549858,0.038461538461538464
0.038461538461538464,0.04807625847214712,0.5061728395061728,0.24758388532956888,0.2808153323504904,0.21146041136410537,0.17358608478283516,0.9601139601139602,0.02564102564102564
0.0,0.0,0.5679012345679012,0.09707894451080465,0.14037561694763157,0.16814565132650017,0.1527549213623581,0.9088319088319089,0.0
0.0,0.0,0.6049382716049382,0.0,0.0,0.15159019513425512,0.1377148213727737,0.9401709401709403,0.0
0.0,0.0,0.7407407407407407,0.0,0.0,0.13503473894201004,0.12267472138318927,1.0,0.0
0.0,0.0,0.802469135802469,0.0,0.0,0.08534544037054873,0.07753359025101554,0.2706552706552707,0.0
0.0,0.0,0.839506172839506,0.0,0.0,0.05987021622985028,0.05439016769086555,0.26495726495726496,0.0
0.0,0.0,0.8765432098765432,0.0,0.0,0.04585998945220243,0.041662326840954084,0.24786324786324787,0.0
0.0,0.0,0.9012345679012345,0.0,0.0,0.030565682969892927,0.027767940839495908,0.24786324786324787,0.0
0.0,0.0,0.9135802469135802,0.0,0.0,0.016555456192245105,0.015040099989584443,0.24786324786324787,0.0
0.0,0.0,0.9135802469135802,0.0,0.0,0.008919767948453394,0.008103322570565591,0.24786324786324787,0.0
0.0,0.0,0.9135802469135802,0.0,0.0,0.0025452294145972554,0.0023122591396729786,0.24786324786324787,0.0
0.0,0.0,0.9135802469135802,0.0,0.0,0.0,0.0,0.24786324786324787,0.0
0.0,0.0,0.9135802469135802,0.0,0.0,0.019100685606842305,0.017352359129257366,0.24786324786324787,0.0
0.0,0.0,0.9135802469135802,0.0,0.0,0.030565682969892927,0.027767940839495908,0.24786324786324787,0.0
0.0,0.0029721125580903663,0.9012345679012345,0.0,0.0,0.036940221503749066,0.03355900427038852,0.30484330484330485,0.0
0.02564102564102564,0.04492118412867499,0.9012345679012345,0.0,0.0,0.07642567242209536,0.06943026768044999,0.30484330484330485,0.038461538461538464
0.05128205128205128,0.09697991079596507,0.8641975308641975,0.0,0.0,0.1171952030451033,0.10646807624205815,0.8974358974358976,0.0641025641025641
0.1282051282051282,0.1625554475855143,0.8271604938271605,0.0,0.0,0.1796106486895508,0.16317050307259662,0.7977207977207978,0.16666666666666666
0.2564102564102564,0.2691510166576542,0.6543209876543209,0.0,0.0,0.30063516085391295,0.27311738360587445,0.9572649572649573,0.2692307692307692
0.1794871794871795,0.29979711570909884,0.5308641975308642,0.1214029753502009,0.14037561694763157,0.37834491298066997,0.3437141964378711,0.6866096866096867,0.28205128205128205
0.28205128205128205,0.5164380999621879,0.5061728395061728,0.3252253230535346,0.2808153323504904,0.4292953612620669,0.39000104155817106,0.851851851851852,0.3205128205128205
0.28205128205128205,0.3734961557695982,0.4444444444444444,0.16505592355304594,0.2120376898916736,0.43566989979592297,0.3957921049890637,0.8860398860398861,0.2692307692307692
0.1282051282051282,0.24829947185031284,0.4691358024691358,0.3932023020957759,0.2808153323504904,0.456054665107427,0.41431100926986775,0.8974358974358976,0.20512820512820512
