,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,27.921164,29.512667,27.363302,27.55075,23.610376,36.490738,29.747776,32.698383,34.074512,26.085463,24.920914,25.92173,25.435303,28.856165,29.050514,26.202658,29.20688,31.241219,24.034245,34.78979,28.353544,30.082867,28.619156,35.370293,30.8844,22.860031,27.699028,30.984062,33.644966,22.525957,19.791233,20.67299,25.229782,25.987793,34.1444,30.132627,27.630072,32.80269,27.610676,38.739326,31.151169,29.269659,23.699814,29.991488,32.541195,33.02916,31.039215,32.323505,26.985603,24.536074,35.87778,38.253464,28.392494,24.969507,27.33892,28.597052,34.06858,29.53707,28.553083,48.62845,50.020973
1,28.235422,29.465694,27.524471,27.418667,23.641588,36.39004,30.579014,31.986488,33.35683,26.428068,24.797253,26.215788,25.38564,28.906513,29.45222,26.13671,29.124405,31.566277,24.765434,34.09968,27.701788,30.203505,28.934486,35.6323,30.54283,23.158293,27.77395,31.58191,33.459194,22.558313,19.653082,20.162367,26.369534,26.245527,33.9609,30.598804,27.117481,32.867256,26.511637,38.176895,31.222446,29.087523,23.38968,29.69556,33.891464,32.746826,30.636103,32.50977,26.561245,24.788174,35.300457,38.143448,28.305552,24.462421,26.53498,27.97022,34.440083,30.112137,28.919748,48.539024,50.421417
2,28.576765,29.492792,28.983522,27.464941,23.433641,36.974064,30.520111,32.113865,33.43207,26.752771,24.838165,26.884916,25.775402,28.416103,30.355827,26.13345,28.698523,31.999453,25.140768,33.517532,26.723982,31.089214,29.607002,34.022392,30.37005,22.906048,27.320044,31.14397,33.53293,21.917118,19.227037,19.643398,26.638054,26.53256,34.560123,30.652838,26.920969,33.670033,25.847202,38.40876,30.742868,29.397263,23.523882,29.670961,33.480293,33.32536,30.71801,31.900309,26.425394,24.808064,35.305634,38.589825,27.88848,25.647287,27.050732,27.667152,34.230476,30.09309,29.494528,49.71853,51.16391
3,28.290071,30.134743,28.621227,27.90083,23.561684,37.328384,30.49678,31.91589,33.669537,27.605476,24.225813,26.945179,25.442728,29.018656,30.336344,26.266895,29.372618,31.804726,25.715176,33.7646,27.872953,30.885479,28.939978,34.49587,30.632187,23.143702,25.994585,32.02903,32.640335,22.246841,19.426003,20.624075,26.41236,26.490461,35.014076,30.526358,26.940113,33.572353,26.701036,37.700832,30.897818,29.61483,23.245564,29.311275,33.879124,33.03255,31.105299,31.893179,26.687931,25.297115,34.809372,38.030014,27.411642,25.72983,27.266054,25.998028,32.951874,30.212593,28.932096,48.508423,50.46702
4,28.251673,29.934587,28.65158,26.802023,23.688473,37.442333,29.56619,31.78414,33.790092,27.66865,24.719173,27.173973,25.123297,28.83034,30.83467,26.163568,29.267015,31.73258,26.008617,33.688023,29.161285,30.90932,29.339663,35.249504,30.692303,22.141129,26.13851,33.00877,31.69753,22.066917,19.407778,21.055607,26.862179,26.803675,33.99868,30.24507,26.861982,33.310764,26.716188,38.157055,30.482576,30.087074,23.184952,28.81313,33.20242,33.658535,31.099445,31.254833,27.169502,25.173561,34.296654,38.039185,27.070417,25.87551,27.622826,26.723291,32.13675,29.88065,29.325802,49.08278,50.27636
5,28.141592,29.867022,28.49245,26.079397,23.46215,37.638855,29.661222,32.519783,34.042244,27.476654,25.028885,27.351385,24.636005,29.661673,31.812489,26.19136,29.728544,30.697104,25.71582,33.888687,29.761051,31.139072,29.221981,35.61241,30.459408,22.129822,27.0323,33.13293,31.186432,21.902004,19.30369,20.54012,25.817177,26.51065,34.196114,29.735237,27.847507,32.92432,27.319683,38.533775,30.94544,30.144466,23.094095,28.801273,33.35359,33.624187,30.720987,31.61631,27.849676,25.194452,34.015797,39.290443,27.552462,25.890333,27.457201,26.685907,32.234493,29.204872,29.235268,48.745712,49.477417
6,27.984737,29.351946,28.5868,26.162468,23.607477,37.215202,29.596512,32.89988,33.883434,26.652147,25.194519,26.959269,24.747719,29.37127,32.17662,25.765953,30.19059,30.349138,25.58725,33.4732,29.353533,30.648098,29.012892,36.190697,31.72416,21.661076,27.687904,33.36384,30.516624,21.437386,19.276,20.466644,26.121523,26.206423,33.71339,29.602158,28.20384,32.58465,27.336006,38.765,30.727621,29.917608,24.065567,29.06417,33.76883,33.012203,31.696354,31.462742,27.736877,25.264078,34.352028,38.547245,28.06438,26.200155,27.411503,25.898918,32.503304,29.166443,29.014248,48.83309,49.62438
7,28.631214,29.873653,28.335554,25.734991,22.833067,37.052925,29.372955,32.18419,34.07642,26.502335,24.93386,26.485592,24.491718,29.062885,32.626804,25.919168,29.573717,30.620493,25.237017,32.572697,28.199022,30.1265,28.543419,36.45288,31.407074,22.39881,28.177553,32.59538,30.371983,21.093708,18.923712,20.412895,26.40766,25.544447,33.81143,29.539978,27.626455,32.632,27.46675,38.308674,31.100887,30.038063,23.658241,29.957685,33.481956,33.2227,31.940083,31.47321,27.667595,25.467848,34.279068,38.457108,28.154156,25.805231,27.670698,26.09742,31.9907,28.89928,28.53465,48.361485,49.399063
8,28.567331,29.358103,28.4866,24.870888,22.701378,37.632477,29.705215,32.531445,34.61212,26.024393,25.50474,26.179497,24.479347,29.226402,33.48068,25.566643,28.572435,30.506252,24.833942,33.146652,28.954685,30.179686,28.69829,36.398296,30.180962,22.235727,29.11339,32.676807,31.262474,21.095238,19.800001,20.722708,27.192448,25.378124,32.981926,28.931318,27.722195,32.459652,27.957092,39.187817,31.251652,30.34458,23.892536,30.195156,33.247524,33.214397,31.55043,31.135696,28.303661,25.208363,35.1045,39.223377,28.515676,26.050835,27.054668,26.894264,31.62083,28.256565,28.53165,49.95307,50.201637
9,29.0995,28.987476,29.150185,25.25338,23.826939,37.068047,29.658022,32.784508,34.72401,26.077929,25.20485,25.928202,24.763817,29.1309,33.54085,25.501493,28.506035,30.637598,24.950844,33.588497,28.83431,30.219938,28.235598,36.555798,29.74426,22.063389,28.743309,31.797749,31.44556,21.554708,19.83817,21.679636,27.337431,25.367485,32.87838,29.150923,27.597845,32.48127,28.754602,39.378826,30.798286,29.980114,23.458244,30.012186,32.866913,32.942574,31.611614,31.231441,28.126703,25.592726,34.77932,38.948956,28.969913,26.630499,26.939331,28.909958,31.807579,28.522331,28.166662,49.48104,50.272266
