from,to,cost
1220033700,1220030600,855
1220033700,1220032700,855
1210030100,1220032200,855
1210030100,1220034500,855
1210030100,1220032600,855
1210030100,1220033700,855
1220030600,1220032200,855
1220030600,1220034500,855
1220030600,1220032600,855
1220030600,1220033700,855
1220032700,1220032200,855
1220032700,1220034500,855
1220032700,1220032600,855
1220032700,1220033700,855
1220032200,1220033600,545
1220032200,1220034300,545
1220032200,1220033000,545
1220032200,1220035300,545
1220034500,1220033600,545
1220034500,1220034300,545
1220034500,1220033000,545
1220034500,1220035300,545
1220032600,1220033600,545
1220032600,1220034300,545
1220032600,1220033000,545
1220032600,1220035300,545
1220033700,1220033600,545
1220033700,1220034300,545
1220033700,1220033000,545
1220033700,1220035300,545
1220033600,1220034200,505
1220033600,1220034700,505
1220033600,1220033400,505
1220034300,1220034200,505
1220034300,1220034700,505
1220034300,1220033400,505
1220033000,1220034200,505
1220033000,1220034700,505
1220033000,1220033400,505
1220035300,1220034200,505
1220035300,1220034700,505
1220035300,1220033400,505
1220034200,1220034600,732
1220034200,1220034000,732
1220034200,1220035900,732
1220034700,1220034600,732
1220034700,1220034000,732
1220034700,1220035900,732
1220033400,1220034600,732
1220033400,1220034000,732
1220033400,1220035900,732
1220030800,1220030000,625
1220030800,1220030900,625
1220030800,1220029200,625
1220030800,1220031900,625
1220030800,1220030800,0
1220030000,1220029000,891
1220030000,1220030100,891
1220030000,1220031100,891
1220030900,1220029000,891
1220030900,1220030100,891
1220030900,1220031100,891
1220029200,1220029000,891
1220029200,1220030100,891
1220029200,1220031100,891
1220031900,1220029000,891
1220031900,1220030100,891
1220031900,1220031100,891
1220031900,1220030000,10
1220031900,1220030900,10
1220031900,1220029200,10
1220031900,1220031900,0
1220029000,1220028200,506
1220029000,1220029100,506
1220029000,1220027400,506
1220029000,1220029900,506
1220030100,1220028200,506
1220030100,1220029100,506
1220030100,1220027400,506
1220030100,1220029900,506
1220031100,1220028200,506
1220031100,1220029100,506
1220031100,1220027400,506
1220031100,1220029900,506
1220031100,1220029000,10
1220031100,1220030100,10
1220031100,1220031100,0
1220028200,1220026200,436
1220028200,1220029700,436
1220028200,1220027200,436
1220028200,1220028300,436
1220029100,1220026200,436
1220029100,1220029700,436
1220029100,1220027200,436
1220029100,1220028300,436
1220027400,1220026200,436
1220027400,1220029700,436
1220027400,1220027200,436
1220027400,1220028300,436
1220029900,1220026200,436
1220029900,1220029700,436
1220029900,1220027200,436
1220029900,1220028300,436
1220029900,1220028200,10
1220029900,1220029100,10
1220029900,1220027400,10
1220029900,1220029900,0
1220026200,1220027900,887
1220026200,1220025000,887
1220026200,1220027300,887
1220029700,1220027900,887
1220029700,1220025000,887
1220029700,1220027300,887
1220027200,1220027900,887
1220027200,1220025000,887
1220027200,1220027300,887
1220028300,1220027900,887
1220028300,1220025000,887
1220028300,1220027300,887
1220027900,1220026200,886
1220027900,1220029700,886
1220027900,1220027200,886
1220027900,1220028300,886
1220025000,1220026200,886
1220025000,1220029700,886
1220025000,1220027200,886
1220025000,1220028300,886
1220027300,1220026200,886
1220027300,1220029700,886
1220027300,1220027200,886
1220027300,1220028300,886
1220026200,1220028200,436
1220026200,1220029100,436
1220026200,1220027400,436
1220026200,1220029900,436
1220029700,1220028200,436
1220029700,1220029100,436
1220029700,1220027400,436
1220029700,1220029900,436
1220027200,1220028200,436
1220027200,1220029100,436
1220027200,1220027400,436
1220027200,1220029900,436
1220028300,1220028200,436
1220028300,1220029100,436
1220028300,1220027400,436
1220028300,1220029900,436
1220028200,1220029000,506
1220028200,1220030100,506
1220028200,1220031100,506
1220029100,1220029000,506
1220029100,1220030100,506
1220029100,1220031100,506
1220027400,1220029000,506
1220027400,1220030100,506
1220027400,1220031100,506
1220029900,1220029000,506
1220029900,1220030100,506
1220029900,1220031100,506
1220029000,1220030000,891
1220029000,1220030900,891
1220029000,1220029200,891
1220029000,1220031900,891
1220030100,1220030000,891
1220030100,1220030900,891
1220030100,1220029200,891
1220030100,1220031900,891
1220031100,1220030000,891
1220031100,1220030900,891
1220031100,1220029200,891
1220031100,1220031900,891
1220030000,1220030800,625
1220030900,1220030800,625
1220029200,1220030800,625
1220031900,1220030800,625
1220034600,1220031800,650
1220034600,1220034100,650
1220034600,1220032800,650
1220034600,1220033300,650
1220034000,1220031800,650
1220034000,1220034100,650
1220034000,1220032800,650
1220034000,1220033300,650
1220035900,1220031800,650
1220035900,1220034100,650
1220035900,1220032800,650
1220035900,1220033300,650
1220031800,1220030000,698
1220031800,1220030900,698
1220031800,1220029200,698
1220031800,1220031900,698
1220034100,1220030000,698
1220034100,1220030900,698
1220034100,1220029200,698
1220034100,1220031900,698
1220032800,1220030000,698
1220032800,1220030900,698
1220032800,1220029200,698
1220032800,1220031900,698
1220033300,1220030000,698
1220033300,1220030900,698
1220033300,1220029200,698
1220033300,1220031900,698
1220033300,1220031800,10
1220033300,1220034100,10
1220033300,1220032800,10
1220033300,1220033300,0
1220030000,1220026600,745
1220030000,1220029300,745
1220030000,1220026800,745
1220030000,1220028100,745
1220030900,1220026600,745
1220030900,1220029300,745
1220030900,1220026800,745
1220030900,1220028100,745
1220029200,1220026600,745
1220029200,1220029300,745
1220029200,1220026800,745
1220029200,1220028100,745
1220031900,1220026600,745
1220031900,1220029300,745
1220031900,1220026800,745
1220031900,1220028100,745
1220026600,1220026700,453
1220029300,1220026700,453
1220026800,1220026700,453
1220028100,1220026700,453
1220028100,1220026600,10
1220028100,1220029300,10
1220028100,1220026800,10
1220028100,1220028100,0
1220026700,1220026600,453
1220026700,1220029300,453
1220026700,1220026800,453
1220026700,1220028100,453
1220026700,1220026700,0
1220026600,1220030000,746
1220026600,1220030900,746
1220026600,1220029200,746
1220026600,1220031900,746
1220029300,1220030000,746
