from,to,cost
1140034800,1140036400,10
1140034800,1140036300,440.8384857
1140034800,1140039800,440.8384857
1140034800,1140038200,440.8384857
1140034800,1140038000,440.8384857
1150008900,1150008900,0
1150008900,1150009100,249.3490993
1150008900,1150008800,249.3490993
1150008900,1150008400,249.3490993
1150008900,1150009300,249.3490993
1150008900,1140034700,10
1150008900,1140034800,528.968506
1150008900,1140033300,528.968506
1150008900,1140030700,528.968506
1150008900,1140036400,528.968506
1150009100,1150009100,0
1150009100,1150009000,508.426143
1150009100,1150008600,508.426143
1150009100,1150009500,508.426143
1150009100,1150008800,10
1150009100,1150008900,249.3490993
1150009100,1140034700,249.3490993
1150009100,1150008400,10
1150009100,1150008500,561.9323061
1150009100,1150008300,561.9323061
1150009100,1150009300,10
1150009100,1150009400,521.1035109
1150009100,1150009700,521.1035109
1150009100,1150009200,521.1035109
1150009100,1150010500,521.1035109
1150009000,1150009000,0
1150009000,1150009100,508.426143
1150009000,1150008800,508.426143
1150009000,1150008400,508.426143
1150009000,1150009300,508.426143
1150009000,1150008600,10
1150009000,1150008000,639.9742125
1150009000,1150008700,639.9742125
1150009000,1150008200,639.9742125
1150009000,1150009500,10
1150009000,1150009400,198.0936932
1150009000,1150009700,198.0936932
1150009000,1150009200,198.0936932
1150009000,1150010500,198.0936932
1150008800,1150009100,10
1150008800,1150009000,508.426143
1150008800,1150008600,508.426143
1150008800,1150009500,508.426143
1150008800,1150008800,0
1150008800,1150008900,249.3490993
1150008800,1140034700,249.3490993
1150008800,1150008400,10
1150008800,1150008500,561.9323061
1150008800,1150008300,561.9323061
1150008800,1150009300,10
1150008800,1150009400,521.1035109
1150008800,1150009700,521.1035109
1150008800,1150009200,521.1035109
1150008800,1150010500,521.1035109
1140034700,1150008900,10
1140034700,1150009100,249.3490993
1140034700,1150008800,249.3490993
1140034700,1150008400,249.3490993
1140034700,1150009300,249.3490993
1140034700,1140034700,0
1140034700,1140034800,528.968506
1140034700,1140033300,528.968506
1140034700,1140030700,528.968506
1140034700,1140036400,528.968506
1140033300,1140034800,10
1140033300,1150008900,528.968506
1140033300,1140034700,528.968506
1140033300,1140033300,0
1140033300,1140033400,584.9086288
1140033300,1140030700,10
1140033300,1140027400,780.686924
1140033300,1140023300,780.686924
1140033300,1140030800,780.686924
1140033300,1140036400,10
1140033300,1140036300,440.8384857
1140033300,1140039800,440.8384857
1140033300,1140038200,440.8384857
1140033300,1140038000,440.8384857
1150008400,1150009100,10
1150008400,1150009000,508.426143
1150008400,1150008600,508.426143
1150008400,1150009500,508.426143
1150008400,1150008800,10
1150008400,1150008900,249.3490993
1150008400,1140034700,249.3490993
1150008400,1150008400,0
1150008400,1150008500,561.9323061
1150008400,1150008300,561.9323061
1150008400,1150009300,10
1150008400,1150009400,521.1035109
1150008400,1150009700,521.1035109
1150008400,1150009200,521.1035109
1150008400,1150010500,521.1035109
1150008500,1150008500,0
1150008500,1150009100,561.9323061
1150008500,1150008800,561.9323061
1150008500,1150008400,561.9323061
1150008500,1150009300,561.9323061
1150008500,1150008300,10
1150008500,1150008000,563.5042038
1150008500,1150008700,563.5042038
1150008500,1150008200,563.5042038
1180011300,1180011300,0
1180011300,1180011800,981.3884546
1180011300,1180011200,981.3884546
1180011300,1180012700,981.3884546
1180011300,1180010600,981.3884546
1180011300,1180012900,10
1180011300,1190006200,820.7368541
1180011300,1180012800,820.7368541
1180011300,1180010200,10
1180011300,1190001700,499.7538375
1180011300,1180009300,499.7538375
1180011300,1180010300,499.7538375
1180011300,1190001300,499.7538375
1180011800,1180011800,0
1180011800,1180010800,727.0968676
1180011800,1180011900,727.0968676
1180011800,1180010400,727.0968676
1180011800,1180011700,727.0968676
1180011800,1180011200,10
1180011800,1180011300,981.3884546
1180011800,1180012900,981.3884546
1180011800,1180010200,981.3884546
1180011800,1180012700,10
1180011800,1180013200,539.523931
1180011800,1180014100,539.523931
1180011800,1180013900,539.523931
1180011800,1180012600,539.523931
1180011800,1180010600,10
1180011800,1180010700,667.8896259
1180011800,1180008800,667.8896259
1180011800,1180009500,667.8896259
1180011800,1180009200,667.8896259
1180010800,1180010800,0
1180010800,1180009800,270.858529
1180010800,1180010900,270.858529
1180010800,1180011100,270.858529
1180010800,1180009600,270.858529
1180010800,1180011900,10
1180010800,1180011800,727.0968676
1180010800,1180011200,727.0968676
1180010800,1180012700,727.0968676
1180010800,1180010600,727.0968676
1180010800,1180010400,10
1180010800,1180009000,510.5475785
1180010800,1180010500,510.5475785
