Type,Color,ActiveColor,TextColor
Bed,,,white
Table,,,black
Chair,,,black
Shelf,,,black
Closet,,,black
Cabinet,,,black
Sofa,,,black
Bookshelf,,,white
Trash,,,black
Pot,,,black
TV,,,white
Computer,,,white
Mirror,,,black
Hanger,,,white
Lamp,,,white
Other,,,black
