Entity code,Entity name,Entity abbreviation,Entity theme,Entity coverage,Related entity codes,Status,Number of live instances,Number of archived instances,Number of cross-border instances,Date of last instance change,Current code (first in range),Current code (last in range),Reserved code (for CHD use),Entity owner,Date entity introduced on RGC,Entity start date
S36,Island Groups,ISLG,Other,Scotland,n/a,Current,57,0,0,n/a,S36000001,S36000057,S36999999,NRS,01/02/2016,15/08/2013
S37,Integration Authorities,HIA,Health,Scotland,n/a,Current,31,4,0,01/04/2019,S37000001,S37000035,S37999999,NHS,01/02/2016,01/04/2016
S38,Scottish Fire and Rescue Service,SFRS,Other,Scotland,"E31, W25, N31",Current,1,0,0,n/a,S38000001,S38000001,S38999999,SG,01/02/2016,01/04/2013
S39,Scottish Fire and Rescue Local Senior Officer Areas,SFRLSO,Other,Scotland,n/a,Current,17,4,0,01/04/2019,S39000001,S39000021,S39999999,SG,01/02/2016,01/04/2013
S40,Scottish Fire and Rescue Service Delivery Areas,SFRSDA,Other,Scotland,n/a,Current,3,2,0,02/02/2018,S40000003,S40000005,S40999999,SG,01/02/2016,01/04/2013
S41,Scottish Marine Regions,SMR,Other,Scotland,n/a,Current,11,0,0,n/a,S41000001,S41000011,S41999999,MS,31/12/2018,13/05/2015
S42,Scottish Local Resilience Partnerships,SLRP,Other,Scotland,n/a,Current,12,0,0,n/a,S42000001,S42000012,S42999999,SG,01/07/2019,01/04/2019
S43,Scottish Regional Resilience Partnerships,SRRP,Other,Scotland,n/a,Current,3,0,0,n/a,S43000001,S43000003,S43999999,SG,01/07/2019,01/04/2019
S44,Local Planning Authorities,LPA,Administrative,Scotland,"E60, N13, W43",Current,34,0,0,n/a,S44000001,S44000034,S44999999,ONS,01/07/2019,01/04/2019
N92,Country,CTRY,Administrative,Northern Ireland,"E92, W92, S92, L93, M83",Current,1,0,0,n/a,N92000002,N92000002,N92999999,ONS,06/05/2010,01/01/2009
N00,Small Areas,SA,Statistical Building Block,Northern Ireland,"E00, W00, S00",Current,"4,537",0,0,n/a,N00000001,N00004537,N00999999,NISRA,31/01/2013,31/12/2011
N06,Westminster Parliamentary Constituencies,WPC,Electoral,Northern Ireland,"E14, W07, S14",Current,18,0,0,n/a,N06000001,N06000018,N06999999,BCNI,06/05/2010,06/05/2010
N07,European Electoral Regions,EER,Electoral,Northern Ireland,"E15, W08, S15",Current,1,0,0,n/a,N07000001,N07000001,N07999999,BCNI,06/05/2010,01/01/2009
N08,Electoral Wards,WD,Administrative/Electoral,Northern Ireland,"E05, S13, W05",Current,462,0,0,n/a,N08000101,N08001140,N08999999,NISRA,01/04/2015,01/04/2015
N09,Local Government Districts,LGD,Administrative,Northern Ireland,n/a,Current,11,0,0,n/a,N09000001,N09000011,N09999999,NISRA,01/04/2015,01/04/2015
N10,District Electoral Areas,DEA,Electoral,Northern Ireland,n/a,Current,80,0,0,n/a,N10000101,N10001107,N10999999,BCNI,22/05/2014,22/05/2014
N11,Settlement 2015,SETT2015,Census,Northern Ireland,n/a,Current,639,0,0,n/a,N11000001,N11000639,N11999999,NISRA,29/01/2015,29/01/2015
