pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"DG109DY","DG10 9DY","DG10 9DY","198001","","0","308648","0605080","1","S00098118","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007643","S02001437","S34000909","S03000005","S99999999","S99999999","7","1B3",55.331255,-3.441523,"S99999999","S99999999","S23000009",5386,"S99999999","S99999999"
"DG109DZ","DG10 9DZ","DG10 9DZ","198001","200508","0","308650","0605104","1","S00098118","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007643","S02001437","S34000909","S03000005","S99999999","S99999999","7","1B3",55.331471,-3.441500,"S99999999","S99999999","S23000009",5386,"S99999999","S99999999"
"DG109EA","DG10 9EA","DG10 9EA","198001","","0","308646","0605187","1","S00098118","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007643","S02001437","S34000909","S03000005","S99999999","S99999999","7","1B3",55.332216,-3.441590,"S99999999","S99999999","S23000009",5386,"S99999999","S99999999"
"DG109EB","DG10 9EB","DG10 9EB","198001","","0","308573","0605161","1","S00098118","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007643","S02001437","S34000909","S03000005","S99999999","S99999999","7","1B3",55.331972,-3.442728,"S99999999","S99999999","S23000009",5386,"S99999999","S99999999"
"DG109ED","DG10 9ED","DG10 9ED","198001","","0","308532","0605228","1","S00098120","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","5B2",55.332563,-3.443399,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109EE","DG10 9EE","DG10 9EE","199009","","0","308674","0605061","1","S00098118","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007643","S02001437","S34000909","S03000005","S99999999","S99999999","7","1B3",55.331089,-3.441107,"S99999999","S99999999","S23000009",5386,"S99999999","S99999999"
"DG109EF","DG10 9EF","DG10 9EF","198001","","0","308536","0605248","1","S00098123","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007643","S02001437","S34000791","S03000005","S99999999","S99999999","7","1B3",55.332746,-3.443339,"S99999999","S99999999","S23000009",5386,"S99999999","S99999999"
"DG109EG","DG10 9EG","DG10 9EG","198001","","0","308512","0605156","1","S00098120","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","5B2",55.331913,-3.443691,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109EH","DG10 9EH","DG10 9EH","198001","","0","308515","0605183","1","S00098120","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","5B2",55.332156,-3.443653,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109EJ","DG10 9EJ","DG10 9EJ","198001","","0","308427","0605091","1","S00098118","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007643","S02001437","S34000909","S03000005","S99999999","S99999999","7","1B3",55.331313,-3.445009,"S99999999","S99999999","S23000009",5386,"S99999999","S99999999"
"DG109EL","DG10 9EL","DG10 9EL","198001","","0","308518","0605089","1","S00098118","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007643","S02001437","S34000909","S03000005","S99999999","S99999999","7","1B3",55.331312,-3.443575,"S99999999","S99999999","S23000009",5386,"S99999999","S99999999"
"DG109EN","DG10 9EN","DG10 9EN","198001","199412","1","308510","0604950","8","S00098118","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007643","S02001437","S34000909","S03000005","S99999999","S99999999","7","1B3",55.330062,-3.443655,"S99999999","S99999999","S23000009",5386,"S99999999","S99999999"
"DG109EP","DG10 9EP","DG10 9EP","198001","","1","308543","0604961","1","S00098118","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007643","S02001437","S34000909","S03000005","S99999999","S99999999","7","1B3",55.330167,-3.443139,"S99999999","S99999999","S23000009",5386,"S99999999","S99999999"
"DG109EQ","DG10 9EQ","DG10 9EQ","198001","200311","1","308508","0605180","1","S00098120","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","5B2",55.332127,-3.443762,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109ER","DG10 9ER","DG10 9ER","198001","","0","308364","0604957","1","S00098118","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007643","S02001437","S34000909","S03000005","S99999999","S99999999","7","1B3",55.330097,-3.445958,"S99999999","S99999999","S23000009",5386,"S99999999","S99999999"
