time,n_v count,e_v count,w_v count,s_v count,n_avg speed,e_avg speed,w_avg speed,s_avg speed,timestamp
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616861242.0366771
2.0,12.0,0.0,0.0,36.0,31.308195960953032,0.0,0.0,68.02763764399346,1616861242.0366771
3.0,21.0,0.0,0.0,57.0,44.54288792816415,0.0,0.0,52.81625393839518,1616861242.0366771
4.0,29.0,0.0,0.0,81.0,60.41669655289466,0.0,0.0,50.88042025016095,1616861242.0366771
5.0,40.0,0.0,0.0,109.0,47.00062985863836,0.0,0.0,45.45173531263798,1616861242.0366771
6.0,41.0,0.0,0.0,119.0,48.80370079875263,0.0,0.0,44.994675383759024,1616861242.0366771
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616861927.7084978
8.0,5.0,0.0,0.0,23.0,47.86037522658961,0.0,0.0,36.678636821527526,1616861927.7084978
9.0,18.0,0.0,0.0,46.0,32.74842749334305,0.0,0.0,34.51821613239707,1616861927.7084978
10.0,27.0,0.0,0.0,74.0,34.089891602267805,0.0,0.0,37.773475666371056,1616861927.7084978
11.0,40.0,0.0,0.0,114.0,38.220178404278855,0.0,0.0,39.19104267394575,1616861927.7084978
12.0,54.0,0.0,0.0,147.0,45.19079002535027,0.0,0.0,43.14494939359209,1616861927.7084978
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616863160.6004004
14.0,18.0,0.0,0.0,31.0,27.110258221711245,0.0,0.0,23.81597044490907,1616863160.6004004
15.0,25.0,0.0,0.0,44.0,28.58274110672663,0.0,0.0,28.24992346871564,1616863160.6004004
16.0,39.0,0.0,0.0,87.0,27.386184885402493,0.0,0.0,33.26108954254551,1616863160.6004004
17.0,55.0,0.0,0.0,126.0,36.49888269618877,0.0,0.0,34.841624460497194,1616863160.6004004
18.0,63.0,0.0,0.0,149.0,33.681741290144664,0.0,0.0,36.43995545717616,1616863160.6004004
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616864432.111019
20.0,3.0,0.0,0.0,13.0,40.22282208231616,0.0,0.0,45.57625880319587,1616864432.111019
21.0,16.0,0.0,0.0,41.0,33.643540680672594,0.0,0.0,50.62704430844836,1616864432.111019
22.0,19.0,0.0,0.0,44.0,29.241788172985498,0.0,0.0,47.89314761762121,1616864432.111019
23.0,34.0,0.0,0.0,70.0,35.42084446402567,0.0,0.0,41.005398415804144,1616864432.111019
24.0,51.0,0.0,0.0,111.0,34.55447731946614,0.0,0.0,42.26114381127422,1616864432.111019
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616869777.7974825
26.0,19.0,0.0,0.0,39.0,51.87319875022376,0.0,0.0,33.76362888878858,1616869777.7974825
27.0,31.0,0.0,0.0,62.0,48.32674060961855,0.0,0.0,48.24080993640138,1616869777.7974825
28.0,31.0,0.0,0.0,62.0,48.32674060961855,0.0,0.0,48.24080993640138,1616869777.7974825
29.0,31.0,0.0,0.0,62.0,48.32674060961855,0.0,0.0,48.24080993640138,1616869777.7974825
30.0,41.0,0.0,0.0,80.0,44.18149855438576,0.0,0.0,46.55838373897274,1616869777.7974825
31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616873021.0967436
32.0,16.0,0.0,0.0,12.0,16.618138578196792,0.0,0.0,48.79068445812653,1616873021.0967436
33.0,28.0,0.0,0.0,28.0,21.28840736813934,0.0,0.0,56.15765837664423,1616873021.0967436
34.0,39.0,0.0,0.0,62.0,27.721021968492952,0.0,0.0,47.83373727573949,1616873021.0967436
35.0,52.0,0.0,0.0,79.0,25.456294775774396,0.0,0.0,40.9878084383005,1616873021.0967436
36.0,60.0,0.0,0.0,97.0,24.7037022597878,0.0,0.0,36.95576895689628,1616873021.0967436
