12 car [859, 387]
11 car [617, 395]
10 car [1127, 393]
9 car [688, 291]
8 car [1699, 330]
7 car [765, 72]
6 car [1024, 152]
5 car [1079, 279]
4 car [848, 269]
3 car [1046, 213]
2 car [1022, 137]
1 car [1847, 605]
0 frame changed

14 car [1698, 434]
13 car [1583, 252]
12 car [861, 386]
11 car [616, 396]
10 car [1126, 393]
9 car [687, 294]
7 car [759, 93]
6 car [1022, 152]
5 car [1081, 280]
4 car [850, 268]
3 car [1045, 211]
2 car [1021, 138]
0 frame changed

12 car [860, 386]
11 car [616, 394]
10 car [1127, 393]
9 car [688, 291]
7 car [752, 121]
6 car [1021, 150]
5 car [1080, 280]
4 car [850, 268]
3 car [1046, 212]
0 frame changed

12 car [860, 385]
11 car [618, 395]
10 car [1125, 393]
9 car [690, 290]
7 car [739, 148]
6 car [1021, 150]
5 car [1080, 280]
4 car [848, 268]
3 car [1046, 213]
0 frame changed

12 car [860, 385]
11 car [618, 395]
10 car [1125, 393]
9 car [690, 290]
7 car [721, 173]
6 car [1022, 150]
5 car [1081, 280]
4 car [844, 267]
3 car [1045, 212]
0 frame changed

12 car [861, 378]
11 car [617, 395]
10 car [1125, 393]
9 car [690, 299]
7 car [691, 195]
6 car [1022, 150]
5 car [1081, 279]
4 car [844, 269]
3 car [1045, 212]
2 car [1021, 138]
0 frame changed

12 car [860, 375]
11 car [617, 395]
10 car [1126, 392]
9 car [691, 302]
6 car [1022, 151]
5 car [1081, 280]
4 car [845, 268]
3 car [1046, 211]
2 car [1021, 139]
0 frame changed

12 car [861, 381]
11 car [618, 396]
10 car [1126, 395]
9 car [692, 301]
6 car [1021, 150]
5 car [1080, 279]
4 car [847, 268]
3 car [1047, 211]
0 frame changed

12 car [860, 377]
11 car [611, 402]
10 car [1124, 398]
9 car [688, 297]
6 car [1023, 149]
5 car [1081, 280]
4 car [847, 269]
3 car [1046, 211]
0 frame changed

12 car [860, 383]
11 car [600, 413]
10 car [1132, 407]
9 car [688, 293]
6 car [1022, 149]
5 car [1081, 284]
4 car [846, 267]
3 car [1047, 212]
0 frame changed

12 car [861, 386]
11 car [588, 429]
10 car [1136, 414]
9 car [687, 300]
6 car [1023, 150]
4 car [844, 266]
3 car [1045, 212]
0 frame changed

15 car [1078, 301]
12 car [861, 393]
11 car [578, 458]
10 car [1145, 441]
9 car [688, 305]
6 car [1023, 150]
4 car [844, 265]
3 car [1046, 212]
2 car [1021, 138]
0 frame changed

19 car [873, 30]
16 car [867, 195]
15 car [1078, 306]
12 car [860, 404]
11 car [549, 508]
9 car [680, 320]
6 car [1021, 146]
4 car [842, 270]
3 car [1047, 214]
0 frame changed

15 car [1079, 310]
11 car [522, 561]
9 car [669, 338]
6 car [1022, 147]
4 car [847, 270]
3 car [1047, 214]
0 frame changed

15 car [1084, 320]
9 car [652, 371]
6 car [1022, 146]
4 car [847, 275]
3 car [1048, 215]
0 frame changed

40 car [1070, 41]
16 car [868, 196]
15 car [1089, 330]
12 car [854, 477]
9 car [628, 416]
6 car [1021, 149]
4 car [847, 284]
3 car [1049, 218]
0 frame changed

41 car [329, 939]
40 car [1072, 50]
19 car [870, 29]
16 car [868, 201]
15 car [1098, 348]
12 car [854, 523]
9 car [597, 476]
6 car [1020, 150]
4 car [845, 300]
0 frame changed

44 car [1055, 242]
40 car [1080, 56]
19 car [870, 28]
15 car [1109, 370]
6 car [1021, 150]
4 car [841, 321]
0 frame changed

44 car [1055, 245]
43 car [872, 215]
40 car [1085, 63]
19 car [870, 28]
15 car [1125, 401]
6 car [1021, 151]
4 car [835, 355]
0 frame changed

44 car [1056, 250]
43 car [871, 220]
40 car [1090, 69]
19 car [870, 29]
6 car [1021, 154]
4 car [833, 395]
0 frame changed

48 car [809, 937]
44 car [1059, 259]
43 car [871, 238]
40 car [1095, 72]
19 car [870, 28]
10 car [1166, 494]
6 car [1023, 155]
4 car [826, 445]
0 frame changed

49 car [864, 156]
44 car [1064, 272]
43 car [867, 255]
40 car [1094, 70]
19 car [871, 29]
10 car [1191, 554]
6 car [1022, 161]
0 frame changed

49 car [867, 172]
44 car [1068, 290]
43 car [865, 273]
42 car [872, 48]
40 car [1096, 71]
19 car [871, 29]
12 car [815, 617]
6 car [1025, 164]
0 frame changed

44 car [1074, 310]
43 car [862, 301]
42 car [871, 48]
40 car [1095, 72]
19 car [871, 29]
16 car [868, 196]
6 car [1028, 171]
0 frame changed

56 car [866, 93]
44 car [1086, 337]
43 car [854, 334]
40 car [1094, 71]
19 car [873, 30]
16 car [870, 209]
6 car [1030, 180]
0 frame changed

59 car [981, 54]
56 car [866, 95]
52 car [864, 108]
44 car [1099, 368]
43 car [848, 375]
40 car [1097, 70]
19 car [873, 30]
16 car [870, 227]
6 car [1035, 191]
0 frame changed

59 car [986, 70]
52 car [865, 110]
49 car [864, 232]
44 car [1114, 407]
43 car [838, 425]
42 car [872, 49]
40 car [1097, 71]
19 car [874, 28]
6 car [1040, 204]
0 frame changed

59 car [996, 91]
52 car [866, 113]
49 car [861, 260]
42 car [872, 50]
40 car [1098, 70]
19 car [874, 29]
6 car [1048, 225]
0 frame changed

59 car [999, 113]
56 car [864, 132]
52 car [863, 116]
49 car [860, 273]
40 car [1097, 70]
19 car [873, 29]
15 car [1165, 518]
6 car [1054, 242]
0 frame changed

59 car [1005, 133]
56 car [865, 141]
40 car [1093, 70]
19 car [874, 30]
6 car [1064, 268]
0 frame changed

59 car [1016, 155]
56 car [865, 152]
40 car [1096, 72]
19 car [875, 30]
6 car [1073, 293]
0 frame changed

59 car [1025, 182]
56 car [866, 168]
52 car [865, 152]
40 car [1093, 70]
6 car [1094, 330]
0 frame changed

78 car [976, 34]
77 car [865, 96]
59 car [1039, 211]
56 car [866, 184]
42 car [876, 48]
40 car [1094, 71]
6 car [1111, 364]
0 frame changed

78 car [982, 49]
59 car [1053, 245]
56 car [866, 203]
42 car [876, 50]
40 car [1096, 70]
0 frame changed

85 car [756, 95]
84 car [860, 132]
78 car [985, 67]
59 car [1064, 284]
42 car [876, 53]
40 car [1096, 70]
0 frame changed

85 car [746, 118]
84 car [861, 147]
78 car [993, 87]
59 car [1082, 325]
42 car [875, 62]
40 car [1097, 70]
16 car [867, 261]
0 frame changed

86 car [736, 150]
84 car [861, 165]
78 car [1001, 110]
59 car [1100, 378]
42 car [873, 70]
40 car [1096, 71]
16 car [864, 295]
0 frame changed

86 car [721, 184]
84 car [865, 186]
78 car [1012, 138]
42 car [874, 81]
40 car [1096, 69]
19 car [869, 30]
0 frame changed

86 car [705, 214]
84 car [867, 212]
78 car [1027, 168]
60 car [1369, 941]
49 car [857, 419]
42 car [872, 95]
40 car [1097, 70]
19 car [869, 32]
0 frame changed

86 car [692, 247]
84 car [867, 240]
49 car [845, 499]
40 car [1096, 69]
19 car [868, 44]
0 frame changed

86 car [678, 278]
82 car [1065, 239]
77 car [868, 128]
40 car [1096, 69]
0 frame changed

86 car [664, 312]
77 car [869, 147]
40 car [1095, 69]
0 frame changed

89 car [867, 77]
86 car [661, 348]
79 car [782, 29]
77 car [869, 168]
74 car [875, 22]
70 car [791, 948]
60 car [1355, 968]
40 car [1093, 69]
16 car [860, 377]
0 frame changed

77 car [870, 193]
74 car [877, 27]
42 car [868, 106]
40 car [1095, 70]
0 frame changed

77 car [870, 218]
42 car [867, 116]
40 car [1094, 69]
0 frame changed

77 car [867, 250]
42 car [868, 130]
40 car [1093, 71]
19 car [876, 51]
0 frame changed

94 car [865, 172]
93 car [757, 116]
92 car [973, 29]
77 car [860, 292]
42 car [868, 150]
40 car [1094, 71]
19 car [876, 63]
0 frame changed

94 car [865, 195]
93 car [745, 139]
92 car [975, 46]
40 car [1093, 71]
19 car [875, 76]
0 frame changed

94 car [862, 228]
93 car [731, 184]
92 car [980, 58]
40 car [1095, 71]
0 frame changed

94 car [853, 261]
93 car [716, 215]
92 car [991, 82]
89 car [872, 112]
40 car [1095, 70]
0 frame changed

94 car [851, 305]
93 car [700, 250]
92 car [999, 102]
89 car [872, 135]
74 car [877, 32]
40 car [1097, 71]
0 frame changed

93 car [675, 290]
92 car [1006, 122]
89 car [872, 154]
40 car [1097, 70]
0 frame changed

103 car [875, 67]
93 car [658, 340]
92 car [1016, 148]
49 car [797, 949]
42 car [874, 190]
40 car [1093, 69]
0 frame changed

93 car [629, 399]
92 car [1028, 174]
42 car [879, 223]
40 car [1097, 70]
16 car [836, 509]
0 frame changed

105 car [978, 55]
92 car [1046, 202]
42 car [883, 256]
40 car [1095, 70]
0 frame changed

105 car [989, 78]
103 car [869, 133]
92 car [1064, 240]
42 car [884, 300]
40 car [1097, 70]
0 frame changed

105 car [996, 108]
103 car [866, 162]
92 car [1081, 280]
74 car [875, 31]
42 car [885, 353]
40 car [1098, 69]
0 frame changed

74 car [875, 39]
40 car [1097, 70]
0 frame changed

108 car [878, 65]
89 car [875, 230]
40 car [1096, 70]
0 frame changed

108 car [877, 80]
107 car [1034, 215]
89 car [873, 270]
40 car [1095, 70]
0 frame changed

108 car [875, 97]
107 car [1056, 260]
89 car [869, 320]
40 car [1095, 70]
0 frame changed

108 car [870, 127]
107 car [1075, 313]
96 car [884, 930]
40 car [1094, 71]
0 frame changed

113 car [972, 30]
112 car [866, 23]
108 car [867, 159]
107 car [1101, 382]
40 car [1094, 71]
0 frame changed

113 car [977, 47]
108 car [865, 194]
40 car [1096, 73]
0 frame changed

113 car [981, 60]
108 car [866, 232]
40 car [1096, 72]
0 frame changed

113 car [987, 75]
112 car [870, 66]
108 car [860, 276]
40 car [1098, 73]
0 frame changed

113 car [993, 94]
112 car [870, 85]
40 car [1096, 71]
0 frame changed

113 car [998, 114]
112 car [867, 107]
40 car [1093, 70]
0 frame changed

125 car [976, 35]
113 car [1005, 137]
112 car [866, 130]
40 car [1095, 71]
0 frame changed

125 car [979, 52]
113 car [1014, 162]
112 car [863, 159]
40 car [1096, 71]
0 frame changed

125 car [986, 69]
113 car [1027, 190]
112 car [865, 191]
40 car [1098, 72]
0 frame changed

125 car [994, 86]
113 car [1049, 224]
112 car [865, 222]
40 car [1097, 71]
0 frame changed

137 car [681, 273]
125 car [999, 103]
113 car [1064, 262]
112 car [863, 254]
40 car [1097, 69]
0 frame changed

137 car [665, 334]
125 car [1008, 121]
113 car [1074, 300]
112 car [862, 289]
40 car [1097, 69]
0 frame changed

137 car [628, 398]
125 car [1014, 140]
113 car [1088, 343]
112 car [864, 333]
40 car [1095, 69]
0 frame changed

145 car [874, 48]
137 car [592, 480]
125 car [1020, 155]
113 car [1109, 395]
112 car [860, 376]
40 car [1098, 70]
0 frame changed

137 car [535, 594]
125 car [1029, 174]
113 car [1135, 453]
112 car [861, 421]
40 car [1098, 72]
0 frame changed

137 car [467, 755]
125 car [1039, 195]
113 car [1167, 520]
112 car [858, 478]
40 car [1093, 71]
0 frame changed

145 car [877, 104]
140 car [1060, 228]
125 car [1051, 214]
113 car [1201, 594]
40 car [1095, 71]
0 frame changed

145 car [873, 124]
132 car [970, 41]
