time,n_v count,e_v count,w_v count,s_v count,n_avg speed,e_avg speed,w_avg speed,s_avg speed,timestamp
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617085062.776302
2.0,8.0,0.0,0.0,7.0,1.7591420401638789,0.0,0.0,14.18855380378399,1617085062.776302
3.0,14.0,0.0,0.0,21.0,1.0737832929882565,0.0,0.0,11.490365297697414,1617085062.776302
4.0,23.0,0.0,0.0,29.0,1.2955730868190756,0.0,0.0,12.303805062939682,1617085062.776302
5.0,35.0,0.0,0.0,38.0,7.701674478092916,0.0,0.0,12.550860310505511,1617085062.776302
6.0,40.0,0.0,0.0,41.0,7.8695792124236,0.0,0.0,12.786331350459536,1617085062.776302
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617087021.5341742
8.0,4.0,0.0,0.0,7.0,7.173652310533225,0.0,0.0,22.012635841155284,1617087021.5341742
9.0,6.0,0.0,0.0,19.0,4.591185356167351,0.0,0.0,28.885285914409845,1617087021.5341742
10.0,11.0,0.0,0.0,24.0,3.984479288211224,0.0,0.0,25.20958757474234,1617087021.5341742
11.0,20.0,0.0,0.0,51.0,6.1303463197972805,0.0,0.0,20.95289552110185,1617087021.5341742
12.0,23.0,0.0,0.0,60.0,4.946227612413045,0.0,0.0,19.836101550108555,1617087021.5341742
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617088743.5197303
14.0,10.0,0.0,0.0,4.0,7.64211812454378,0.0,0.0,9.379415686887716,1617088743.5197303
15.0,23.0,0.0,0.0,19.0,12.977160239644268,0.0,0.0,17.57543193781767,1617088743.5197303
16.0,35.0,0.0,0.0,33.0,12.824531659010468,0.0,0.0,16.17252473678244,1617088743.5197303
17.0,40.0,0.0,0.0,41.0,12.34588848364201,0.0,0.0,19.59567802133788,1617088743.5197303
18.0,40.0,0.0,0.0,44.0,12.335927307462118,0.0,0.0,20.14804368344414,1617088743.5197303
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617090644.5160668
20.0,4.0,0.0,0.0,3.0,6.179082070522295,0.0,0.0,44.89618482024402,1617090644.5160668
21.0,14.0,0.0,0.0,15.0,5.636997586654722,0.0,0.0,26.095830186753755,1617090644.5160668
22.0,19.0,0.0,0.0,23.0,2.842781946715216,0.0,0.0,22.965029639744483,1617090644.5160668
23.0,41.0,0.0,0.0,35.0,10.030218710276758,0.0,0.0,21.951035425503825,1617090644.5160668
24.0,46.0,0.0,0.0,39.0,9.856894427982136,0.0,0.0,21.85227913645976,1617090644.5160668
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617092551.6512752
26.0,11.0,0.0,0.0,12.0,20.488314263094125,0.0,0.0,26.464182405109,1617092551.6512752
27.0,12.0,0.0,0.0,17.0,18.049699509438828,0.0,0.0,23.89137314640414,1617092551.6512752
28.0,14.0,0.0,0.0,22.0,16.452851300736075,0.0,0.0,19.723074991306103,1617092551.6512752
29.0,16.0,0.0,0.0,29.0,15.680368140325031,0.0,0.0,16.539511427442907,1617092551.6512752
30.0,17.0,0.0,0.0,30.0,15.373422870240256,0.0,0.0,16.20394286567027,1617092551.6512752
31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617094574.009124
32.0,12.0,0.0,0.0,1.0,1.0363564850448432,0.0,0.0,22.24600334801737,1617094574.009124
33.0,33.0,0.0,0.0,9.0,9.043456337064246,0.0,0.0,28.993589419143905,1617094574.009124
34.0,38.0,0.0,0.0,21.0,9.75123301038268,0.0,0.0,26.488007091741068,1617094574.009124
35.0,38.0,0.0,0.0,23.0,9.741253776687596,0.0,0.0,27.222238568289008,1617094574.009124
36.0,40.0,0.0,0.0,25.0,9.43300040290435,0.0,0.0,25.642661849508595,1617094574.009124
37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617096552.7940676
38.0,1.0,0.0,0.0,5.0,1.1029634096583176,0.0,0.0,12.37406724329306,1617096552.7940676
39.0,12.0,0.0,0.0,26.0,3.160319492379898,0.0,0.0,10.822640224496636,1617096552.7940676
40.0,14.0,0.0,0.0,33.0,2.7629360314750904,0.0,0.0,10.421937122267297,1617096552.7940676
41.0,36.0,0.0,0.0,52.0,11.699653722191114,0.0,0.0,13.834416566707176,1617096552.7940676
42.0,43.0,0.0,0.0,56.0,12.33550063152436,0.0,0.0,14.891605477845005,1617096552.7940676
43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617098491.2056477
44.0,3.0,0.0,0.0,3.0,18.075653214148804,0.0,0.0,16.812114436672445,1617098491.2056477
45.0,3.0,0.0,0.0,3.0,17.68649560605104,0.0,0.0,16.812114436672445,1617098491.2056477
46.0,4.0,0.0,0.0,3.0,20.91429359445911,0.0,0.0,16.812114436672445,1617098491.2056477
47.0,5.0,0.0,0.0,4.0,16.77833740166148,0.0,0.0,18.26736770277354,1617098491.2056477
48.0,5.0,0.0,0.0,4.0,16.77833740166148,0.0,0.0,18.26736770277354,1617098491.2056477
49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617100361.914255
50.0,11.0,0.0,0.0,1.0,3.2452723785114084,0.0,0.0,2.052851939152367,1617100361.914255
51.0,40.0,0.0,0.0,19.0,14.068872436448492,0.0,0.0,23.52738157457647,1617100361.914255
52.0,58.0,0.0,0.0,34.0,12.6412244240001,0.0,0.0,22.52528986990108,1617100361.914255
53.0,62.0,0.0,0.0,36.0,11.950943487736088,0.0,0.0,22.45897932157324,1617100361.914255
54.0,63.0,0.0,0.0,37.0,11.780805266232544,0.0,0.0,23.96328040767452,1617100361.914255
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617102155.7508454
56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.287041123543588,1617102155.7508454
57.0,1.0,0.0,0.0,2.0,0.8852796706163604,0.0,0.0,11.313437666366172,1617102155.7508454
58.0,3.0,0.0,0.0,4.0,1.2053518300594266,0.0,0.0,8.287678660535743,1617102155.7508454
