frame_num,id,d2x,d2y,rx,ry,heading
0,V5,1031,479,183518,85262,
0,V4,1254,468,223212,83304,
0,V3,1578,479,280884,85262,
0,V2,1004,343,178712,61054,
0,V1,1239,444,220542,79032,
1,V8,951,260,169278,46280,
1,V7,698,171,124244,30438,
1,V6,1201,346,213778,61588,
1,V5,1030,476,183340,84728,
1,V4,1256,462,223568,82236,
1,V3,1580,481,281240,85618,
1,V2,1004,343,178712,61054,
1,V1,1242,444,221076,79032,
2,V5,1030,479,183340,85262,
2,V4,1256,466,223568,82948,
2,V3,1579,480,281062,85440,
2,V2,1005,342,178890,60876,
3,V7,688,176,122464,31328,
3,V5,1031,478,183518,85084,
3,V4,1256,463,223568,82414,
3,V3,1579,480,281062,85440,
3,V2,1004,341,178712,60698,
4,V7,681,184,121218,32752,
4,V6,1207,346,214846,61588,
4,V5,1030,477,183340,84906,
4,V4,1257,462,223746,82236,
4,V3,1579,481,281062,85618,
5,V7,678,192,120684,34176,
5,V6,1206,346,214668,61588,
5,V5,1030,478,183340,85084,
5,V4,1256,463,223568,82414,
6,V5,1031,479,183518,85262,
6,V4,1256,466,223568,82948,
7,V5,1030,478,183340,85084,
7,V4,1255,467,223390,83126,
8,V6,1208,349,215024,62122,
8,V5,1031,478,183518,85084,
8,V4,1254,467,223212,83126,
8,V3,1578,480,280884,85440,
8,V2,1003,343,178534,61054,
9,V8,950,259,169100,46102,
9,V6,1208,349,215024,62122,
9,V5,1031,476,183518,84728,
9,V4,1254,466,223212,82948,
9,V3,1578,480,280884,85440,
9,V2,1003,342,178534,60876,
10,V7,653,220,116234,39160,
10,V6,1205,349,214490,62122,
10,V5,1030,476,183340,84728,
10,V4,1254,467,223212,83126,
10,V3,1578,481,280884,85618,
10,V2,1003,342,178534,60876,
11,V7,648,233,115344,41474,
11,V6,1207,347,214846,61766,
11,V5,1031,479,183518,85262,
11,V4,1256,464,223568,82592,
11,V2,1004,342,178712,60876,
12,V5,1031,480,183518,85440,
12,V4,1256,463,223568,82414,
13,V5,1030,485,183340,86330,
13,V4,1255,464,223390,82592,
14,V5,1030,481,183340,85618,
14,V4,1256,465,223568,82770,
