frame_num,id,d2x,d2y,rx,ry,heading
13,V17,1095,388,119355,42292,S
13,V16,735,482,80115,52538,N
13,V15,1551,576,169059,62784,N
13,V14,1280,524,139520,57116,N
13,V13,1114,537,121426,58533,N
13,V12,933,562,101697,61258,N
13,V11,1421,504,154889,54936,N
13,V10,1296,430,141264,46870,N
13,V9,731,564,79679,61476,N
13,V8,1198,463,130582,50467,N
13,V5,734,368,80006,40112,S
13,V4,731,423,79679,46107,N
14,V17,1095,388,119355,42292,S
14,V16,735,482,80115,52538,N
14,V15,1552,575,169168,62675,N
14,V14,1280,524,139520,57116,N
14,V13,1113,537,121317,58533,N
14,V12,934,562,101806,61258,N
14,V11,1420,503,154780,54827,N
14,V10,1297,430,141373,46870,N
14,V9,730,564,79570,61476,N
14,V8,1199,463,130691,50467,N
14,V4,731,423,79679,46107,N
14,V2,831,361,90579,39349,S
15,V16,736,482,80224,52538,N
15,V15,1551,576,169059,62784,N
15,V14,1279,524,139411,57116,N
15,V13,1113,537,121317,58533,N
15,V12,934,561,101806,61149,N
15,V11,1421,505,154889,55045,N
15,V10,1297,430,141373,46870,N
15,V9,731,563,79679,61367,N
15,V8,1198,464,130582,50576,N
15,V4,730,423,79570,46107,N
15,V2,831,362,90579,39458,S
16,V16,734,482,80006,52538,N
16,V15,1552,577,169168,62893,N
16,V14,1279,524,139411,57116,N
16,V13,1113,535,121317,58315,N
16,V12,934,562,101806,61258,N
16,V11,1421,505,154889,55045,N
16,V10,1297,430,141373,46870,N
16,V9,730,563,79570,61367,N
16,V8,1200,464,130800,50576,N
16,V6,1055,470,114995,51230,N
16,V4,731,424,79679,46216,N
16,V2,830,362,90470,39458,S
17,V32,760,215,82840,23435,S
17,V16,735,482,80115,52538,N
17,V15,1553,577,169277,62893,N
17,V14,1281,524,139629,57116,N
17,V13,1114,535,121426,58315,N
17,V12,934,562,101806,61258,N
17,V11,1421,505,154889,55045,N
17,V10,1298,431,141482,46979,N
17,V9,731,563,79679,61367,N
17,V8,1199,464,130691,50576,N
17,V6,1056,470,115104,51230,N
17,V4,731,424,79679,46216,N
17,V2,830,362,90470,39458,S
18,V32,764,217,83276,23653,S
18,V16,736,481,80224,52429,N
18,V15,1552,577,169168,62893,N
18,V14,1280,524,139520,57116,N
18,V13,1113,535,121317,58315,N
18,V12,934,562,101806,61258,N
18,V11,1421,504,154889,54936,N
18,V10,1298,431,141482,46979,N
18,V9,730,563,79570,61367,N
18,V8,1199,464,130691,50576,N
18,V5,734,368,80006,40112,S
18,V4,731,424,79679,46216,N
18,V2,830,362,90470,39458,S
19,V32,765,218,83385,23762,S
19,V16,736,482,80224,52538,N
19,V15,1552,577,169168,62893,N
19,V14,1280,525,139520,57225,N
19,V13,1114,536,121426,58424,N
19,V12,934,562,101806,61258,N
19,V11,1420,502,154780,54718,N
19,V10,1297,431,141373,46979,N
19,V9,730,564,79570,61476,N
19,V8,1200,464,130800,50576,N
19,V5,733,368,79897,40112,S
19,V4,731,424,79679,46216,N
20,V32,766,219,83494,23871,S
20,V16,733,481,79897,52429,N
20,V15,1551,576,169059,62784,N
20,V14,1279,523,139411,57007,N
20,V13,1112,537,121208,58533,N
20,V12,934,561,101806,61149,N
20,V11,1421,503,154889,54827,N
20,V10,1297,430,141373,46870,N
20,V9,730,563,79570,61367,N
20,V8,1199,464,130691,50576,N
20,V6,1055,471,114995,51339,N
20,V5,733,368,79897,40112,S
20,V4,730,424,79570,46216,N
21,V16,735,481,80115,52429,N
21,V15,1552,577,169168,62893,N
21,V14,1279,523,139411,57007,N
21,V13,1113,536,121317,58424,N
21,V12,934,561,101806,61149,N
21,V11,1422,504,154998,54936,N
21,V10,1297,430,141373,46870,N
21,V9,730,563,79570,61367,N
21,V8,1199,464,130691,50576,N
21,V6,1055,470,114995,51230,N
21,V5,733,368,79897,40112,S
21,V4,730,424,79570,46216,N
22,V16,733,482,79897,52538,N
22,V15,1551,575,169059,62675,N
22,V14,1279,524,139411,57116,N
22,V13,1113,538,121317,58642,N
22,V12,934,562,101806,61258,N
22,V11,1421,504,154889,54936,N
22,V10,1296,430,141264,46870,N
22,V9,729,563,79461,61367,N
22,V8,1198,463,130582,50467,N
22,V6,1054,471,114886,51339,N
22,V5,733,367,79897,40003,S
22,V4,731,423,79679,46107,N
23,V16,733,482,79897,52538,N
23,V15,1552,575,169168,62675,N
23,V14,1280,524,139520,57116,N
23,V13,1114,538,121426,58642,N
23,V12,934,563,101806,61367,N
23,V11,1422,505,154998,55045,N
23,V10,1296,430,141264,46870,N
23,V9,729,562,79461,61258,N
23,V8,1199,464,130691,50576,N
23,V6,1055,471,114995,51339,N
23,V5,733,368,79897,40112,S
23,V4,730,423,79570,46107,N
24,V40,612,364,66708,39676,S
24,V16,734,481,80006,52429,N
24,V15,1550,576,168950,62784,N
24,V14,1281,524,139629,57116,N
24,V13,1113,537,121317,58533,N
24,V12,933,562,101697,61258,N
24,V11,1422,505,154998,55045,N
24,V10,1296,430,141264,46870,N
24,V9,729,562,79461,61258,N
24,V8,1199,463,130691,50467,N
24,V6,1055,471,114995,51339,N
24,V5,734,369,80006,40221,S
24,V4,730,423,79570,46107,N
25,V40,604,382,65836,41638,S
25,V16,733,481,79897,52429,N
25,V15,1550,577,168950,62893,N
25,V14,1279,524,139411,57116,N
25,V13,1112,537,121208,58533,N
25,V12,933,561,101697,61149,N
25,V11,1421,505,154889,55045,N
25,V10,1296,430,141264,46870,N
25,V9,729,563,79461,61367,N
25,V8,1197,463,130473,50467,N
25,V6,1055,471,114995,51339,N
25,V5,733,368,79897,40112,S
25,V4,730,423,79570,46107,N
26,V46,756,194,82404,21146,S
26,V40,597,398,65073,43382,S
26,V16,733,482,79897,52538,N
26,V15,1550,576,168950,62784,N
26,V14,1279,521,139411,56789,N
26,V13,1115,538,121535,58642,N
26,V12,934,563,101806,61367,N
26,V11,1421,502,154889,54718,N
26,V10,1295,430,141155,46870,N
26,V9,733,561,79897,61149,N
26,V8,1197,463,130473,50467,N
26,V6,1056,471,115104,51339,N
26,V5,734,369,80006,40221,S
26,V4,731,424,79679,46216,N
27,V49,802,216,87418,23544,S
27,V46,755,195,82295,21255,S
27,V16,732,480,79788,52320,N
27,V15,1550,576,168950,62784,N
27,V14,1278,522,139302,56898,N
27,V13,1113,537,121317,58533,N
27,V12,935,562,101915,61258,N
27,V11,1421,503,154889,54827,N
27,V10,1295,430,141155,46870,N
27,V9,731,564,79679,61476,N
27,V8,1199,464,130691,50576,N
27,V6,1054,471,114886,51339,N
27,V5,734,368,80006,40112,S
27,V4,730,424,79570,46216,N
28,V50,1174,364,127966,39676,S
28,V46,757,198,82513,21582,S
28,V16,735,481,80115,52429,N
28,V15,1551,575,169059,62675,N
28,V14,1278,521,139302,56789,N
28,V13,1116,537,121644,58533,N
28,V12,936,561,102024,61149,N
28,V11,1422,501,154998,54609,N
28,V10,1297,429,141373,46761,N
28,V9,734,562,80006,61258,N
28,V8,1199,463,130691,50467,N
28,V5,734,369,80006,40221,S
28,V4,731,424,79679,46216,N
29,V40,577,452,62893,49268,N
29,V16,734,480,80006,52320,N
29,V15,1549,577,168841,62893,N
29,V14,1279,522,139411,56898,N
29,V13,1113,537,121317,58533,N
29,V12,934,562,101806,61258,N
29,V11,1421,504,154889,54936,N
29,V10,1296,430,141264,46870,N
29,V9,731,563,79679,61367,N
29,V8,1198,464,130582,50576,N
29,V5,734,368,80006,40112,S
29,V4,730,424,79570,46216,N
30,V40,571,469,62239,51121,N
30,V16,737,481,80333,52429,N
30,V15,1551,577,169059,62893,N
30,V14,1279,524,139411,57116,N
30,V13,1115,537,121535,58533,N
30,V12,933,562,101697,61258,N
30,V11,1421,504,154889,54936,N
30,V10,1296,431,141264,46979,N
30,V9,733,562,79897,61258,N
30,V8,1199,465,130691,50685,N
30,V6,1053,479,114777,52211,N
30,V5,734,368,80006,40112,S
30,V4,731,424,79679,46216,N
31,V40,562,484,61258,52756,N
31,V16,735,481,80115,52429,N
31,V15,1551,577,169059,62893,N
31,V14,1280,524,139520,57116,N
31,V13,1113,535,121317,58315,N
31,V12,932,563,101588,61367,N
31,V11,1421,504,154889,54936,N
31,V10,1296,430,141264,46870,N
31,V9,730,563,79570,61367,N
31,V8,1198,465,130582,50685,N
31,V6,1055,475,114995,51775,N
31,V4,732,424,79788,46216,N
32,V40,557,500,60713,54500,N
32,V16,734,481,80006,52429,N
32,V15,1550,578,168950,63002,N
32,V14,1278,524,139302,57116,N
32,V13,1113,535,121317,58315,N
32,V12,933,563,101697,61367,N
32,V11,1421,504,154889,54936,N
32,V10,1296,430,141264,46870,N
32,V9,729,563,79461,61367,N
32,V8,1198,464,130582,50576,N
32,V4,731,424,79679,46216,N
33,V52,758,215,82622,23435,S
33,V40,549,515,59841,56135,N
33,V16,736,481,80224,52429,N
33,V15,1551,577,169059,62893,N
33,V14,1280,524,139520,57116,N
33,V13,1114,536,121426,58424,N
33,V12,934,563,101806,61367,N
33,V11,1421,505,154889,55045,N
33,V10,1296,431,141264,46979,N
33,V9,728,564,79352,61476,N
33,V8,1198,464,130582,50576,N
33,V4,732,424,79788,46216,N
34,V52,759,219,82731,23871,S
34,V40,542,529,59078,57661,N
34,V16,734,481,80006,52429,N
34,V15,1551,576,169059,62784,N
34,V14,1279,524,139411,57116,N
34,V13,1112,537,121208,58533,N
34,V12,934,563,101806,61367,N
34,V11,1420,505,154780,55045,N
34,V10,1296,430,141264,46870,N
34,V9,728,566,79352,61694,N
34,V8,1198,465,130582,50685,N
34,V6,1054,477,114886,51993,N
34,V4,731,424,79679,46216,N
35,V52,761,222,82949,24198,S
35,V40,540,536,58860,58424,N
35,V16,733,481,79897,52429,N
35,V15,1549,577,168841,62893,N
35,V14,1278,524,139302,57116,N
35,V13,1112,537,121208,58533,N
35,V12,933,563,101697,61367,N
35,V11,1420,505,154780,55045,N
35,V10,1296,430,141264,46870,N
35,V9,729,565,79461,61585,N
35,V8,1199,465,130691,50685,N
35,V6,1054,476,114886,51884,N
35,V4,731,424,79679,46216,N
36,V40,537,542,58533,59078,N
36,V16,733,481,79897,52429,N
36,V15,1550,576,168950,62784,N
36,V14,1278,523,139302,57007,N
36,V13,1113,537,121317,58533,N
36,V12,934,562,101806,61258,N
36,V11,1421,505,154889,55045,N
36,V10,1294,430,141046,46870,N
36,V9,728,566,79352,61694,N
36,V8,1197,463,130473,50467,N
36,V6,1055,473,114995,51557,N
36,V4,731,425,79679,46325,N
37,V40,533,545,58097,59405,N
37,V16,732,481,79788,52429,N
37,V15,1549,576,168841,62784,N
37,V14,1279,523,139411,57007,N
37,V13,1112,536,121208,58424,N
37,V12,934,563,101806,61367,N
37,V11,1421,505,154889,55045,N
37,V10,1295,430,141155,46870,N
37,V9,727,565,79243,61585,N
37,V8,1196,463,130364,50467,N
37,V6,1055,472,114995,51448,N
37,V4,732,424,79788,46216,N
38,V40,534,546,58206,59514,N
38,V16,733,482,79897,52538,N
