frame_num,id,d2x,d2y,rx,ry,heading
0,V5,490,398,48510,39402,N
0,V4,1226,444,121374,43956,N
0,V3,591,209,58509,20691,S
0,V2,477,216,47223,21384,S
0,V1,504,204,49896,20196,S
1,V8,660,368,65340,36432,N
1,V7,897,105,88803,10395,S
1,V6,405,209,40095,20691,S
1,V3,592,207,58608,20493,S
1,V2,475,217,47025,21483,S
1,V1,506,203,50094,20097,S
2,V3,592,209,58608,20691,S
2,V1,505,203,49995,20097,S
3,V6,390,214,38610,21186,S
4,V6,380,223,37620,22077,S
5,V6,375,227,37125,22473,S
11,V6,309,256,30591,25344,S
12,V15,997,155,98703,15345,S
12,V6,296,260,29304,25740,S
13,V15,989,147,97911,14553,S
13,V6,287,264,28413,26136,S
14,V15,983,139,97317,13761,S
14,V6,276,267,27324,26433,S
14,V1,509,204,50391,20196,S
15,V15,975,130,96525,12870,S
15,V6,265,271,26235,26829,S
15,V1,511,201,50589,19899,S
16,V15,968,124,95832,12276,S
16,V14,474,215,46926,21285,S
16,V6,254,272,25146,26928,S
17,V15,962,117,95238,11583,S
17,V14,473,214,46827,21186,S
17,V6,246,275,24354,27225,S
17,V3,591,209,58509,20691,S
18,V26,934,231,92466,22869,S
18,V15,954,111,94446,10989,S
18,V6,240,277,23760,27423,S
18,V3,591,209,58509,20691,S
18,V1,508,199,50292,19701,S
19,V26,951,214,94149,21186,S
19,V15,946,103,93654,10197,S
19,V6,238,277,23562,27423,S
19,V1,508,201,50292,19899,S
20,V26,962,198,95238,19602,S
20,V15,940,92,93060,9108,S
20,V6,237,279,23463,27621,S
20,V1,510,201,50490,19899,S
21,V26,971,183,96129,18117,S
21,V15,936,86,92664,8514,S
21,V6,233,280,23067,27720,S
21,V1,511,201,50589,19899,S
22,V26,974,170,96426,16830,S
22,V6,233,279,23067,27621,S
23,V30,1001,226,99099,22374,S
23,V6,234,280,23166,27720,S
24,V30,1034,211,102366,20889,S
24,V6,233,282,23067,27918,S
24,V1,509,204,50391,20196,S
25,V31,962,146,95238,14454,S
25,V30,1063,200,105237,19800,S
25,V6,229,281,22671,27819,S
25,V1,508,203,50292,20097,S
26,V30,1085,190,107415,18810,S
26,V6,229,280,22671,27720,S
26,V1,508,204,50292,20196,S
27,V33,463,183,45837,18117,S
27,V30,1101,182,108999,18018,S
27,V29,859,254,85041,25146,S
27,V6,232,279,22968,27621,S
27,V1,508,204,50292,20196,S
28,V33,454,184,44946,18216,S
28,V31,952,120,94248,11880,S
