frame_num,id,d2x,d2y,rx,ry,heading
0,V6,442,935,33150,70125,
0,V5,1404,577,105300,43275,
0,V4,549,499,41175,37425,
0,V3,822,510,61650,38250,
0,V2,402,483,30150,36225,
0,V1,35,573,2625,42975,
1,V5,1403,577,105225,43275,
1,V3,819,511,61425,38325,
1,V2,361,494,27075,37050,
2,V2,293,507,21975,38025,
4,V6,932,962,69900,72150,
4,V5,1403,578,105225,43350,
7,V10,372,412,27900,30900,
7,V5,1404,577,105300,43275,
8,V10,369,424,27675,31800,
8,V6,1576,949,118200,71175,
9,V10,349,437,26175,32775,
10,V10,331,453,24825,33975,
11,V10,311,470,23325,35250,
11,V5,1403,576,105225,43200,
11,V3,818,509,61350,38175,
13,V25,1283,244,96225,18300,
14,V25,1253,232,93975,17400,
14,V5,1405,576,105375,43200,
15,V26,1343,979,100725,73425,
15,V25,1228,224,92100,16800,
15,V24,616,363,46200,27225,
16,V25,1202,212,90150,15900,
16,V24,617,364,46275,27300,
16,V22,376,972,28200,72900,
17,V25,1183,204,88725,15300,
17,V5,1403,576,105225,43200,
18,V25,1161,196,87075,14700,
18,V5,1403,576,105225,43200,
19,V25,1146,188,85950,14100,
19,V5,1404,576,105300,43200,
20,V5,1403,576,105225,43200,
24,V27,627,385,47025,28875,
25,V35,1414,255,106050,19125,
26,V35,1377,243,103275,18225,
27,V35,1342,230,100650,17250,
28,V35,1313,218,98475,16350,
28,V27,628,385,47100,28875,
28,V5,1404,577,105300,43275,
29,V35,1279,207,95925,15525,
29,V27,625,386,46875,28950,
29,V5,1404,576,105300,43200,
30,V35,1252,200,93900,15000,
30,V27,625,385,46875,28875,
30,V5,1405,576,105375,43200,
31,V35,1221,193,91575,14475,
31,V27,626,384,46950,28800,
31,V5,1404,577,105300,43275,
34,V27,625,385,46875,28875,
37,V27,625,384,46875,28800,
38,V27,627,384,47025,28800,
39,V27,627,383,47025,28725,
40,V27,625,383,46875,28725,
40,V5,1401,575,105075,43125,
46,V27,627,385,47025,28875,
47,V43,1846,686,138450,51450,
47,V27,626,384,46950,28800,
48,V48,1389,301,104175,22575,
48,V43,1839,631,137925,47325,
48,V27,627,383,47025,28725,
55,V55,1466,338,109950,25350,
55,V48,1235,223,92625,16725,
56,V56,1313,257,98475,19275,
56,V55,1437,319,107775,23925,
56,V27,630,387,47250,29025,
57,V27,627,391,47025,29325,
58,V48,1191,199,89325,14925,
58,V27,623,393,46725,29475,
59,V56,1258,229,94350,17175,
59,V55,1356,274,101700,20550,
59,V48,1180,194,88500,14550,
60,V62,1405,304,105375,22800,
60,V61,1271,305,95325,22875,
60,V56,1241,218,93075,16350,
60,V55,1329,266,99675,19950,
60,V51,1574,412,118050,30900,
60,V48,1168,190,87600,14250,
61,V62,1381,291,103575,21825,
61,V56,1227,212,92025,15900,
61,V55,1308,258,98100,19350,
61,V51,1550,391,116250,29325,
61,V48,1158,187,86850,14025,
62,V64,1428,311,107100,23325,
62,V62,1353,283,101475,21225,
62,V55,1287,245,96525,18375,
62,V51,1515,370,113625,27750,
62,V48,1148,182,86100,13650,
63,V64,1398,296,104850,22200,
63,V62,1328,272,99600,20400,
63,V61,1199,264,89925,19800,
63,V51,1482,351,111150,26325,
64,V64,1370,287,102750,21525,
64,V62,1310,263,98250,19725,
64,V51,1450,334,108750,25050,
65,V64,1344,277,100800,20775,
65,V51,1420,318,106500,23850,
70,V83,1348,350,101100,26250,
70,V82,1449,310,108675,23250,
70,V70,1407,577,105525,43275,
71,V85,323,453,24225,33975,
71,V83,1309,321,98175,24075,
71,V82,1409,298,105675,22350,
71,V70,1402,575,105150,43125,
77,V91,1257,274,94275,20550,
77,V90,1150,234,86250,17550,
78,V91,1239,259,92925,19425,
78,V90,1125,220,84375,16500,
79,V91,1224,245,91800,18375,
80,V91,1212,231,90900,17325,
81,V91,1198,218,89850,16350,
81,V70,1407,578,105525,43350,
85,V94,467,322,35025,24150,
86,V98,1263,229,94725,17175,
86,V94,463,327,34725,24525,
87,V98,1245,225,93375,16875,
88,V98,1222,215,91650,16125,
89,V98,1206,205,90450,15375,
93,V94,370,425,27750,31875,
96,V104,1413,254,105975,19050,
102,V113,1223,269,91725,20175,
