frame_num,id,d2x,d2y,rx,ry,heading
0,V12,859,387,19757,8901,
0,V11,617,395,14191,9085,
0,V10,1127,393,25921,9039,
0,V9,688,291,15824,6693,
0,V8,1699,330,39077,7590,
0,V7,765,72,17595,1656,
0,V6,1024,152,23552,3496,
0,V5,1079,279,24817,6417,
0,V4,848,269,19504,6187,
0,V3,1046,213,24058,4899,
0,V2,1022,137,23506,3151,
0,V1,1847,605,42481,13915,
1,V14,1698,434,39054,9982,
1,V13,1583,252,36409,5796,
1,V12,861,386,19803,8878,
1,V11,616,396,14168,9108,
1,V10,1126,393,25898,9039,
1,V9,687,294,15801,6762,
1,V7,759,93,17457,2139,
1,V6,1022,152,23506,3496,
1,V5,1081,280,24863,6440,
1,V4,850,268,19550,6164,
1,V3,1045,211,24035,4853,
1,V2,1021,138,23483,3174,
2,V12,860,386,19780,8878,
2,V11,616,394,14168,9062,
2,V10,1127,393,25921,9039,
2,V9,688,291,15824,6693,
2,V7,752,121,17296,2783,
2,V6,1021,150,23483,3450,
2,V5,1080,280,24840,6440,
2,V4,850,268,19550,6164,
2,V3,1046,212,24058,4876,
3,V12,860,385,19780,8855,
3,V11,618,395,14214,9085,
3,V10,1125,393,25875,9039,
3,V9,690,290,15870,6670,
3,V7,739,148,16997,3404,
3,V6,1021,150,23483,3450,
3,V5,1080,280,24840,6440,
3,V4,848,268,19504,6164,
3,V3,1046,213,24058,4899,
4,V12,860,385,19780,8855,
4,V11,618,395,14214,9085,
4,V10,1125,393,25875,9039,
4,V9,690,290,15870,6670,
4,V7,721,173,16583,3979,
4,V6,1022,150,23506,3450,
4,V5,1081,280,24863,6440,
4,V4,844,267,19412,6141,
4,V3,1045,212,24035,4876,
5,V12,861,378,19803,8694,
5,V11,617,395,14191,9085,
5,V10,1125,393,25875,9039,
5,V9,690,299,15870,6877,
5,V7,691,195,15893,4485,
5,V6,1022,150,23506,3450,
5,V5,1081,279,24863,6417,
5,V4,844,269,19412,6187,
5,V3,1045,212,24035,4876,
5,V2,1021,138,23483,3174,
6,V12,860,375,19780,8625,
6,V11,617,395,14191,9085,
6,V10,1126,392,25898,9016,
6,V9,691,302,15893,6946,
6,V6,1022,151,23506,3473,
6,V5,1081,280,24863,6440,
6,V4,845,268,19435,6164,
6,V3,1046,211,24058,4853,
6,V2,1021,139,23483,3197,
7,V12,861,381,19803,8763,
7,V11,618,396,14214,9108,
7,V10,1126,395,25898,9085,
7,V9,692,301,15916,6923,
7,V6,1021,150,23483,3450,
7,V5,1080,279,24840,6417,
7,V4,847,268,19481,6164,
7,V3,1047,211,24081,4853,
8,V12,860,377,19780,8671,
8,V11,611,402,14053,9246,
8,V10,1124,398,25852,9154,
8,V9,688,297,15824,6831,
8,V6,1023,149,23529,3427,
8,V5,1081,280,24863,6440,
8,V4,847,269,19481,6187,
8,V3,1046,211,24058,4853,
9,V12,860,383,19780,8809,
9,V11,600,413,13800,9499,
9,V10,1132,407,26036,9361,
9,V9,688,293,15824,6739,
9,V6,1022,149,23506,3427,
9,V5,1081,284,24863,6532,
9,V4,846,267,19458,6141,
9,V3,1047,212,24081,4876,
10,V12,861,386,19803,8878,
10,V11,588,429,13524,9867,
10,V10,1136,414,26128,9522,
10,V9,687,300,15801,6900,
10,V6,1023,150,23529,3450,
10,V4,844,266,19412,6118,
10,V3,1045,212,24035,4876,
11,V15,1078,301,24794,6923,
11,V12,861,393,19803,9039,
11,V11,578,458,13294,10534,
11,V10,1145,441,26335,10143,
11,V9,688,305,15824,7015,
11,V6,1023,150,23529,3450,
11,V4,844,265,19412,6095,
11,V3,1046,212,24058,4876,
11,V2,1021,138,23483,3174,
12,V19,873,30,20079,690,
12,V16,867,195,19941,4485,
12,V15,1078,306,24794,7038,
12,V12,860,404,19780,9292,
12,V11,549,508,12627,11684,
12,V9,680,320,15640,7360,
12,V6,1021,146,23483,3358,
12,V4,842,270,19366,6210,
