hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
1200,06
600,07
0,08
800,09
1500,10
20300,11
48700,12
58100,13
44800,14
40400,15
30900,16
14900,17
1200,18
0,19
0,20
0,21
0,22
