hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
700,06
1000,07
5700,08
6600,09
2800,10
600,11
2300,12
7300,13
9600,14
6100,15
4500,16
700,17
200,18
0,19
0,20
0,21
0,22
