hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
400,07
400,08
1700,09
5500,10
5200,11
6000,12
3700,13
5500,14
2500,15
2300,16
2000,17
500,18
0,19
0,20
0,21
0,22
