hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
400,06
2100,07
2500,08
1800,09
1600,10
7300,11
14300,12
13700,13
13400,14
7300,15
4100,16
1300,17
200,18
0,19
0,20
0,21
0,22
