hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
1200,06
8200,07
12100,08
19300,09
16900,10
20900,11
17900,12
7300,13
6500,14
5100,15
3200,16
3500,17
1200,18
0,19
0,20
0,21
0,22
