hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
100,06
1900,07
4800,08
12400,09
20100,10
30700,11
48200,12
23400,13
18400,14
12800,15
3900,16
6200,17
3500,18
0,19
0,20
0,21
0,22
