hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
1700,06
6500,07
6100,08
19200,09
18700,10
18200,11
27200,12
54100,13
49400,14
32600,15
30600,16
15800,17
2000,18
100,19
0,20
0,21
0,22
