hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
1600,06
6600,07
21900,08
21500,09
25700,10
15000,11
29300,12
28300,13
32300,14
26100,15
29600,16
13400,17
3400,18
0,19
0,20
0,21
0,22
