hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
0,06
2000,07
5600,08
6700,09
7100,10
11300,11
10700,12
6800,13
7200,14
11700,15
6600,16
5700,17
700,18
0,19
0,20
0,21
0,22
