hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
800,06
4000,07
9300,08
11900,09
12700,10
21400,11
28100,12
22700,13
11700,14
17000,15
6600,16
6600,17
600,18
0,19
0,20
0,21
0,22
