hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
2800,06
13600,07
33700,08
42400,09
30200,10
42500,11
62400,12
37700,13
33000,14
42900,15
33400,16
12900,17
2200,18
0,19
0,20
0,21
0,22
