hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
1400,06
12100,07
37400,08
49100,09
65600,10
71900,11
66600,12
69800,13
62200,14
48600,15
28300,16
9600,17
400,18
0,19
0,20
0,21
0,22
