hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
800,06
8300,07
23200,08
34800,09
36500,10
33700,11
41400,12
40200,13
30400,14
31500,15
13800,16
7500,17
500,18
0,19
0,20
0,21
0,22
