hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
400,06
1000,07
8000,08
12100,09
9500,10
33100,11
25700,12
24500,13
27400,14
18900,15
13200,16
6000,17
1500,18
0,19
0,20
0,21
0,22
