hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
500,06
6600,07
31100,08
46100,09
55700,10
73700,11
74300,12
70700,13
57300,14
49600,15
31200,16
8600,17
500,18
0,19
0,20
0,21
0,22
