hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
2300,06
7200,07
18500,08
29100,09
35800,10
32400,11
21600,12
19900,13
12600,14
14900,15
11800,16
5700,17
300,18
0,19
0,20
0,21
0,22
