hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
900,06
3600,07
9400,08
14800,09
33800,10
58200,11
44200,12
35400,13
17900,14
11700,15
3900,16
2300,17
300,18
0,19
0,20
0,21
0,22
