hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
2500,06
16100,07
32700,08
54000,09
67100,10
65000,11
57800,12
53100,13
46100,14
17600,15
11800,16
7500,17
1600,18
0,19
0,20
0,21
0,22
