hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
2000,06
16000,07
39400,08
51200,09
63900,10
65900,11
71200,12
58800,13
64400,14
53800,15
38600,16
12000,17
2800,18
0,19
0,20
0,21
0,22
