hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
1200,06
12600,07
36000,08
53500,09
58800,10
71900,11
72900,12
63400,13
53800,14
49700,15
18700,16
8700,17
500,18
0,19
0,20
0,21
0,22
