hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
2800,06
9600,07
21100,08
25400,09
43200,10
50900,11
53900,12
59800,13
32000,14
42300,15
29600,16
8500,17
2300,18
0,19
0,20
0,21
0,22
