hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
1500,06
16300,07
22300,08
23500,09
37900,10
38000,11
35300,12
39400,13
44500,14
28100,15
18300,16
7700,17
1200,18
0,19
0,20
0,21
0,22
