hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
1200,06
13700,07
32400,08
51100,09
63400,10
70400,11
59700,12
68600,13
60400,14
28500,15
20800,16
10200,17
600,18
0,19
0,20
0,21
0,22
