hrPow,logHr
0,00
0,01
0,02
0,03
0,04
0,05
500,06
3600,07
23900,08
49100,09
22000,10
29900,11
21900,12
37300,13
16200,14
9900,15
4900,16
5000,17
700,18
0,19
0,20
0,21
0,22
