Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
113000,1.3032892,0.69106966,None,None,None,1.0
114000,1.4063072,0.691362,None,None,None,1.0
115000,1.4419484,0.6837063,None,None,None,1.0
116000,1.4961135,0.6877794,None,None,None,1.0
117000,1.5224264,0.69121087,None,None,None,1.0
118000,1.5266193,0.6881129,None,None,None,1.0
119000,1.4893943,0.68664086,None,None,None,1.0
120000,1.464933,0.68651116,None,None,None,1.0
121000,1.4557706,0.6862369,None,None,None,1.0
122000,1.4582001,0.69139415,7387.0,None,None,1.0
123000,1.4595809,0.6910226,None,184.26998895406723,184.26998895406723,1.0
124000,1.548022,0.69034296,None,None,None,1.0
125000,1.5682938,0.68952376,None,None,None,1.0
126000,1.5392108,0.6893176,1002.0,None,None,1.0
127000,1.5414306,0.69077694,None,25.054998517036438,25.054998517036438,1.0
128000,1.5538319,0.6901547,None,None,None,1.0
129000,1.6063504,0.68905246,None,None,None,1.0
130000,1.6313449,0.6874138,None,None,None,1.0
131000,1.5314842,0.6885166,None,None,None,1.0
132000,1.4702203,0.6906979,None,None,None,1.0
133000,1.4835912,0.6899602,None,None,None,1.0
134000,1.5510693,0.686776,None,None,None,1.0
135000,1.6619527,0.6856866,None,None,None,1.0
136000,1.6901658,0.6885261,None,None,None,1.0
137000,1.6790683,0.6896608,None,None,None,1.0
138000,1.6574314,0.68982506,None,None,None,1.0
139000,1.6226627,0.6904716,None,None,None,1.0
140000,1.6262796,0.6918501,None,None,None,1.0
141000,1.6416332,0.6856911,None,None,None,1.0
142000,1.6559256,0.6862108,None,None,None,1.0
143000,1.6506449,0.68560916,None,None,None,1.0
144000,1.6160172,0.6890541,None,None,None,1.0
145000,1.6765696,0.6877937,None,None,None,1.0
146000,1.7206738,0.69126314,None,None,None,1.0
147000,1.733216,0.6885575,None,None,None,1.0
148000,1.7195356,0.6875532,19560.0,470.29497180879116,470.29497180879116,1.0
149000,1.7352313,0.6883465,None,None,None,1.0
150000,1.704158,0.69030213,None,None,None,1.0
151000,1.7266147,0.6881058,None,None,None,1.0
152000,1.7498704,0.6894616,None,None,None,1.0
153000,1.7605554,0.689063,None,None,None,1.0
154000,1.7390077,0.6905961,None,None,None,1.0
155000,1.7759012,0.68809783,None,None,None,1.0
156000,1.8238492,0.6911783,15373.0,379.044977709651,379.044977709651,1.0
157000,1.8567041,0.69120175,None,None,None,1.0
158000,1.8261573,0.6910755,None,None,None,1.0
159000,1.7891104,0.6898936,721.0,18.049998939037323,18.049998939037323,1.0
160000,1.7703898,0.6902473,None,None,None,1.0
161000,1.7824585,0.69005513,3181.0,76.8149952813983,76.8149952813983,1.0
162000,1.8243208,0.68834037,None,None,None,1.0
163000,1.880529,0.684989,None,None,None,1.0
164000,1.8528903,0.6819912,None,None,None,1.0
165000,1.8044599,0.6876789,None,None,None,1.0
166000,1.8760626,0.689608,None,None,None,1.0
167000,1.918441,0.6886105,None,None,None,1.0
168000,1.8923304,0.6900134,None,None,None,1.0
169000,1.8684269,0.6881751,None,None,None,1.0
170000,1.9312083,0.68873394,None,None,None,1.0
171000,1.9505807,0.68959606,None,None,None,1.0
172000,1.8678411,0.6880654,None,None,None,1.0
173000,1.8621979,0.68946546,None,None,None,1.0
174000,1.8650177,0.6895495,None,None,None,1.0
175000,1.9119769,0.6863696,4042.0,97.52499420940876,97.52499420940876,1.0
176000,1.9359405,0.6869274,None,None,None,1.0
177000,1.9228365,0.6820581,413.0,10.194999277591705,10.194999277591705,1.0
178000,2.0191412,0.69010353,None,None,None,1.0
179000,2.0398822,0.6907615,627.0,15.689998984336853,15.689998984336853,1.0
180000,2.0034578,0.6870019,26033.0,637.6549621373415,637.6549621373415,1.0
181000,2.0044389,0.68967336,None,None,None,1.0
182000,1.9486344,0.6912235,5231.0,126.53999252617359,126.53999252617359,1.0
183000,1.9402112,0.68792325,14075.0,349.8349787592888,349.8349787592888,1.0
184000,1.9082946,0.687886,None,None,None,1.0
185000,1.9480768,0.6844944,535.0,13.389999151229858,13.389999151229858,1.0
186000,2.0349138,0.68670547,None,None,None,1.0
187000,1.9966047,0.6856068,None,None,None,1.0
188000,2.0464354,0.6873131,None,None,None,1.0
189000,2.0409904,0.6894497,None,None,None,1.0
190000,1.9816322,0.6852377,None,None,None,1.0
191000,1.9737941,0.6883706,None,None,None,1.0
192000,2.0028903,0.6870262,2443.0,61.0949963927269,61.0949963927269,1.0
193000,1.9945676,0.6887319,None,None,None,1.0
194000,1.9860742,0.68686795,None,None,None,1.0
195000,1.9925666,0.69118106,None,None,None,1.0
196000,2.0583446,0.6846863,None,None,None,1.0
197000,2.1226676,0.6821281,None,None,None,1.0
198000,2.1374497,0.68863416,None,None,None,1.0
199000,2.0825691,0.68816197,1741.0,43.549997448921204,43.549997448921204,1.0
200000,2.084516,0.6901318,None,None,None,1.0
201000,2.1401608,0.68812984,None,None,None,1.0
202000,2.1357884,0.68681735,None,None,None,1.0
203000,2.0834782,0.6880749,None,None,None,1.0
204000,2.0777783,0.6833095,None,None,None,1.0
205000,2.1003582,0.684399,None,None,None,1.0
206000,2.167802,0.68823856,None,None,None,1.0
207000,2.1478698,0.6872429,None,None,None,1.0
208000,2.0856173,0.6898647,None,None,None,1.0
209000,2.1001222,0.6838659,None,None,None,1.0
210000,2.1452715,0.68765265,None,None,None,1.0
211000,2.165356,0.6897113,None,None,None,1.0
212000,2.148282,0.6885202,None,None,None,1.0
213000,2.156198,0.6832321,None,None,None,1.0
214000,2.1831791,0.68817735,None,None,None,1.0
215000,2.1817331,0.69088626,None,None,None,1.0
216000,2.1831677,0.68562233,None,None,None,1.0
217000,2.1878636,0.68207204,None,None,None,1.0
218000,2.173496,0.6842925,6562.5,161.86499043554068,161.86499043554068,1.0
219000,2.1679199,0.6818667,183.0,4.599999666213989,4.599999666213989,1.0
220000,2.1616278,0.6883539,None,None,None,1.0
221000,2.149321,0.6816903,10503.0,260.54498451948166,260.54498451948166,1.0
222000,2.1612613,0.6904186,None,None,None,1.0
223000,2.1809845,0.68266207,None,None,None,1.0
224000,2.2426896,0.6865208,None,None,None,1.0
225000,2.2124257,0.68265116,965.0,24.14999856054783,24.14999856054783,1.0
226000,2.1834373,0.6831984,None,None,None,1.0
227000,2.2281508,0.6833281,None,None,None,1.0
228000,2.184694,0.6900614,None,None,None,1.0
229000,2.2034094,0.6853404,None,None,None,1.0
230000,2.2447567,0.687493,12519.0,312.7099813222885,312.7099813222885,1.0
231000,2.2276785,0.68635446,None,None,None,1.0
232000,2.2139037,0.68744385,None,None,None,1.0
233000,2.2251914,0.69020486,None,None,None,1.0
234000,2.2404628,0.687363,None,None,None,1.0
235000,2.2127151,0.6863638,None,None,None,1.0
236000,2.2268112,0.68694955,None,None,None,1.0
237000,2.267141,0.6808896,None,None,None,1.0
238000,2.2767253,0.68842113,None,None,None,1.0
239000,2.2629762,0.6822337,2211.0,55.29499661922455,55.29499661922455,1.0
240000,2.2416,0.6825671,None,None,None,1.0
241000,2.2727032,0.68664896,None,None,None,1.0
242000,2.2732575,0.68469095,None,None,None,1.0
243000,2.2466388,0.68681216,None,None,None,1.0
244000,2.2474995,0.68768424,None,None,None,1.0
245000,2.2715964,0.6869437,None,None,None,1.0
246000,2.2403893,0.6878789,1843.0,45.94999706745148,45.94999706745148,1.0
247000,2.2047164,0.6895707,None,None,None,1.0
248000,2.2155702,0.6899151,5792.0,144.2049913406372,144.2049913406372,1.0
249000,2.259552,0.6901656,None,None,None,1.0
250000,2.2676706,0.6863707,None,None,None,1.0
251000,2.2768333,0.68880343,None,None,None,1.0
252000,2.2840555,0.68850696,None,None,None,1.0
253000,2.2902527,0.6878725,8560.0,213.5149872303009,213.5149872303009,1.0
254000,2.2972994,0.6893256,None,None,None,1.0
255000,2.290209,0.6895537,None,None,None,1.0
256000,2.2847333,0.68851763,None,None,None,1.0
257000,2.2880602,0.68750226,2832.0,None,None,1.0
258000,2.2837555,0.6889708,None,70.80499577522278,70.80499577522278,1.0
259000,2.29963,0.686932,2663.0,64.35499614477158,64.35499614477158,1.0
260000,2.3062851,0.6864954,None,None,None,1.0
261000,2.2982593,0.69004995,10843.0,271.0449838042259,271.0449838042259,1.0
262000,2.3496466,0.68644893,None,None,None,1.0
263000,2.3546247,0.6813365,None,None,None,1.0
264000,2.321052,0.6885202,None,None,None,1.0
265000,2.29686,0.68674725,None,None,None,1.0
266000,2.307055,0.6873399,None,None,None,1.0
267000,2.309825,0.68892944,None,None,None,1.0
268000,2.2716126,0.68893385,None,None,None,1.0
269000,2.288067,0.6819901,None,None,None,1.0
270000,2.3138893,0.68544185,None,None,None,1.0
271000,2.2963703,0.6860018,None,None,None,1.0
272000,2.2679775,0.6905013,None,None,None,1.0
273000,2.249474,0.6877376,None,None,None,1.0
274000,2.2900486,0.68197423,4191.0,89.80499466508627,89.80499466508627,1.0
275000,2.3071818,0.6889659,None,None,None,1.0
276000,2.263575,0.6851227,None,None,None,1.0
277000,2.2581453,0.6834774,731.0,18.289998829364777,18.289998829364777,1.0
278000,2.3197665,0.6816564,None,None,None,1.0
279000,2.3474126,0.6882849,None,None,None,1.0
280000,2.3278465,0.68462026,None,None,None,1.0
281000,2.2933557,0.6897823,None,None,None,1.0
282000,2.3031054,0.6883923,5119.0,119.58999274671078,119.58999274671078,1.0
283000,2.3149805,0.68884635,6071.0,144.89999133348465,144.89999133348465,1.0
284000,2.3076832,0.68884,None,None,None,1.0
285000,2.3145885,0.6882918,357.0,8.94499933719635,8.94499933719635,1.0
286000,2.2944093,0.6837882,None,None,None,1.0
287000,2.2782288,0.68969595,8389.0,183.9449888020754,183.9449888020754,1.0
288000,2.2999294,0.6842131,None,None,None,1.0
289000,2.3268356,0.6863047,None,None,None,1.0
290000,2.3123045,0.68777823,None,None,None,1.0
291000,2.331175,0.6861662,1737.0,43.449997425079346,43.449997425079346,1.0
292000,2.32565,0.68621165,None,None,None,1.0
293000,2.3020139,0.6884977,None,None,None,1.0
294000,2.3211038,0.68689644,None,None,None,1.0
295000,2.339165,0.68752587,None,None,None,1.0
296000,2.3152053,0.69053316,None,None,None,1.0
297000,2.319192,0.68728906,None,None,None,1.0
298000,2.3146245,0.6849375,None,None,None,1.0
299000,2.3377323,0.68481934,4177.0,104.44499379396439,104.44499379396439,1.0
300000,2.365822,0.68719316,None,None,None,1.0
301000,2.332923,0.6867457,None,None,None,1.0
302000,2.3074937,0.6894643,None,None,None,1.0
303000,2.2885005,0.6765507,None,None,None,1.0
304000,2.3184075,0.6865119,None,None,None,1.0
305000,2.3377097,0.68816805,None,None,None,1.0
306000,2.313859,0.6802928,None,None,None,1.0
307000,2.3344152,0.68736035,None,None,None,1.0
308000,2.351092,0.68959635,None,None,None,1.0
309000,2.373991,0.685165,8047.0,200.4549880027771,200.4549880027771,1.0
310000,2.394845,0.68689185,None,None,None,1.0
311000,2.3867402,0.6866705,None,None,None,1.0
312000,2.3714983,0.69072354,None,None,None,1.0
313000,2.3714442,0.6887692,None,None,None,1.0
314000,2.383637,0.6900573,None,None,None,1.0
315000,2.3849826,0.6895255,None,None,None,1.0
316000,2.373377,0.6844418,None,None,None,1.0
317000,2.3832486,0.6868865,None,None,None,1.0
318000,2.3942595,0.6879269,None,None,None,1.0
319000,2.3935785,0.6882864,None,None,None,1.0
320000,2.40322,0.6834053,None,None,None,1.0
321000,2.3944073,0.68694806,None,None,None,1.0
322000,2.363063,0.6856964,None,None,None,1.0
323000,2.3559685,0.6825239,None,None,None,1.0
324000,2.3805292,0.6843739,None,None,None,1.0
325000,2.4099696,0.69115275,None,None,None,1.0
326000,2.4035358,0.68897045,None,None,None,1.0
327000,2.396513,0.6869309,10127.0,249.5899852067232,249.5899852067232,1.0
328000,2.4090908,0.6889986,None,None,None,1.0
329000,2.3996496,0.67893565,None,None,None,1.0
330000,2.3896375,0.6863277,None,None,None,1.0
331000,2.394806,0.6886722,None,None,None,1.0
332000,2.3882859,0.68861055,None,None,None,1.0
333000,2.4018366,0.687051,None,None,None,1.0
334000,2.424912,0.6847197,8797.0,218.2599869966507,218.2599869966507,1.0
335000,2.421524,0.68736553,None,None,None,1.0
336000,2.417774,0.6890595,3586.5,89.3324946463108,89.3324946463108,1.0
337000,2.4042482,0.6898557,None,None,None,1.0
338000,2.4125395,0.6872804,None,None,None,1.0
339000,2.4108863,0.6760699,None,None,None,1.0
340000,2.3947086,0.69007605,None,None,None,1.0
341000,2.415237,0.67965955,12418.0,307.7749814875424,307.7749814875424,1.0
342000,2.4282787,0.6854053,3789.0,93.31499445438385,93.31499445438385,1.0
343000,2.4016213,0.6887965,None,None,None,1.0
344000,2.3982468,0.6867512,None,None,None,1.0
345000,2.401714,0.69045043,None,None,None,1.0
346000,2.413016,0.68229735,None,None,None,1.0
347000,2.4231277,0.6871385,None,None,None,1.0
348000,2.4130096,0.68620324,None,None,None,1.0
349000,2.3993359,0.68467915,3334.0,80.67499502003193,80.67499502003193,1.0
350000,2.3940392,0.6854032,None,None,None,1.0
351000,2.3949547,0.68342817,None,None,None,1.0
352000,2.4252932,0.6876886,None,None,None,1.0
353000,2.423491,0.6903415,None,None,None,1.0
354000,2.4312449,0.6868116,None,None,None,1.0
355000,2.4410534,0.6872528,None,None,None,1.0
356000,2.4258113,0.67989486,None,None,None,1.0
357000,2.4113433,0.685964,None,None,None,1.0
358000,2.4017367,0.6836153,None,None,None,1.0
359000,2.4142113,0.6901869,4181.0,104.54999375343323,104.54999375343323,1.0
360000,2.422351,0.68936306,None,None,None,1.0
361000,2.4177458,0.68897253,None,None,None,1.0
362000,2.424664,0.6861527,None,None,None,1.0
363000,2.4192355,0.68650174,3405.0,85.13499495387077,85.13499495387077,1.0
364000,2.4414392,0.6863518,None,None,None,1.0
365000,2.4406962,0.68472946,None,None,None,1.0
366000,2.4089317,0.68190545,None,None,None,1.0
367000,2.3765922,0.68385315,None,None,None,1.0
368000,2.3786242,0.6884772,None,None,None,1.0
369000,2.3951116,0.68562895,8123.0,201.6149878501892,201.6149878501892,1.0
370000,2.401717,0.68392956,None,None,None,1.0
371000,2.4025393,0.68900514,None,None,None,1.0
372000,2.4194977,0.6887029,921.0,23.039998590946198,23.039998590946198,1.0
373000,2.4088225,0.6870564,None,None,None,1.0
374000,2.404254,0.6888633,None,None,None,1.0
375000,2.4211204,0.69005686,None,None,None,1.0
376000,2.4325478,0.68926924,None,None,None,1.0
377000,2.4225776,0.68910474,1269.0,None,None,1.0
378000,2.4379516,0.6856644,None,31.74499797821045,31.74499797821045,1.0
