범죄대분류,범죄중분류,발생건수,지역
폭력범죄,약취유인,5,광주
폭력범죄,폭력행위등,817,광주
폭력범죄,공갈,118,광주
폭력범죄,손괴,1791,광주
지능범죄,직무유기,22,광주
지능범죄,직권남용,10,광주
지능범죄,증수뢰,10,광주
지능범죄,통화,30,광주
지능범죄,문서인장,455,광주
지능범죄,유가증권인지,3,광주
지능범죄,사기,7669,광주
지능범죄,횡령,1416,광주
지능범죄,배임,109,광주
풍속범죄,성풍속범죄,376,광주
풍속범죄,도박범죄,216,광주
특별경제범죄,특별경제범죄,2535,광주
마약범죄,마약범죄,69,광주
보건범죄,보건범죄,760,광주
환경범죄,환경범죄,8,광주
교통범죄,교통범죄,23412,광주
노동범죄,노동범죄,13,광주
안보범죄,안보범죄,3,광주
선거범죄,선거범죄,9,광주
병역범죄,병역범죄,371,광주
기타범죄,기타범죄,5301,광주
강력범죄,살인기수,8,대전
강력범죄,살인미수등,16,대전
강력범죄,강도,64,대전
강력범죄,강간,181,대전
강력범죄,유사강간,14,대전
강력범죄,강제추행,362,대전
강력범죄,기타강간강제추행등,12,대전
강력범죄,방화,41,대전
절도범죄,절도,9495,대전
폭력범죄,상해,1516,대전
폭력범죄,폭행,4054,대전
폭력범죄,체포감금,36,대전
폭력범죄,협박,286,대전
폭력범죄,약취유인,4,대전
폭력범죄,폭력행위등,1045,대전
폭력범죄,공갈,94,대전
폭력범죄,손괴,1804,대전
지능범죄,직무유기,20,대전
지능범죄,직권남용,14,대전
지능범죄,증수뢰,3,대전
지능범죄,통화,72,대전
지능범죄,문서인장,451,대전
지능범죄,유가증권인지,4,대전
지능범죄,사기,7250,대전
지능범죄,횡령,1216,대전
지능범죄,배임,82,대전
풍속범죄,성풍속범죄,438,대전
풍속범죄,도박범죄,251,대전
특별경제범죄,특별경제범죄,1635,대전
마약범죄,마약범죄,78,대전
보건범죄,보건범죄,204,대전
환경범죄,환경범죄,13,대전
교통범죄,교통범죄,13556,대전
노동범죄,노동범죄,14,대전
안보범죄,안보범죄,4,대전
선거범죄,선거범죄,8,대전
병역범죄,병역범죄,630,대전
기타범죄,기타범죄,4602,대전
강력범죄,살인기수,12,울산
강력범죄,살인미수등,11,울산
강력범죄,강도,29,울산
강력범죄,강간,132,울산
강력범죄,유사강간,10,울산
강력범죄,강제추행,293,울산
강력범죄,기타강간강제추행등,9,울산
강력범죄,방화,36,울산
절도범죄,절도,5449,울산
폭력범죄,상해,1353,울산
폭력범죄,폭행,4213,울산
폭력범죄,체포감금,20,울산
폭력범죄,협박,175,울산
폭력범죄,약취유인,1,울산
폭력범죄,폭력행위등,906,울산
폭력범죄,공갈,79,울산
폭력범죄,손괴,1530,울산
지능범죄,직무유기,10,울산
지능범죄,직권남용,12,울산
지능범죄,증수뢰,0,울산
지능범죄,통화,17,울산
지능범죄,문서인장,346,울산
지능범죄,유가증권인지,3,울산
지능범죄,사기,5606,울산
지능범죄,횡령,794,울산
지능범죄,배임,110,울산
풍속범죄,성풍속범죄,257,울산
풍속범죄,도박범죄,146,울산
특별경제범죄,특별경제범죄,1289,울산
마약범죄,마약범죄,67,울산
보건범죄,보건범죄,230,울산
환경범죄,환경범죄,53,울산
교통범죄,교통범죄,16600,울산
노동범죄,노동범죄,63,울산
안보범죄,안보범죄,2,울산
선거범죄,선거범죄,15,울산
병역범죄,병역범죄,382,울산
기타범죄,기타범죄,4881,울산
강력범죄,살인기수,2,세종
강력범죄,살인미수등,1,세종
강력범죄,강도,0,세종
강력범죄,강간,3,세종
강력범죄,유사강간,1,세종
강력범죄,강제추행,34,세종
강력범죄,기타강간강제추행등,0,세종
강력범죄,방화,5,세종
절도범죄,절도,638,세종
폭력범죄,상해,117,세종
폭력범죄,폭행,139,세종
폭력범죄,체포감금,3,세종
폭력범죄,협박,29,세종
폭력범죄,약취유인,1,세종
폭력범죄,폭력행위등,71,세종
폭력범죄,공갈,4,세종
폭력범죄,손괴,88,세종
지능범죄,직무유기,16,세종
지능범죄,직권남용,2,세종
지능범죄,증수뢰,1,세종
지능범죄,통화,1,세종
지능범죄,문서인장,36,세종
지능범죄,유가증권인지,2,세종
지능범죄,사기,487,세종
지능범죄,횡령,122,세종
지능범죄,배임,13,세종
풍속범죄,성풍속범죄,22,세종
풍속범죄,도박범죄,7,세종
특별경제범죄,특별경제범죄,187,세종
마약범죄,마약범죄,2,세종
보건범죄,보건범죄,15,세종
환경범죄,환경범죄,2,세종
교통범죄,교통범죄,1056,세종
노동범죄,노동범죄,0,세종
안보범죄,안보범죄,0,세종
선거범죄,선거범죄,5,세종
병역범죄,병역범죄,86,세종
기타범죄,기타범죄,462,세종
강력범죄,살인기수,8,경기 고양
강력범죄,살인미수등,9,경기 고양
강력범죄,강도,14,경기 고양
강력범죄,강간,73,경기 고양
강력범죄,유사강간,9,경기 고양
강력범죄,강제추행,256,경기 고양
강력범죄,기타강간강제추행등,7,경기 고양
강력범죄,방화,40,경기 고양
절도범죄,절도,3287,경기 고양
폭력범죄,상해,490,경기 고양
폭력범죄,폭행,2268,경기 고양
폭력범죄,체포감금,15,경기 고양
폭력범죄,협박,170,경기 고양
폭력범죄,약취유인,3,경기 고양
폭력범죄,폭력행위등,462,경기 고양
폭력범죄,공갈,34,경기 고양
폭력범죄,손괴,806,경기 고양
지능범죄,직무유기,10,경기 고양
지능범죄,직권남용,7,경기 고양
지능범죄,증수뢰,2,경기 고양
지능범죄,통화,36,경기 고양
지능범죄,문서인장,219,경기 고양
지능범죄,유가증권인지,12,경기 고양
지능범죄,사기,3861,경기 고양
지능범죄,횡령,1218,경기 고양
지능범죄,배임,76,경기 고양
풍속범죄,성풍속범죄,288,경기 고양
풍속범죄,도박범죄,108,경기 고양
특별경제범죄,특별경제범죄,1278,경기 고양
마약범죄,마약범죄,82,경기 고양
보건범죄,보건범죄,223,경기 고양
환경범죄,환경범죄,30,경기 고양
교통범죄,교통범죄,11926,경기 고양
노동범죄,노동범죄,13,경기 고양
안보범죄,안보범죄,1,경기 고양
선거범죄,선거범죄,4,경기 고양
병역범죄,병역범죄,360,경기 고양
기타범죄,기타범죄,3473,경기 고양
강력범죄,살인기수,2,경기 과천
강력범죄,살인미수등,0,경기 과천
강력범죄,강도,0,경기 과천
강력범죄,강간,0,경기 과천
강력범죄,유사강간,0,경기 과천
강력범죄,강제추행,20,경기 과천
강력범죄,기타강간강제추행등,0,경기 과천
강력범죄,방화,1,경기 과천
절도범죄,절도,170,경기 과천
폭력범죄,상해,22,경기 과천
폭력범죄,폭행,118,경기 과천
폭력범죄,체포감금,1,경기 과천
폭력범죄,협박,9,경기 과천
폭력범죄,약취유인,0,경기 과천
폭력범죄,폭력행위등,10,경기 과천
폭력범죄,공갈,1,경기 과천
폭력범죄,손괴,54,경기 과천
지능범죄,직무유기,1,경기 과천
지능범죄,직권남용,0,경기 과천
지능범죄,증수뢰,2,경기 과천
지능범죄,통화,6,경기 과천
지능범죄,문서인장,17,경기 과천
지능범죄,유가증권인지,1,경기 과천
지능범죄,사기,168,경기 과천
지능범죄,횡령,79,경기 과천
지능범죄,배임,6,경기 과천
풍속범죄,성풍속범죄,24,경기 과천
풍속범죄,도박범죄,1,경기 과천
특별경제범죄,특별경제범죄,60,경기 과천
마약범죄,마약범죄,4,경기 과천
보건범죄,보건범죄,6,경기 과천
환경범죄,환경범죄,3,경기 과천
교통범죄,교통범죄,720,경기 과천
노동범죄,노동범죄,0,경기 과천
안보범죄,안보범죄,0,경기 과천
선거범죄,선거범죄,1,경기 과천
병역범죄,병역범죄,10,경기 과천
기타범죄,기타범죄,174,경기 과천
강력범죄,살인기수,1,경기 광명
강력범죄,살인미수등,1,경기 광명
강력범죄,강도,4,경기 광명
강력범죄,강간,12,경기 광명
강력범죄,유사강간,0,경기 광명
강력범죄,강제추행,77,경기 광명
강력범죄,기타강간강제추행등,2,경기 광명
강력범죄,방화,6,경기 광명
절도범죄,절도,1234,경기 광명
폭력범죄,상해,147,경기 광명
폭력범죄,폭행,1188,경기 광명
폭력범죄,체포감금,4,경기 광명
폭력범죄,협박,73,경기 광명
폭력범죄,약취유인,0,경기 광명
폭력범죄,폭력행위등,144,경기 광명
폭력범죄,공갈,19,경기 광명
폭력범죄,손괴,332,경기 광명
지능범죄,직무유기,1,경기 광명
지능범죄,직권남용,1,경기 광명
지능범죄,증수뢰,2,경기 광명
