범죄대분류,범죄중분류,발생건수,지역
마약범죄,마약범죄,118,경기 수원
보건범죄,보건범죄,368,경기 수원
환경범죄,환경범죄,25,경기 수원
교통범죄,교통범죄,14715,경기 수원
노동범죄,노동범죄,28,경기 수원
안보범죄,안보범죄,3,경기 수원
선거범죄,선거범죄,2,경기 수원
병역범죄,병역범죄,433,경기 수원
기타범죄,기타범죄,4856,경기 수원
강력범죄,살인기수,9,경기 시흥
강력범죄,살인미수등,6,경기 시흥
강력범죄,강도,14,경기 시흥
강력범죄,강간,36,경기 시흥
강력범죄,유사강간,5,경기 시흥
강력범죄,강제추행,171,경기 시흥
강력범죄,기타강간강제추행등,6,경기 시흥
강력범죄,방화,25,경기 시흥
절도범죄,절도,1791,경기 시흥
폭력범죄,상해,295,경기 시흥
폭력범죄,폭행,1465,경기 시흥
폭력범죄,체포감금,6,경기 시흥
폭력범죄,협박,94,경기 시흥
폭력범죄,약취유인,1,경기 시흥
폭력범죄,폭력행위등,375,경기 시흥
폭력범죄,공갈,33,경기 시흥
폭력범죄,손괴,649,경기 시흥
지능범죄,직무유기,4,경기 시흥
지능범죄,직권남용,3,경기 시흥
지능범죄,증수뢰,17,경기 시흥
지능범죄,통화,15,경기 시흥
지능범죄,문서인장,102,경기 시흥
지능범죄,유가증권인지,7,경기 시흥
지능범죄,사기,2453,경기 시흥
지능범죄,횡령,443,경기 시흥
지능범죄,배임,29,경기 시흥
풍속범죄,성풍속범죄,305,경기 시흥
풍속범죄,도박범죄,89,경기 시흥
특별경제범죄,특별경제범죄,623,경기 시흥
마약범죄,마약범죄,41,경기 시흥
보건범죄,보건범죄,302,경기 시흥
환경범죄,환경범죄,58,경기 시흥
교통범죄,교통범죄,7830,경기 시흥
노동범죄,노동범죄,5,경기 시흥
안보범죄,안보범죄,0,경기 시흥
선거범죄,선거범죄,3,경기 시흥
병역범죄,병역범죄,228,경기 시흥
기타범죄,기타범죄,1961,경기 시흥
강력범죄,살인기수,8,경기 안산
강력범죄,살인미수등,12,경기 안산
강력범죄,강도,42,경기 안산
강력범죄,강간,86,경기 안산
강력범죄,유사강간,2,경기 안산
강력범죄,강제추행,242,경기 안산
강력범죄,기타강간강제추행등,6,경기 안산
강력범죄,방화,30,경기 안산
절도범죄,절도,4154,경기 안산
폭력범죄,상해,694,경기 안산
폭력범죄,폭행,3209,경기 안산
폭력범죄,체포감금,17,경기 안산
폭력범죄,협박,242,경기 안산
폭력범죄,약취유인,1,경기 안산
폭력범죄,폭력행위등,757,경기 안산
폭력범죄,공갈,49,경기 안산
폭력범죄,손괴,1385,경기 안산
지능범죄,직무유기,6,경기 안산
지능범죄,직권남용,4,경기 안산
지능범죄,증수뢰,2,경기 안산
지능범죄,통화,21,경기 안산
지능범죄,문서인장,235,경기 안산
지능범죄,유가증권인지,4,경기 안산
지능범죄,사기,4197,경기 안산
지능범죄,횡령,912,경기 안산
지능범죄,배임,54,경기 안산
풍속범죄,성풍속범죄,491,경기 안산
풍속범죄,도박범죄,131,경기 안산
특별경제범죄,특별경제범죄,1597,경기 안산
마약범죄,마약범죄,71,경기 안산
보건범죄,보건범죄,134,경기 안산
환경범죄,환경범죄,29,경기 안산
교통범죄,교통범죄,11372,경기 안산
노동범죄,노동범죄,26,경기 안산
안보범죄,안보범죄,2,경기 안산
선거범죄,선거범죄,1,경기 안산
병역범죄,병역범죄,332,경기 안산
기타범죄,기타범죄,3293,경기 안산
강력범죄,살인기수,0,경기 안성
강력범죄,살인미수등,2,경기 안성
강력범죄,강도,2,경기 안성
강력범죄,강간,23,경기 안성
강력범죄,유사강간,0,경기 안성
강력범죄,강제추행,42,경기 안성
강력범죄,기타강간강제추행등,3,경기 안성
강력범죄,방화,4,경기 안성
절도범죄,절도,844,경기 안성
폭력범죄,상해,141,경기 안성
폭력범죄,폭행,551,경기 안성
폭력범죄,체포감금,5,경기 안성
폭력범죄,협박,43,경기 안성
폭력범죄,약취유인,2,경기 안성
폭력범죄,폭력행위등,138,경기 안성
폭력범죄,공갈,17,경기 안성
폭력범죄,손괴,229,경기 안성
지능범죄,직무유기,2,경기 안성
지능범죄,직권남용,1,경기 안성
지능범죄,증수뢰,5,경기 안성
지능범죄,통화,5,경기 안성
지능범죄,문서인장,50,경기 안성
지능범죄,유가증권인지,0,경기 안성
지능범죄,사기,722,경기 안성
지능범죄,횡령,160,경기 안성
지능범죄,배임,14,경기 안성
풍속범죄,성풍속범죄,58,경기 안성
풍속범죄,도박범죄,17,경기 안성
특별경제범죄,특별경제범죄,322,경기 안성
마약범죄,마약범죄,92,경기 안성
보건범죄,보건범죄,51,경기 안성
환경범죄,환경범죄,3,경기 안성
교통범죄,교통범죄,2490,경기 안성
노동범죄,노동범죄,3,경기 안성
안보범죄,안보범죄,0,경기 안성
선거범죄,선거범죄,7,경기 안성
병역범죄,병역범죄,101,경기 안성
기타범죄,기타범죄,939,경기 안성
강력범죄,살인기수,2,경기 안양
강력범죄,살인미수등,6,경기 안양
강력범죄,강도,7,경기 안양
강력범죄,강간,52,경기 안양
강력범죄,유사강간,4,경기 안양
강력범죄,강제추행,180,경기 안양
강력범죄,기타강간강제추행등,4,경기 안양
강력범죄,방화,12,경기 안양
절도범죄,절도,2142,경기 안양
폭력범죄,상해,396,경기 안양
폭력범죄,폭행,1720,경기 안양
폭력범죄,체포감금,11,경기 안양
폭력범죄,협박,83,경기 안양
폭력범죄,약취유인,0,경기 안양
폭력범죄,폭력행위등,385,경기 안양
폭력범죄,공갈,37,경기 안양
폭력범죄,손괴,630,경기 안양
지능범죄,직무유기,4,경기 안양
지능범죄,직권남용,6,경기 안양
지능범죄,증수뢰,1,경기 안양
지능범죄,통화,26,경기 안양
지능범죄,문서인장,141,경기 안양
지능범죄,유가증권인지,0,경기 안양
지능범죄,사기,2249,경기 안양
지능범죄,횡령,557,경기 안양
지능범죄,배임,37,경기 안양
풍속범죄,성풍속범죄,244,경기 안양
풍속범죄,도박범죄,69,경기 안양
특별경제범죄,특별경제범죄,902,경기 안양
마약범죄,마약범죄,37,경기 안양
보건범죄,보건범죄,88,경기 안양
환경범죄,환경범죄,5,경기 안양
교통범죄,교통범죄,5909,경기 안양
노동범죄,노동범죄,34,경기 안양
안보범죄,안보범죄,2,경기 안양
선거범죄,선거범죄,3,경기 안양
병역범죄,병역범죄,201,경기 안양
기타범죄,기타범죄,1924,경기 안양
강력범죄,살인기수,1,경기 양주
강력범죄,살인미수등,2,경기 양주
강력범죄,강도,5,경기 양주
강력범죄,강간,19,경기 양주
강력범죄,유사강간,1,경기 양주
강력범죄,강제추행,44,경기 양주
강력범죄,기타강간강제추행등,3,경기 양주
강력범죄,방화,8,경기 양주
절도범죄,절도,719,경기 양주
폭력범죄,상해,157,경기 양주
폭력범죄,폭행,747,경기 양주
폭력범죄,체포감금,2,경기 양주
폭력범죄,협박,47,경기 양주
폭력범죄,약취유인,1,경기 양주
폭력범죄,폭력행위등,103,경기 양주
폭력범죄,공갈,11,경기 양주
폭력범죄,손괴,256,경기 양주
지능범죄,직무유기,1,경기 양주
지능범죄,직권남용,0,경기 양주
지능범죄,증수뢰,0,경기 양주
지능범죄,통화,5,경기 양주
지능범죄,문서인장,66,경기 양주
지능범죄,유가증권인지,0,경기 양주
지능범죄,사기,881,경기 양주
지능범죄,횡령,193,경기 양주
지능범죄,배임,18,경기 양주
풍속범죄,성풍속범죄,31,경기 양주
풍속범죄,도박범죄,25,경기 양주
특별경제범죄,특별경제범죄,226,경기 양주
마약범죄,마약범죄,25,경기 양주
보건범죄,보건범죄,77,경기 양주
환경범죄,환경범죄,44,경기 양주
교통범죄,교통범죄,2547,경기 양주
노동범죄,노동범죄,5,경기 양주
안보범죄,안보범죄,0,경기 양주
선거범죄,선거범죄,1,경기 양주
병역범죄,병역범죄,137,경기 양주
기타범죄,기타범죄,847,경기 양주
강력범죄,살인기수,1,경기 여주
강력범죄,살인미수등,3,경기 여주
강력범죄,강도,5,경기 여주
강력범죄,강간,13,경기 여주
강력범죄,유사강간,0,경기 여주
강력범죄,강제추행,17,경기 여주
강력범죄,기타강간강제추행등,2,경기 여주
강력범죄,방화,2,경기 여주
절도범죄,절도,417,경기 여주
폭력범죄,상해,130,경기 여주
폭력범죄,폭행,313,경기 여주
폭력범죄,체포감금,4,경기 여주
폭력범죄,협박,26,경기 여주
폭력범죄,약취유인,1,경기 여주
폭력범죄,폭력행위등,94,경기 여주
폭력범죄,공갈,4,경기 여주
폭력범죄,손괴,114,경기 여주
지능범죄,직무유기,6,경기 여주
지능범죄,직권남용,3,경기 여주
지능범죄,증수뢰,0,경기 여주
지능범죄,통화,3,경기 여주
지능범죄,문서인장,27,경기 여주
지능범죄,유가증권인지,0,경기 여주
지능범죄,사기,589,경기 여주
지능범죄,횡령,69,경기 여주
지능범죄,배임,7,경기 여주
풍속범죄,성풍속범죄,28,경기 여주
풍속범죄,도박범죄,16,경기 여주
특별경제범죄,특별경제범죄,108,경기 여주
마약범죄,마약범죄,114,경기 여주
보건범죄,보건범죄,22,경기 여주
환경범죄,환경범죄,4,경기 여주
교통범죄,교통범죄,1687,경기 여주
노동범죄,노동범죄,1,경기 여주
안보범죄,안보범죄,0,경기 여주
선거범죄,선거범죄,8,경기 여주
병역범죄,병역범죄,19,경기 여주
기타범죄,기타범죄,368,경기 여주
강력범죄,살인기수,2,경기 오산
강력범죄,살인미수등,2,경기 오산
강력범죄,강도,4,경기 오산
강력범죄,강간,23,경기 오산
강력범죄,유사강간,2,경기 오산
강력범죄,강제추행,81,경기 오산
강력범죄,기타강간강제추행등,2,경기 오산
강력범죄,방화,4,경기 오산
절도범죄,절도,1164,경기 오산
폭력범죄,상해,149,경기 오산
폭력범죄,폭행,826,경기 오산
폭력범죄,체포감금,7,경기 오산
폭력범죄,협박,34,경기 오산
폭력범죄,약취유인,1,경기 오산
폭력범죄,폭력행위등,177,경기 오산
폭력범죄,공갈,14,경기 오산
폭력범죄,손괴,327,경기 오산
지능범죄,직무유기,1,경기 오산
지능범죄,직권남용,2,경기 오산
지능범죄,증수뢰,0,경기 오산
지능범죄,통화,1,경기 오산
지능범죄,문서인장,45,경기 오산
지능범죄,유가증권인지,2,경기 오산
지능범죄,사기,946,경기 오산
지능범죄,횡령,191,경기 오산
지능범죄,배임,7,경기 오산
풍속범죄,성풍속범죄,44,경기 오산
풍속범죄,도박범죄,13,경기 오산
특별경제범죄,특별경제범죄,342,경기 오산
마약범죄,마약범죄,18,경기 오산
보건범죄,보건범죄,32,경기 오산
환경범죄,환경범죄,7,경기 오산
교통범죄,교통범죄,2009,경기 오산
노동범죄,노동범죄,1,경기 오산
안보범죄,안보범죄,0,경기 오산
선거범죄,선거범죄,0,경기 오산
병역범죄,병역범죄,104,경기 오산
기타범죄,기타범죄,913,경기 오산
강력범죄,살인기수,7,경기 용인
강력범죄,살인미수등,5,경기 용인
강력범죄,강도,11,경기 용인
강력범죄,강간,53,경기 용인
강력범죄,유사강간,9,경기 용인
강력범죄,강제추행,209,경기 용인
강력범죄,기타강간강제추행등,7,경기 용인
강력범죄,방화,15,경기 용인
절도범죄,절도,2791,경기 용인
폭력범죄,상해,454,경기 용인
폭력범죄,폭행,1710,경기 용인
폭력범죄,체포감금,13,경기 용인
폭력범죄,협박,115,경기 용인
폭력범죄,약취유인,5,경기 용인
폭력범죄,폭력행위등,365,경기 용인
폭력범죄,공갈,47,경기 용인
폭력범죄,손괴,704,경기 용인
지능범죄,직무유기,3,경기 용인
지능범죄,직권남용,2,경기 용인
지능범죄,증수뢰,3,경기 용인
지능범죄,통화,22,경기 용인
지능범죄,문서인장,183,경기 용인
지능범죄,유가증권인지,0,경기 용인
지능범죄,사기,3312,경기 용인
지능범죄,횡령,655,경기 용인
지능범죄,배임,74,경기 용인
풍속범죄,성풍속범죄,156,경기 용인
풍속범죄,도박범죄,63,경기 용인
특별경제범죄,특별경제범죄,831,경기 용인
마약범죄,마약범죄,137,경기 용인
보건범죄,보건범죄,170,경기 용인
환경범죄,환경범죄,60,경기 용인
교통범죄,교통범죄,7716,경기 용인
노동범죄,노동범죄,5,경기 용인
안보범죄,안보범죄,2,경기 용인
선거범죄,선거범죄,8,경기 용인
병역범죄,병역범죄,235,경기 용인
기타범죄,기타범죄,2304,경기 용인
강력범죄,살인기수,0,경기 의왕
강력범죄,살인미수등,0,경기 의왕
강력범죄,강도,1,경기 의왕
강력범죄,강간,8,경기 의왕
강력범죄,유사강간,0,경기 의왕
강력범죄,강제추행,30,경기 의왕
강력범죄,기타강간강제추행등,0,경기 의왕
강력범죄,방화,5,경기 의왕
절도범죄,절도,307,경기 의왕
폭력범죄,상해,57,경기 의왕
폭력범죄,폭행,250,경기 의왕
폭력범죄,체포감금,3,경기 의왕
폭력범죄,협박,19,경기 의왕
폭력범죄,약취유인,0,경기 의왕
폭력범죄,폭력행위등,44,경기 의왕
폭력범죄,공갈,3,경기 의왕
폭력범죄,손괴,112,경기 의왕
지능범죄,직무유기,2,경기 의왕
지능범죄,직권남용,3,경기 의왕
지능범죄,증수뢰,0,경기 의왕
지능범죄,통화,2,경기 의왕
지능범죄,문서인장,18,경기 의왕
지능범죄,유가증권인지,0,경기 의왕
지능범죄,사기,354,경기 의왕
지능범죄,횡령,107,경기 의왕
지능범죄,배임,9,경기 의왕
풍속범죄,성풍속범죄,20,경기 의왕
풍속범죄,도박범죄,14,경기 의왕
특별경제범죄,특별경제범죄,138,경기 의왕
마약범죄,마약범죄,6,경기 의왕
보건범죄,보건범죄,19,경기 의왕
환경범죄,환경범죄,5,경기 의왕
교통범죄,교통범죄,1722,경기 의왕
노동범죄,노동범죄,0,경기 의왕
안보범죄,안보범죄,0,경기 의왕
선거범죄,선거범죄,1,경기 의왕
병역범죄,병역범죄,34,경기 의왕
기타범죄,기타범죄,305,경기 의왕
강력범죄,살인기수,0,경기 의정부
강력범죄,살인미수등,7,경기 의정부
강력범죄,강도,15,경기 의정부
강력범죄,강간,67,경기 의정부
강력범죄,유사강간,10,경기 의정부
강력범죄,강제추행,157,경기 의정부
강력범죄,기타강간강제추행등,6,경기 의정부
강력범죄,방화,22,경기 의정부
절도범죄,절도,2304,경기 의정부
폭력범죄,상해,326,경기 의정부
폭력범죄,폭행,1901,경기 의정부
폭력범죄,체포감금,9,경기 의정부
폭력범죄,협박,109,경기 의정부
폭력범죄,약취유인,1,경기 의정부
폭력범죄,폭력행위등,323,경기 의정부
폭력범죄,공갈,26,경기 의정부
폭력범죄,손괴,634,경기 의정부
지능범죄,직무유기,2,경기 의정부
지능범죄,직권남용,2,경기 의정부
지능범죄,증수뢰,0,경기 의정부
지능범죄,통화,26,경기 의정부
지능범죄,문서인장,123,경기 의정부
지능범죄,유가증권인지,3,경기 의정부
지능범죄,사기,2117,경기 의정부
지능범죄,횡령,525,경기 의정부
지능범죄,배임,17,경기 의정부
풍속범죄,성풍속범죄,126,경기 의정부
풍속범죄,도박범죄,39,경기 의정부
특별경제범죄,특별경제범죄,613,경기 의정부
마약범죄,마약범죄,103,경기 의정부
보건범죄,보건범죄,86,경기 의정부
환경범죄,환경범죄,15,경기 의정부
교통범죄,교통범죄,3670,경기 의정부
노동범죄,노동범죄,5,경기 의정부
안보범죄,안보범죄,0,경기 의정부
선거범죄,선거범죄,0,경기 의정부
병역범죄,병역범죄,188,경기 의정부
기타범죄,기타범죄,1642,경기 의정부
강력범죄,살인기수,3,경기 이천
강력범죄,살인미수등,2,경기 이천
강력범죄,강도,8,경기 이천
강력범죄,강간,23,경기 이천
강력범죄,유사강간,3,경기 이천
강력범죄,강제추행,59,경기 이천
강력범죄,기타강간강제추행등,4,경기 이천
강력범죄,방화,10,경기 이천
절도범죄,절도,655,경기 이천
폭력범죄,상해,161,경기 이천
폭력범죄,폭행,668,경기 이천
폭력범죄,체포감금,2,경기 이천
폭력범죄,협박,29,경기 이천
폭력범죄,약취유인,9,경기 이천
폭력범죄,폭력행위등,141,경기 이천
폭력범죄,공갈,5,경기 이천
폭력범죄,손괴,220,경기 이천
지능범죄,직무유기,0,경기 이천
지능범죄,직권남용,0,경기 이천
지능범죄,증수뢰,0,경기 이천
지능범죄,통화,1,경기 이천
지능범죄,문서인장,49,경기 이천
지능범죄,유가증권인지,0,경기 이천
지능범죄,사기,846,경기 이천
지능범죄,횡령,178,경기 이천
지능범죄,배임,19,경기 이천
풍속범죄,성풍속범죄,27,경기 이천
풍속범죄,도박범죄,28,경기 이천
특별경제범죄,특별경제범죄,209,경기 이천
마약범죄,마약범죄,10,경기 이천
보건범죄,보건범죄,41,경기 이천
환경범죄,환경범죄,43,경기 이천
교통범죄,교통범죄,2653,경기 이천
노동범죄,노동범죄,0,경기 이천
안보범죄,안보범죄,0,경기 이천
선거범죄,선거범죄,9,경기 이천
병역범죄,병역범죄,71,경기 이천
기타범죄,기타범죄,829,경기 이천
강력범죄,살인기수,3,경기 파주
강력범죄,살인미수등,4,경기 파주
강력범죄,강도,5,경기 파주
강력범죄,강간,29,경기 파주
강력범죄,유사강간,3,경기 파주
강력범죄,강제추행,89,경기 파주
강력범죄,기타강간강제추행등,2,경기 파주
강력범죄,방화,9,경기 파주
절도범죄,절도,1136,경기 파주
폭력범죄,상해,261,경기 파주
폭력범죄,폭행,1078,경기 파주
폭력범죄,체포감금,2,경기 파주
폭력범죄,협박,74,경기 파주
폭력범죄,약취유인,9,경기 파주
폭력범죄,폭력행위등,238,경기 파주
폭력범죄,공갈,15,경기 파주
폭력범죄,손괴,430,경기 파주
지능범죄,직무유기,1,경기 파주
지능범죄,직권남용,3,경기 파주
지능범죄,증수뢰,3,경기 파주
지능범죄,통화,8,경기 파주
지능범죄,문서인장,85,경기 파주
지능범죄,유가증권인지,8,경기 파주
지능범죄,사기,1888,경기 파주
지능범죄,횡령,400,경기 파주
지능범죄,배임,48,경기 파주
풍속범죄,성풍속범죄,71,경기 파주
풍속범죄,도박범죄,34,경기 파주
특별경제범죄,특별경제범죄,667,경기 파주
마약범죄,마약범죄,48,경기 파주
보건범죄,보건범죄,102,경기 파주
환경범죄,환경범죄,51,경기 파주
교통범죄,교통범죄,6218,경기 파주
노동범죄,노동범죄,5,경기 파주
안보범죄,안보범죄,0,경기 파주
선거범죄,선거범죄,11,경기 파주
병역범죄,병역범죄,142,경기 파주
기타범죄,기타범죄,1355,경기 파주
강력범죄,살인기수,1,경기 평택
강력범죄,살인미수등,6,경기 평택
강력범죄,강도,20,경기 평택
강력범죄,강간,50,경기 평택
강력범죄,유사강간,6,경기 평택
강력범죄,강제추행,161,경기 평택
강력범죄,기타강간강제추행등,4,경기 평택
강력범죄,방화,19,경기 평택
절도범죄,절도,2160,경기 평택
폭력범죄,상해,460,경기 평택
폭력범죄,폭행,1636,경기 평택
폭력범죄,체포감금,9,경기 평택
폭력범죄,협박,95,경기 평택
폭력범죄,약취유인,3,경기 평택
폭력범죄,폭력행위등,444,경기 평택
폭력범죄,공갈,26,경기 평택
폭력범죄,손괴,710,경기 평택
지능범죄,직무유기,1,경기 평택
지능범죄,직권남용,4,경기 평택
지능범죄,증수뢰,2,경기 평택
지능범죄,통화,24,경기 평택
지능범죄,문서인장,139,경기 평택
지능범죄,유가증권인지,2,경기 평택
지능범죄,사기,2638,경기 평택
지능범죄,횡령,482,경기 평택
지능범죄,배임,36,경기 평택
풍속범죄,성풍속범죄,163,경기 평택
풍속범죄,도박범죄,52,경기 평택
특별경제범죄,특별경제범죄,928,경기 평택
마약범죄,마약범죄,124,경기 평택
보건범죄,보건범죄,94,경기 평택
환경범죄,환경범죄,355,경기 평택
교통범죄,교통범죄,7646,경기 평택
노동범죄,노동범죄,29,경기 평택
안보범죄,안보범죄,0,경기 평택
선거범죄,선거범죄,8,경기 평택
병역범죄,병역범죄,156,경기 평택
기타범죄,기타범죄,2122,경기 평택
강력범죄,살인기수,4,경기 포천
강력범죄,살인미수등,3,경기 포천
강력범죄,강도,3,경기 포천
강력범죄,강간,17,경기 포천
강력범죄,유사강간,1,경기 포천
강력범죄,강제추행,47,경기 포천
강력범죄,기타강간강제추행등,3,경기 포천
강력범죄,방화,17,경기 포천
절도범죄,절도,580,경기 포천
폭력범죄,상해,229,경기 포천
폭력범죄,폭행,566,경기 포천
폭력범죄,체포감금,3,경기 포천
폭력범죄,협박,39,경기 포천
폭력범죄,약취유인,2,경기 포천
폭력범죄,폭력행위등,193,경기 포천
폭력범죄,공갈,7,경기 포천
폭력범죄,손괴,187,경기 포천
지능범죄,직무유기,1,경기 포천
지능범죄,직권남용,0,경기 포천
지능범죄,증수뢰,0,경기 포천
지능범죄,통화,4,경기 포천
지능범죄,문서인장,54,경기 포천
지능범죄,유가증권인지,1,경기 포천
지능범죄,사기,792,경기 포천
지능범죄,횡령,132,경기 포천
지능범죄,배임,19,경기 포천
풍속범죄,성풍속범죄,16,경기 포천
풍속범죄,도박범죄,19,경기 포천
특별경제범죄,특별경제범죄,287,경기 포천
마약범죄,마약범죄,38,경기 포천
보건범죄,보건범죄,50,경기 포천
환경범죄,환경범죄,119,경기 포천
교통범죄,교통범죄,2677,경기 포천
노동범죄,노동범죄,2,경기 포천
안보범죄,안보범죄,1,경기 포천
선거범죄,선거범죄,0,경기 포천
병역범죄,병역범죄,105,경기 포천
기타범죄,기타범죄,881,경기 포천
강력범죄,살인기수,1,경기 하남
강력범죄,살인미수등,0,경기 하남
강력범죄,강도,1,경기 하남
강력범죄,강간,11,경기 하남
강력범죄,유사강간,1,경기 하남
강력범죄,강제추행,25,경기 하남
강력범죄,기타강간강제추행등,0,경기 하남
강력범죄,방화,4,경기 하남
절도범죄,절도,575,경기 하남
폭력범죄,상해,104,경기 하남
폭력범죄,폭행,378,경기 하남
폭력범죄,체포감금,2,경기 하남
폭력범죄,협박,19,경기 하남
폭력범죄,약취유인,0,경기 하남
폭력범죄,폭력행위등,81,경기 하남
폭력범죄,공갈,12,경기 하남
폭력범죄,손괴,152,경기 하남
지능범죄,직무유기,0,경기 하남
지능범죄,직권남용,0,경기 하남
지능범죄,증수뢰,0,경기 하남
지능범죄,통화,9,경기 하남
지능범죄,문서인장,51,경기 하남
지능범죄,유가증권인지,1,경기 하남
지능범죄,사기,489,경기 하남
지능범죄,횡령,125,경기 하남
지능범죄,배임,15,경기 하남
풍속범죄,성풍속범죄,25,경기 하남
풍속범죄,도박범죄,50,경기 하남
특별경제범죄,특별경제범죄,147,경기 하남
마약범죄,마약범죄,10,경기 하남
보건범죄,보건범죄,41,경기 하남
환경범죄,환경범죄,13,경기 하남
교통범죄,교통범죄,2583,경기 하남
노동범죄,노동범죄,1,경기 하남
안보범죄,안보범죄,0,경기 하남
선거범죄,선거범죄,0,경기 하남
병역범죄,병역범죄,36,경기 하남
기타범죄,기타범죄,482,경기 하남
강력범죄,살인기수,7,경기 화성
강력범죄,살인미수등,8,경기 화성
강력범죄,강도,12,경기 화성
강력범죄,강간,32,경기 화성
강력범죄,유사강간,4,경기 화성
강력범죄,강제추행,133,경기 화성
강력범죄,기타강간강제추행등,2,경기 화성
강력범죄,방화,14,경기 화성
절도범죄,절도,2178,경기 화성
폭력범죄,상해,410,경기 화성
폭력범죄,폭행,1327,경기 화성
폭력범죄,체포감금,10,경기 화성
폭력범죄,협박,89,경기 화성
폭력범죄,약취유인,1,경기 화성
폭력범죄,폭력행위등,374,경기 화성
폭력범죄,공갈,24,경기 화성
폭력범죄,손괴,503,경기 화성
지능범죄,직무유기,6,경기 화성
지능범죄,직권남용,3,경기 화성
지능범죄,증수뢰,2,경기 화성
지능범죄,통화,6,경기 화성
지능범죄,문서인장,126,경기 화성
지능범죄,유가증권인지,5,경기 화성
지능범죄,사기,1968,경기 화성
지능범죄,횡령,496,경기 화성
지능범죄,배임,62,경기 화성
풍속범죄,성풍속범죄,97,경기 화성
풍속범죄,도박범죄,53,경기 화성
특별경제범죄,특별경제범죄,631,경기 화성
마약범죄,마약범죄,56,경기 화성
보건범죄,보건범죄,186,경기 화성
환경범죄,환경범죄,171,경기 화성
교통범죄,교통범죄,5902,경기 화성
노동범죄,노동범죄,15,경기 화성
안보범죄,안보범죄,0,경기 화성
선거범죄,선거범죄,6,경기 화성
병역범죄,병역범죄,225,경기 화성
기타범죄,기타범죄,2058,경기 화성
강력범죄,살인기수,1,강원 강릉
강력범죄,살인미수등,4,강원 강릉
강력범죄,강도,8,강원 강릉
강력범죄,강간,28,강원 강릉
강력범죄,유사강간,5,강원 강릉
강력범죄,강제추행,56,강원 강릉
강력범죄,기타강간강제추행등,1,강원 강릉
강력범죄,방화,5,강원 강릉
절도범죄,절도,832,강원 강릉
폭력범죄,상해,352,강원 강릉
폭력범죄,폭행,535,강원 강릉
폭력범죄,체포감금,7,강원 강릉
폭력범죄,협박,69,강원 강릉
폭력범죄,약취유인,0,강원 강릉
폭력범죄,폭력행위등,252,강원 강릉
폭력범죄,공갈,18,강원 강릉
폭력범죄,손괴,401,강원 강릉
지능범죄,직무유기,3,강원 강릉
지능범죄,직권남용,2,강원 강릉
지능범죄,증수뢰,4,강원 강릉
지능범죄,통화,4,강원 강릉
지능범죄,문서인장,40,강원 강릉
지능범죄,유가증권인지,2,강원 강릉
지능범죄,사기,909,강원 강릉
지능범죄,횡령,145,강원 강릉
지능범죄,배임,9,강원 강릉
풍속범죄,성풍속범죄,30,강원 강릉
풍속범죄,도박범죄,19,강원 강릉
특별경제범죄,특별경제범죄,253,강원 강릉
마약범죄,마약범죄,5,강원 강릉
보건범죄,보건범죄,37,강원 강릉
환경범죄,환경범죄,7,강원 강릉
교통범죄,교통범죄,2737,강원 강릉
노동범죄,노동범죄,15,강원 강릉
안보범죄,안보범죄,0,강원 강릉
선거범죄,선거범죄,7,강원 강릉
병역범죄,병역범죄,33,강원 강릉
기타범죄,기타범죄,899,강원 강릉
강력범죄,살인기수,1,강원 동해
강력범죄,살인미수등,1,강원 동해
강력범죄,강도,0,강원 동해
강력범죄,강간,5,강원 동해
강력범죄,유사강간,1,강원 동해
강력범죄,강제추행,32,강원 동해
강력범죄,기타강간강제추행등,1,강원 동해
강력범죄,방화,4,강원 동해
절도범죄,절도,288,강원 동해
폭력범죄,상해,202,강원 동해
폭력범죄,폭행,252,강원 동해
폭력범죄,체포감금,2,강원 동해
폭력범죄,협박,26,강원 동해
폭력범죄,약취유인,0,강원 동해
폭력범죄,폭력행위등,117,강원 동해
폭력범죄,공갈,4,강원 동해
폭력범죄,손괴,137,강원 동해
지능범죄,직무유기,1,강원 동해
지능범죄,직권남용,1,강원 동해
지능범죄,증수뢰,1,강원 동해
지능범죄,통화,0,강원 동해
지능범죄,문서인장,16,강원 동해
지능범죄,유가증권인지,0,강원 동해
지능범죄,사기,359,강원 동해
지능범죄,횡령,43,강원 동해
지능범죄,배임,6,강원 동해
풍속범죄,성풍속범죄,18,강원 동해
풍속범죄,도박범죄,8,강원 동해
특별경제범죄,특별경제범죄,120,강원 동해
마약범죄,마약범죄,2,강원 동해
보건범죄,보건범죄,23,강원 동해
환경범죄,환경범죄,15,강원 동해
교통범죄,교통범죄,1519,강원 동해
노동범죄,노동범죄,0,강원 동해
안보범죄,안보범죄,0,강원 동해
선거범죄,선거범죄,1,강원 동해
병역범죄,병역범죄,23,강원 동해
기타범죄,기타범죄,397,강원 동해
강력범죄,살인기수,0,강원 삼척
강력범죄,살인미수등,0,강원 삼척
강력범죄,강도,0,강원 삼척
강력범죄,강간,10,강원 삼척
강력범죄,유사강간,0,강원 삼척
강력범죄,강제추행,12,강원 삼척
강력범죄,기타강간강제추행등,3,강원 삼척
강력범죄,방화,6,강원 삼척
절도범죄,절도,188,강원 삼척
폭력범죄,상해,155,강원 삼척
폭력범죄,폭행,187,강원 삼척
폭력범죄,체포감금,1,강원 삼척
폭력범죄,협박,5,강원 삼척
폭력범죄,약취유인,0,강원 삼척
